model_leaf,thinking,config,task,rep,session_path,record_line,call_record_line,path,offset,limit,source_line,result_line_index,line_characters,ordinary_affected,omitted_characters,notice_characters
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T14-47-46-711Z_019f8f72-6517-71f1-9abd-fb4e28c7aab2.jsonl,15,12,src/main.rs,1,2000,58,57,2822,1,822,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T14-48-16-294Z_019f8f72-d8a6-726c-ad07-7f97f69c07d6.jsonl,15,13,src/main.rs,1,520,57,56,2950,1,950,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T14-48-16-294Z_019f8f72-d8a6-726c-ad07-7f97f69c07d6.jsonl,15,13,src/main.rs,1,520,58,57,2822,1,822,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T14-49-42-066Z_019f8f74-27b2-748e-b982-790d12e489c7.jsonl,13,10,src/main.rs,,,57,56,2950,1,950,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T14-49-42-066Z_019f8f74-27b2-748e-b982-790d12e489c7.jsonl,13,10,src/main.rs,,,58,57,2822,1,822,105
gpt-5.6-sol,high,baseline,meriyah-explicit-resource-declarations,0,results/gpt-5.6-sol/high/baseline/meriyah-explicit-resource-declarations/rep0/session/2026-07-23T14-27-45-988Z_019f8f60-12c4-7c66-9d18-a4b2bd8fd762.jsonl,47,46,src/unicode.ts,1,50,23,22,7944,1,5944,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T06-02-09-196Z_019f8d91-2bac-7bb4-97ec-14c17fc3d07a.jsonl,11,9,src/main.rs,1,300,57,56,2950,1,950,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T06-02-09-196Z_019f8d91-2bac-7bb4-97ec-14c17fc3d07a.jsonl,11,9,src/main.rs,1,300,58,57,2822,1,822,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T06-02-58-680Z_019f8d91-ecf8-7901-895c-6695ee58db86.jsonl,10,7,src/main.rs,,240,57,56,2950,1,950,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T06-02-58-680Z_019f8d91-ecf8-7901-895c-6695ee58db86.jsonl,10,7,src/main.rs,,240,58,57,2822,1,822,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T13-39-51-160Z_019f8f34-34f8-72e5-a3ba-2d0c8707f3c1.jsonl,15,13,src/main.rs,1,560,57,56,2950,1,950,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T13-39-51-160Z_019f8f34-34f8-72e5-a3ba-2d0c8707f3c1.jsonl,15,13,src/main.rs,1,560,58,57,2822,1,822,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T13-39-51-123Z_019f8f34-34d3-733d-b1b6-250f851c2ea2.jsonl,17,13,src/main.rs,1,520,57,56,2950,1,950,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T13-39-51-123Z_019f8f34-34d3-733d-b1b6-250f851c2ea2.jsonl,17,13,src/main.rs,1,520,58,57,2822,1,822,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T13-39-51-067Z_019f8f34-349b-7cb1-9ab9-d88798799f29.jsonl,13,11,src/main.rs,1,700,57,56,2950,1,950,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T13-39-51-067Z_019f8f34-349b-7cb1-9ab9-d88798799f29.jsonl,13,11,src/main.rs,1,700,58,57,2822,1,822,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,0,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-04T05-15-45-921Z_019fcb33-0381-7a26-b3fa-05d534044cef.jsonl,18,17,/app/src/main.rs,,,57,56,2950,1,950,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,0,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-04T05-15-45-921Z_019fcb33-0381-7a26-b3fa-05d534044cef.jsonl,18,17,/app/src/main.rs,,,58,57,2822,1,822,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,0,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-04T05-15-45-921Z_019fcb33-0381-7a26-b3fa-05d534044cef.jsonl,80,79,/app/src/main.rs,,,58,57,2950,1,950,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,0,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-04T05-15-45-921Z_019fcb33-0381-7a26-b3fa-05d534044cef.jsonl,80,79,/app/src/main.rs,,,59,58,2822,1,822,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,1,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep1/session/2026-08-04T05-17-01-820Z_019fcb34-2bfc-721b-ae39-47a1ec8f53ed.jsonl,20,19,/app/src/main.rs,,,57,56,2950,1,950,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,1,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep1/session/2026-08-04T05-17-01-820Z_019fcb34-2bfc-721b-ae39-47a1ec8f53ed.jsonl,20,19,/app/src/main.rs,,,58,57,2822,1,822,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,2,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep2/session/2026-08-04T05-17-32-097Z_019fcb34-a241-73b6-9aa3-d3624267864f.jsonl,20,19,/app/src/main.rs,,,57,56,2950,1,950,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,fd-deterministic-multi-key-sorting,2,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/fd-deterministic-multi-key-sorting/rep2/session/2026-08-04T05-17-32-097Z_019fcb34-a241-73b6-9aa3-d3624267864f.jsonl,20,19,/app/src/main.rs,,,58,57,2822,1,822,105
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,pest-character-class-coalescing,0,results/qwen-agentworld-35b-a3b/high/baseline-qwen-agentworld-35b@1.0.0/pest-character-class-coalescing/rep0/session/2026-08-04T03-38-39-198Z_019fcada-1ade-7416-98d1-ef8574ce92e9.jsonl,26,25,/app/meta/src/grammar.rs,,,2,1,47140,1,45140,104
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,fd-deterministic-multi-key-sorting,0,results/thinkingcap-qwen3.6-27b-awq-int4/high/baseline-thinkingcap-qwen36@1.1.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-04T06-59-06-997Z_019fcb91-a275-7085-8d58-f93a9a75e358.jsonl,11,8,/app/src/main.rs,,,57,56,2950,1,950,105
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,fd-deterministic-multi-key-sorting,0,results/thinkingcap-qwen3.6-27b-awq-int4/high/baseline-thinkingcap-qwen36@1.1.0/fd-deterministic-multi-key-sorting/rep0/session/2026-08-04T06-59-06-997Z_019fcb91-a275-7085-8d58-f93a9a75e358.jsonl,11,8,/app/src/main.rs,,,58,57,2822,1,822,105
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,fd-deterministic-multi-key-sorting,1,results/thinkingcap-qwen3.6-27b-awq-int4/high/baseline-thinkingcap-qwen36@1.1.0/fd-deterministic-multi-key-sorting/rep1/session/2026-08-04T06-59-29-033Z_019fcb91-f889-7e06-96bf-014a211417eb.jsonl,10,8,/app/src/main.rs,,,57,56,2950,1,950,105
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,fd-deterministic-multi-key-sorting,1,results/thinkingcap-qwen3.6-27b-awq-int4/high/baseline-thinkingcap-qwen36@1.1.0/fd-deterministic-multi-key-sorting/rep1/session/2026-08-04T06-59-29-033Z_019fcb91-f889-7e06-96bf-014a211417eb.jsonl,10,8,/app/src/main.rs,,,58,57,2822,1,822,105
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,fd-deterministic-multi-key-sorting,2,results/thinkingcap-qwen3.6-27b-awq-int4/high/baseline-thinkingcap-qwen36@1.1.0/fd-deterministic-multi-key-sorting/rep2/session/2026-08-04T07-17-18-763Z_019fcba2-4b2b-78f1-86d5-9ccb0a253161.jsonl,8,7,/app/src/main.rs,,,57,56,2950,1,950,105
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,fd-deterministic-multi-key-sorting,2,results/thinkingcap-qwen3.6-27b-awq-int4/high/baseline-thinkingcap-qwen36@1.1.0/fd-deterministic-multi-key-sorting/rep2/session/2026-08-04T07-17-18-763Z_019fcba2-4b2b-78f1-86d5-9ccb0a253161.jsonl,8,7,/app/src/main.rs,,,58,57,2822,1,822,105
