config,task,observations,topics_total,topics_seen,topics_seen_early,topics_seen_early_or_mid,final_topic_recall,early_topic_recall,early_or_mid_topic_recall,mean_source_coverage_fraction
observational-memory-gpt54-low,fastapi-implicit-head-options,51,146,26,14,26,0.1780821917808219,0.0958904109589041,0.1780821917808219,0.36879644394822975
observational-memory-gpt54-low,httpx-streaming-json-iteration,24,65,19,9,19,0.2923076923076923,0.13846153846153847,0.2923076923076923,0.38322649572649575
observational-memory-gpt54-low,kgateway-consistent-hash-policy,34,108,19,18,19,0.17592592592592593,0.16666666666666666,0.17592592592592593,0.26200980392156864
observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,28,118,15,10,10,0.1271186440677966,0.0847457627118644,0.0847457627118644,0.41062143276817187
observational-memory-gpt54-low,ts-pattern-match-each,24,52,14,0,14,0.2692307692307692,0.0,0.2692307692307692,0.619635241301908
observational-memory-gpt54-low,yjs-map-conflict-detection,32,140,19,10,17,0.1357142857142857,0.07142857142857142,0.12142857142857143,0.5045873917748918
observational-memory-gpt54-off,actionlint-action-pinning-lint,29,129,19,12,16,0.14728682170542637,0.09302325581395349,0.12403100775193798,0.37811891044649654
observational-memory-gpt54-off,anko-default-function-arguments,30,103,16,0,16,0.1553398058252427,0.0,0.1553398058252427,0.5154634834792097
observational-memory-gpt54-off,awilix-async-container-initialization,31,109,20,8,16,0.1834862385321101,0.07339449541284404,0.14678899082568808,0.49700130090622446
observational-memory-gpt54-off,boa-hierarchical-evaluation-cancellation,43,194,24,8,17,0.12371134020618557,0.041237113402061855,0.08762886597938144,0.464360821397899
observational-memory-gpt54-off,cattrs-partial-structuring-recovery,36,99,17,8,10,0.1717171717171717,0.08080808080808081,0.10101010101010101,0.5495271422444007
observational-memory-gpt54-off,dynamodb-toolbox-lazy-recursive-schemas,88,251,52,17,30,0.20717131474103587,0.06772908366533864,0.11952191235059761,0.5515094725364591
observational-memory-gpt54-off,fastapi-implicit-head-options,65,146,27,19,22,0.18493150684931506,0.13013698630136986,0.1506849315068493,0.45461136122250123
observational-memory-gpt54-off,httpx-streaming-json-iteration,20,65,9,3,9,0.13846153846153847,0.046153846153846156,0.13846153846153847,0.40149405772495755
observational-memory-gpt54-off,kgateway-consistent-hash-policy,57,108,31,12,20,0.28703703703703703,0.1111111111111111,0.18518518518518517,0.5497948500282965
observational-memory-gpt54-off,mashumaro-flattened-dataclass-fields,34,118,18,5,8,0.15254237288135594,0.0423728813559322,0.06779661016949153,0.5630840142158832
observational-memory-gpt54-off,ts-pattern-match-each,22,52,11,0,0,0.21153846153846154,0.0,0.0,0.7285111100627447
observational-memory-gpt54-off,yjs-map-conflict-detection,48,140,28,9,21,0.2,0.06428571428571428,0.15,0.5499894139566396
observational-memory-gpt54-xhigh,actionlint-action-pinning-lint,27,129,15,11,12,0.11627906976744186,0.08527131782945736,0.09302325581395349,0.3521428274514694
observational-memory-gpt54-xhigh,anko-default-function-arguments,14,103,12,0,12,0.11650485436893204,0.0,0.11650485436893204,0.43877551020408145
observational-memory-gpt54-xhigh,awilix-async-container-initialization,46,109,19,19,19,0.1743119266055046,0.1743119266055046,0.1743119266055046,0.21527454966592774
observational-memory-gpt54-xhigh,boa-hierarchical-evaluation-cancellation,37,194,17,14,17,0.08762886597938144,0.07216494845360824,0.08762886597938144,0.2565927460979934
observational-memory-gpt54-xhigh,cattrs-partial-structuring-recovery,30,99,14,10,10,0.1414141414141414,0.10101010101010101,0.10101010101010101,0.3617215041128085
observational-memory-gpt54-xhigh,dynamodb-toolbox-lazy-recursive-schemas,44,251,23,9,16,0.09163346613545817,0.035856573705179286,0.06374501992031872,0.4020514228810278
observational-memory-gpt54-xhigh,fastapi-implicit-head-options,27,146,15,15,15,0.10273972602739725,0.10273972602739725,0.10273972602739725,0.12051152811173635
observational-memory-gpt54-xhigh,httpx-streaming-json-iteration,17,65,11,8,11,0.16923076923076924,0.12307692307692308,0.16923076923076924,0.3025991792065663
observational-memory-gpt54-xhigh,kgateway-consistent-hash-policy,33,108,16,14,15,0.14814814814814814,0.12962962962962962,0.1388888888888889,0.3236100255615335
observational-memory-gpt54-xhigh,mashumaro-flattened-dataclass-fields,22,118,11,11,11,0.09322033898305085,0.09322033898305085,0.09322033898305085,0.19235648072857375
observational-memory-gpt54-xhigh,ts-pattern-match-each,0,52,0,0,0,0.0,0.0,0.0,nan
observational-memory-gpt54-xhigh,yjs-map-conflict-detection,34,140,20,17,20,0.14285714285714285,0.12142857142857143,0.14285714285714285,0.2991773632529935
observational-memory-gpt54mini-low,actionlint-action-pinning-lint,38,129,22,16,22,0.17054263565891473,0.12403100775193798,0.17054263565891473,0.3332700384237333
observational-memory-gpt54mini-low,anko-default-function-arguments,26,103,18,0,12,0.17475728155339806,0.0,0.11650485436893204,0.558021978021978
observational-memory-gpt54mini-low,awilix-async-container-initialization,22,109,13,13,13,0.11926605504587157,0.11926605504587157,0.11926605504587157,0.2642316017316018
observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,48,194,34,15,23,0.17525773195876287,0.07731958762886598,0.11855670103092783,0.518636797872909
observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,40,99,24,11,18,0.24242424242424243,0.1111111111111111,0.18181818181818182,0.5281266937669378
observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,55,251,44,13,19,0.1752988047808765,0.05179282868525897,0.07569721115537849,0.6101914600550965
observational-memory-gpt54mini-low,fastapi-implicit-head-options,52,146,22,18,18,0.1506849315068493,0.1232876712328767,0.1232876712328767,0.3254584678368385
observational-memory-gpt54mini-low,httpx-streaming-json-iteration,31,65,18,5,14,0.27692307692307694,0.07692307692307693,0.2153846153846154,0.48257291344848957
observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,25,108,14,7,14,0.12962962962962962,0.06481481481481481,0.12962962962962962,0.3799033033033033
observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,44,118,32,12,21,0.2711864406779661,0.1016949152542373,0.17796610169491525,0.4685446570972889
observational-memory-gpt54mini-low,ts-pattern-match-each,30,52,19,0,13,0.36538461538461536,0.0,0.25,0.6519444444444442
observational-memory-gpt54mini-low,yjs-map-conflict-detection,51,140,33,15,22,0.2357142857142857,0.10714285714285714,0.15714285714285714,0.4779715724064052
observational-memory-gpt54mini-off,actionlint-action-pinning-lint,60,129,38,17,21,0.29457364341085274,0.13178294573643412,0.16279069767441862,0.5543927648578812
observational-memory-gpt54mini-off,anko-default-function-arguments,21,103,14,0,10,0.13592233009708737,0.0,0.0970873786407767,0.5377125850340135
observational-memory-gpt54mini-off,awilix-async-container-initialization,61,109,42,22,32,0.3853211009174312,0.2018348623853211,0.29357798165137616,0.45513373597929246
observational-memory-gpt54mini-off,boa-hierarchical-evaluation-cancellation,59,194,38,13,28,0.1958762886597938,0.06701030927835051,0.14432989690721648,0.48522085259373404
observational-memory-gpt54mini-off,cattrs-partial-structuring-recovery,38,99,25,14,19,0.25252525252525254,0.1414141414141414,0.1919191919191919,0.4171410580172276
observational-memory-gpt54mini-off,dynamodb-toolbox-lazy-recursive-schemas,92,251,57,18,34,0.22709163346613545,0.07171314741035857,0.13545816733067728,0.5381466889995046
observational-memory-gpt54mini-off,fastapi-implicit-head-options,73,146,42,18,28,0.2876712328767123,0.1232876712328767,0.1917808219178082,0.43704830933387906
observational-memory-gpt54mini-off,httpx-streaming-json-iteration,32,65,17,0,14,0.26153846153846155,0.0,0.2153846153846154,0.5306949013157894
observational-memory-gpt54mini-off,kgateway-consistent-hash-policy,29,108,16,10,16,0.14814814814814814,0.09259259259259259,0.14814814814814814,0.31704449881489416
observational-memory-gpt54mini-off,mashumaro-flattened-dataclass-fields,57,118,33,11,20,0.2796610169491525,0.09322033898305085,0.1694915254237288,0.45410808344738923
observational-memory-gpt54mini-off,ts-pattern-match-each,27,52,17,0,10,0.3269230769230769,0.0,0.19230769230769232,0.6337421033073207
observational-memory-gpt54mini-off,yjs-map-conflict-detection,55,140,30,14,21,0.21428571428571427,0.1,0.15,0.5107142857142859
observational-memory-gpt54mini-xhigh,actionlint-action-pinning-lint,13,129,13,13,13,0.10077519379844961,0.10077519379844961,0.10077519379844961,0.30851063829787234
observational-memory-gpt54mini-xhigh,anko-default-function-arguments,9,103,9,0,9,0.08737864077669903,0.0,0.08737864077669903,0.43
observational-memory-gpt54mini-xhigh,awilix-async-container-initialization,11,109,11,11,11,0.10091743119266056,0.10091743119266056,0.10091743119266056,0.18888888888888886
observational-memory-gpt54mini-xhigh,boa-hierarchical-evaluation-cancellation,26,194,14,14,14,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.11292587194226539
observational-memory-gpt54mini-xhigh,cattrs-partial-structuring-recovery,6,99,6,6,6,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.20238095238095236
observational-memory-gpt54mini-xhigh,dynamodb-toolbox-lazy-recursive-schemas,37,251,27,27,27,0.10756972111553785,0.10756972111553785,0.10756972111553785,0.15603284720931782
observational-memory-gpt54mini-xhigh,fastapi-implicit-head-options,17,146,17,17,17,0.11643835616438356,0.11643835616438356,0.11643835616438356,0.11965811965811965
observational-memory-gpt54mini-xhigh,httpx-streaming-json-iteration,0,65,0,0,0,0.0,0.0,0.0,nan
observational-memory-gpt54mini-xhigh,kgateway-consistent-hash-policy,33,108,25,25,25,0.23148148148148148,0.23148148148148148,0.23148148148148148,0.20108591197386125
observational-memory-gpt54mini-xhigh,mashumaro-flattened-dataclass-fields,10,118,9,9,9,0.07627118644067797,0.07627118644067797,0.07627118644067797,0.2659574468085106
observational-memory-gpt54mini-xhigh,ts-pattern-match-each,0,52,0,0,0,0.0,0.0,0.0,nan
observational-memory-gpt54mini-xhigh,yjs-map-conflict-detection,44,140,23,23,23,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.2114256198347107
observational-memory-gpt55-low,actionlint-action-pinning-lint,63,129,34,20,20,0.26356589147286824,0.15503875968992248,0.15503875968992248,0.45598825137995636
observational-memory-gpt55-low,anko-default-function-arguments,40,103,21,11,21,0.20388349514563106,0.10679611650485436,0.20388349514563106,0.39476541397295606
observational-memory-gpt55-low,awilix-async-container-initialization,29,109,15,15,15,0.13761467889908258,0.13761467889908258,0.13761467889908258,0.2079702601717934
observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,67,194,43,14,32,0.22164948453608246,0.07216494845360824,0.16494845360824742,0.5097237422877553
observational-memory-gpt55-low,cattrs-partial-structuring-recovery,30,99,16,8,16,0.16161616161616163,0.08080808080808081,0.16161616161616163,0.3497959353656506
observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,76,251,47,13,29,0.18725099601593626,0.05179282868525897,0.11553784860557768,0.5532148663919432
observational-memory-gpt55-low,fastapi-implicit-head-options,66,146,29,18,29,0.19863013698630136,0.1232876712328767,0.19863013698630136,0.2614727676999968
observational-memory-gpt55-low,httpx-streaming-json-iteration,21,65,13,0,13,0.2,0.0,0.2,0.41716673119112146
observational-memory-gpt55-low,kgateway-consistent-hash-policy,34,108,19,11,19,0.17592592592592593,0.10185185185185185,0.17592592592592593,0.27808134959669484
observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,41,118,23,16,23,0.19491525423728814,0.13559322033898305,0.19491525423728814,0.30944250871080137
observational-memory-gpt55-low,ts-pattern-match-each,16,52,16,0,16,0.3076923076923077,0.0,0.3076923076923077,0.5
observational-memory-gpt55-low,yjs-map-conflict-detection,71,140,42,17,34,0.3,0.12142857142857143,0.24285714285714285,0.4498316932406765
observational-memory-gpt55-off,actionlint-action-pinning-lint,37,129,21,11,11,0.16279069767441862,0.08527131782945736,0.08527131782945736,0.5174227799227799
observational-memory-gpt55-off,anko-default-function-arguments,32,103,13,0,13,0.1262135922330097,0.0,0.1262135922330097,0.4827414772727272
observational-memory-gpt55-off,awilix-async-container-initialization,45,109,23,15,15,0.21100917431192662,0.13761467889908258,0.13761467889908258,0.3432368183330956
observational-memory-gpt55-off,boa-hierarchical-evaluation-cancellation,74,194,45,23,31,0.23195876288659795,0.11855670103092783,0.15979381443298968,0.4374182372098284
observational-memory-gpt55-off,cattrs-partial-structuring-recovery,27,99,18,7,10,0.18181818181818182,0.0707070707070707,0.10101010101010101,0.5066441764762177
observational-memory-gpt55-off,dynamodb-toolbox-lazy-recursive-schemas,65,251,38,13,24,0.15139442231075698,0.05179282868525897,0.09561752988047809,0.5433630393996246
observational-memory-gpt55-off,fastapi-implicit-head-options,68,146,25,21,23,0.17123287671232876,0.14383561643835616,0.15753424657534246,0.3239822162851539
observational-memory-gpt55-off,httpx-streaming-json-iteration,33,65,17,0,17,0.26153846153846155,0.0,0.26153846153846155,0.41012190277719557
observational-memory-gpt55-off,kgateway-consistent-hash-policy,27,108,17,7,17,0.1574074074074074,0.06481481481481481,0.1574074074074074,0.3531073808851587
observational-memory-gpt55-off,mashumaro-flattened-dataclass-fields,46,118,24,11,11,0.2033898305084746,0.09322033898305085,0.09322033898305085,0.4430896445617295
observational-memory-gpt55-off,ts-pattern-match-each,12,52,10,0,5,0.19230769230769232,0.0,0.09615384615384616,0.534639498432602
observational-memory-gpt55-off,yjs-map-conflict-detection,61,140,33,13,32,0.2357142857142857,0.09285714285714286,0.22857142857142856,0.4253135597707204
observational-memory-gpt55-xhigh,actionlint-action-pinning-lint,36,129,28,28,28,0.21705426356589147,0.21705426356589147,0.21705426356589147,0.24955908289241632
observational-memory-gpt55-xhigh,anko-default-function-arguments,49,103,22,14,22,0.21359223300970873,0.13592233009708737,0.21359223300970873,0.3764034338175386
observational-memory-gpt55-xhigh,awilix-async-container-initialization,66,109,37,37,37,0.3394495412844037,0.3394495412844037,0.3394495412844037,0.20562770562770566
observational-memory-gpt55-xhigh,boa-hierarchical-evaluation-cancellation,73,194,43,43,43,0.22164948453608246,0.22164948453608246,0.22164948453608246,0.13825831702544034
observational-memory-gpt55-xhigh,cattrs-partial-structuring-recovery,33,99,23,23,23,0.23232323232323232,0.23232323232323232,0.23232323232323232,0.2868803554287425
observational-memory-gpt55-xhigh,dynamodb-toolbox-lazy-recursive-schemas,91,251,57,33,52,0.22709163346613545,0.13147410358565736,0.20717131474103587,0.3387445481549654
observational-memory-gpt55-xhigh,fastapi-implicit-head-options,94,146,50,42,42,0.3424657534246575,0.2876712328767123,0.2876712328767123,0.2744711381893182
observational-memory-gpt55-xhigh,httpx-streaming-json-iteration,0,65,0,0,0,0.0,0.0,0.0,nan
observational-memory-gpt55-xhigh,kgateway-consistent-hash-policy,60,108,34,34,34,0.3148148148148148,0.3148148148148148,0.3148148148148148,0.16820436696735552
observational-memory-gpt55-xhigh,mashumaro-flattened-dataclass-fields,22,118,15,15,15,0.1271186440677966,0.1271186440677966,0.1271186440677966,0.1617079889807162
observational-memory-gpt55-xhigh,ts-pattern-match-each,0,52,0,0,0,0.0,0.0,0.0,nan
observational-memory-gpt55-xhigh,yjs-map-conflict-detection,14,140,14,14,14,0.1,0.1,0.1,0.2551020408163266
