case_id,task,candidate,model,thinking,error,silver_count,observation_count,tool_calls,invalid_source_ids,malformed,duplicates,silver_recall_f1_mean,silver_recall_ge_035,candidate_precision_f1_mean,prompt_tokens,completion_tokens,estimated_cost_usd,wall_s
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,glm52-xhigh,z-ai/glm-5.2,xhigh,,10,10,1,0,0,0,0.4148,0.6,0.3924,31185,1422,0.033892,57.68
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,glm52-xhigh,z-ai/glm-5.2,xhigh,,9,18,1,0,0,0,0.3447,0.4444,0.226,70074,2084,0.072822,61.74
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,glm52-xhigh,z-ai/glm-5.2,xhigh,,7,8,1,0,0,0,0.4558,0.7143,0.4373,28682,1315,0.031193,105.34
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,glm52-high,z-ai/glm-5.2,high,,10,12,1,0,0,0,0.3915,0.3,0.3984,37610,1322,0.039695,29.73
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,glm52-high,z-ai/glm-5.2,high,,16,13,1,0,0,0,0.4888,0.6875,0.542,66168,1541,0.067483,47.75
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,glm52-high,z-ai/glm-5.2,high,,7,9,1,0,0,0,0.422,0.5714,0.3835,79620,1045,0.078774,42.45
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,glm52-high,z-ai/glm-5.2,high,,9,3,1,0,0,0,0.2585,0.2222,0.2893,32217,565,0.032301,14.8
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,glm52-high,z-ai/glm-5.2,high,,6,13,1,0,0,0,0.5024,0.8333,0.3603,25772,1439,0.0288,40.65
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,glm52-high,z-ai/glm-5.2,high,,5,7,1,0,0,0,0.5211,0.8,0.3879,31947,1002,0.033356,75.92
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,glm52-high,z-ai/glm-5.2,high,,3,9,1,0,0,0,0.5799,1.0,0.3481,35396,1102,0.036932,51.56
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,glm52-high,z-ai/glm-5.2,high,,8,11,1,0,0,0,0.4965,0.875,0.3848,30896,1370,0.033461,20.93
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,glm52-high,z-ai/glm-5.2,high,,11,8,1,0,0,0,0.522,0.8182,0.5108,30233,1380,0.032861,33.84
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,glm52-high,z-ai/glm-5.2,high,,10,10,1,0,0,0,0.4385,0.8,0.3927,31309,1396,0.033932,24.79
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,glm52-high,z-ai/glm-5.2,high,,9,7,1,0,0,0,0.3032,0.4444,0.3066,69337,1219,0.069527,35.09
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,glm52-high,z-ai/glm-5.2,high,,7,8,1,0,0,0,0.4298,0.7143,0.4171,28680,1136,0.030654,27.26
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,glm52-low,z-ai/glm-5.2,low,,10,9,1,0,0,0,0.4007,0.6,0.464,37610,1254,0.039491,32.6
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,glm52-low,z-ai/glm-5.2,low,,16,15,1,0,0,0,0.5411,0.8125,0.5951,66273,1715,0.068104,124.62
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,glm52-low,z-ai/glm-5.2,low,,7,7,1,0,0,0,0.3842,0.7143,0.3583,79548,1053,0.07873,34.94
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,glm52-low,z-ai/glm-5.2,low,,9,8,1,0,0,0,0.4323,0.4444,0.4599,32593,951,0.033816,34.63
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,glm52-low,z-ai/glm-5.2,low,,6,13,2,0,0,0,0.4526,0.8333,0.3505,39221,1434,0.041562,45.52
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,glm52-low,z-ai/glm-5.2,low,,5,7,1,0,0,0,0.5508,0.8,0.4163,31946,987,0.03331,33.2
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,glm52-low,z-ai/glm-5.2,low,,3,8,1,0,0,0,0.5027,1.0,0.3577,35383,1058,0.036788,33.31
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,glm52-low,z-ai/glm-5.2,low,,8,10,1,0,0,0,0.5933,0.875,0.5111,30836,1236,0.033002,31.4
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,glm52-low,z-ai/glm-5.2,low,,11,12,1,0,0,0,0.613,0.8182,0.5331,30372,1499,0.03335,64.06
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,glm52-low,z-ai/glm-5.2,low,,10,10,1,0,0,0,0.4406,0.8,0.3954,31240,1318,0.033632,42.7
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,glm52-low,z-ai/glm-5.2,low,,9,10,1,0,0,0,0.2933,0.3333,0.2225,69419,1338,0.069962,49.7
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,glm52-low,z-ai/glm-5.2,low,,7,10,1,0,0,0,0.3531,0.4286,0.3506,28723,1209,0.030914,57.55
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,glm52-off,z-ai/glm-5.2,off,,10,8,1,0,0,0,0.4537,0.6,0.5487,37415,1125,0.038919,73.32
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,glm52-off,z-ai/glm-5.2,off,,16,13,1,0,0,0,0.4667,0.6875,0.5136,66099,1478,0.067228,42.96
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,glm52-off,z-ai/glm-5.2,off,,7,10,1,0,0,0,0.513,0.7143,0.4408,79603,1087,0.078884,45.57
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,glm52-off,z-ai/glm-5.2,off,,9,9,1,0,0,0,0.4861,0.6667,0.4577,32749,1154,0.034574,35.56
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,glm52-off,z-ai/glm-5.2,off,,6,10,1,0,0,0,0.4519,0.6667,0.3702,25704,1205,0.028034,44.21
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,glm52-off,z-ai/glm-5.2,off,,5,4,1,0,0,0,0.556,0.6,0.6486,31750,678,0.032197,77.0
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,glm52-off,z-ai/glm-5.2,off,,3,8,1,0,0,0,0.4792,1.0,0.3662,35540,1210,0.037393,70.02
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,glm52-off,z-ai/glm-5.2,off,,8,8,1,0,0,0,0.3944,0.875,0.3123,30787,1184,0.0328,33.3
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,glm52-off,z-ai/glm-5.2,off,,11,11,1,0,0,0,0.6432,0.8182,0.6039,30247,1333,0.032734,37.89
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,glm52-off,z-ai/glm-5.2,off,,10,13,1,0,0,0,0.4926,0.7,0.4018,31428,1503,0.034366,44.7
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,glm52-off,z-ai/glm-5.2,off,,9,14,1,0,0,0,0.4089,0.5556,0.2556,69740,1620,0.071113,49.35
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,glm52-off,z-ai/glm-5.2,off,,7,9,1,0,0,0,0.4086,0.7143,0.3733,28784,1279,0.031182,195.2
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,glm51-high,z-ai/glm-5.1,high,,10,15,1,0,0,0,0.382,0.4,0.3537,37719,1349,0.04112,30.64
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,glm51-high,z-ai/glm-5.1,high,,16,12,1,0,0,0,0.4435,0.5625,0.5094,66086,1555,0.069554,38.35
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,glm51-high,z-ai/glm-5.1,high,,7,10,1,0,0,0,0.4939,0.8571,0.438,79614,1151,0.081567,29.15
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,glm51-high,z-ai/glm-5.1,high,,9,8,1,0,0,0,0.4133,0.3333,0.4477,32715,1150,0.035603,26.47
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,glm51-high,z-ai/glm-5.1,high,,6,11,1,0,0,0,0.4279,0.6667,0.299,25623,1087,0.028458,25.55
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,glm51-high,z-ai/glm-5.1,high,,5,8,1,0,0,0,0.5207,0.6,0.3545,31991,879,0.034058,20.32
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,glm51-high,z-ai/glm-5.1,high,,3,10,1,0,0,0,0.4533,1.0,0.3007,35524,1123,0.038272,25.44
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,glm51-high,z-ai/glm-5.1,high,,8,10,2,1,0,0,0.4376,0.875,0.3785,46973,1702,0.051276,44.06
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,glm51-high,z-ai/glm-5.1,high,,11,11,1,0,0,0,0.6466,0.8182,0.6078,30192,1381,0.033842,31.65
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,glm51-high,z-ai/glm-5.1,high,,10,9,1,0,0,0,0.3924,0.5,0.417,31105,1262,0.03437,32.87
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,glm51-high,z-ai/glm-5.1,high,,9,16,1,0,0,0,0.3665,0.5556,0.225,69842,1834,0.074094,40.66
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,glm51-high,z-ai/glm-5.1,high,,7,12,1,0,0,0,0.4345,0.7143,0.3061,28671,1620,0.033087,36.52
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,glm51-off,z-ai/glm-5.1,off,,10,8,1,0,0,0,0.4279,0.5,0.5074,37537,1237,0.040596,31.09
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,glm51-off,z-ai/glm-5.1,off,,16,15,1,0,0,0,0.4947,0.625,0.5556,66149,1538,0.069563,37.18
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,glm51-off,z-ai/glm-5.1,off,,7,9,1,0,0,0,0.442,0.5714,0.402,79581,1298,0.081987,32.86
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,glm51-off,z-ai/glm-5.1,off,,9,8,1,0,0,0,0.3805,0.3333,0.4277,32655,1087,0.03535,24.49
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,glm51-off,z-ai/glm-5.1,off,,6,10,1,0,0,0,0.4034,0.5,0.308,25585,1059,0.028335,24.24
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,glm51-off,z-ai/glm-5.1,off,,5,7,1,0,0,0,0.5052,0.8,0.4249,31922,891,0.034028,21.96
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,glm51-off,z-ai/glm-5.1,off,,3,9,1,0,0,0,0.5034,0.6667,0.3276,35467,1228,0.03854,27.34
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,glm51-off,z-ai/glm-5.1,off,,8,11,1,0,0,0,0.5013,0.875,0.3966,30852,1302,0.034245,28.55
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,glm51-off,z-ai/glm-5.1,off,,11,12,1,0,0,0,0.6752,0.9091,0.5969,30283,1472,0.034211,31.56
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,glm51-off,z-ai/glm-5.1,off,,10,10,1,0,0,0,0.3342,0.4,0.3657,31056,1232,0.034229,29.15
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,glm51-off,z-ai/glm-5.1,off,,9,19,1,0,0,0,0.4163,0.6667,0.2369,69962,1918,0.07447,43.13
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,glm51-off,z-ai/glm-5.1,off,,7,10,1,0,0,0,0.3244,0.2857,0.2888,28693,1237,0.031929,28.52
