task,config,obs_count,gold_obs_count,obs_count_ratio,precision_vs_dual_gold,recall_vs_dual_gold,f1_vs_dual_gold,centroid_distance_vs_dual_gold,has_observations
awilix-async-container-initialization,observational-memory-glm52-off,44,66,0.6666666666666666,1.0,0.9514171481132507,0.9751038101034819,0.006424009799957275,True
awilix-async-container-initialization,observational-memory-gpt54-low,28,66,0.42424242424242425,0.8419442176818848,0.8311827778816223,0.8365288893548732,0.03158533573150635,True
awilix-async-container-initialization,observational-memory-gpt54-off,31,66,0.4696969696969697,0.843738853931427,0.8257340788841248,0.834639378303461,0.02661842107772827,True
awilix-async-container-initialization,observational-memory-gpt54-xhigh,46,66,0.696969696969697,0.8304992914199829,0.819542646408081,0.8249845916356233,0.047989487648010254,True
awilix-async-container-initialization,observational-memory-gpt54mini-low,22,66,0.3333333333333333,1.0,0.869493842124939,0.93019171556793,0.029366493225097656,True
awilix-async-container-initialization,observational-memory-gpt54mini-off,61,66,0.9242424242424242,0.8127031326293945,0.8549918532371521,0.8333113229783964,0.03129523992538452,True
awilix-async-container-initialization,observational-memory-gpt54mini-xhigh,11,66,0.16666666666666666,0.9045129418373108,0.8167283535003662,0.8583821079677634,0.019345104694366455,True
awilix-async-container-initialization,observational-memory-gpt55-low,29,66,0.4393939393939394,0.8891016840934753,0.8502405881881714,0.8692370108973254,0.0167999267578125,True
awilix-async-container-initialization,observational-memory-gpt55-off,45,66,0.6818181818181818,0.8661713600158691,0.8616359829902649,0.8638977189746073,0.015250146389007568,True
awilix-async-container-initialization,observational-memory-gpt55-xhigh,66,66,1.0,0.8202985525131226,0.858241081237793,0.8388409811610441,0.023972392082214355,True
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-high,95,173,0.5491329479768786,0.8804332613945007,0.8686521649360657,0.8745030369345875,0.007831454277038574,True
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-max,192,173,1.1098265895953756,0.9121918082237244,0.8860106468200684,0.8989106335177225,0.007083237171173096,True
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-off,125,173,0.7225433526011561,1.0,0.9523438215255737,0.9755902736244544,0.0018257498741149902,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-low,56,173,0.3236994219653179,0.8774896264076233,0.8206683993339539,0.8481283793616522,0.01783740520477295,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-off,43,173,0.24855491329479767,0.8683655261993408,0.8020065426826477,0.8338679105405162,0.027362406253814697,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-xhigh,37,173,0.2138728323699422,0.8950627446174622,0.8070117831230164,0.8487597573058268,0.02355039119720459,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-low,48,173,0.2774566473988439,1.0,0.844584584236145,0.9157450316499237,0.012707114219665527,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-off,59,173,0.34104046242774566,0.8696765303611755,0.8116644024848938,0.8396696560237311,0.016373634338378906,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-xhigh,26,173,0.15028901734104047,0.9064738154411316,0.7740850448608398,0.8350648592752558,0.03468525409698486,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-low,67,173,0.3872832369942196,0.8423213958740234,0.8258885145187378,0.8340240182627385,0.03594774007797241,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-off,74,173,0.4277456647398844,0.8613792657852173,0.8437590003013611,0.8524780924039767,0.01729285717010498,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-xhigh,0,173,0.0,nan,nan,nan,nan,False
cattrs-partial-structuring-recovery,observational-memory-glm52-high,48,97,0.4948453608247423,0.8704683184623718,0.8506828546524048,0.8604618648273362,0.010297298431396484,True
cattrs-partial-structuring-recovery,observational-memory-glm52-max,81,97,0.8350515463917526,0.897347629070282,0.8713666796684265,0.8841663350469553,0.0071372389793396,True
cattrs-partial-structuring-recovery,observational-memory-glm52-off,57,97,0.5876288659793815,1.0,0.9306732416152954,0.9640919256089641,0.004923701286315918,True
cattrs-partial-structuring-recovery,observational-memory-gpt54-low,43,97,0.44329896907216493,0.9005186557769775,0.8528931736946106,0.8760591224347916,0.02300417423248291,True
cattrs-partial-structuring-recovery,observational-memory-gpt54-off,36,97,0.3711340206185567,0.9016231894493103,0.840277910232544,0.8698703383171872,0.02805948257446289,True
cattrs-partial-structuring-recovery,observational-memory-gpt54-xhigh,30,97,0.30927835051546393,0.9113231897354126,0.8382846713066101,0.8732794102862036,0.04128134250640869,True
cattrs-partial-structuring-recovery,observational-memory-gpt54mini-low,40,97,0.41237113402061853,1.0,0.8977063894271851,0.9460961868797355,0.01111060380935669,True
cattrs-partial-structuring-recovery,observational-memory-gpt54mini-off,38,97,0.3917525773195876,0.8664118051528931,0.8269746899604797,0.8462340239656196,0.02484261989593506,True
cattrs-partial-structuring-recovery,observational-memory-gpt54mini-xhigh,6,97,0.061855670103092786,0.9228605628013611,0.7049233913421631,0.7993026298237034,0.1021842360496521,True
cattrs-partial-structuring-recovery,observational-memory-gpt55-low,30,97,0.30927835051546393,0.8984171748161316,0.8172664046287537,0.8559225991499784,0.02210468053817749,True
cattrs-partial-structuring-recovery,observational-memory-gpt55-off,27,97,0.27835051546391754,0.8844241499900818,0.8213249444961548,0.8517074618415095,0.023061037063598633,True
cattrs-partial-structuring-recovery,observational-memory-gpt55-xhigh,33,97,0.3402061855670103,0.8808771967887878,0.8239836692810059,0.8514811258108591,0.022648334503173828,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-glm52-high,113,152,0.743421052631579,0.8652703166007996,0.8589094281196594,0.8620781389831285,0.00861215591430664,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-glm52-max,200,152,1.3157894736842106,0.8838422298431396,0.8797314167022705,0.8817820322097653,0.006092667579650879,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-glm52-off,97,152,0.6381578947368421,1.0,0.9322903156280518,0.9649588450429404,0.0047463178634643555,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54-low,59,152,0.3881578947368421,0.8495738506317139,0.811917245388031,0.8303188168880881,0.02203434705734253,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54-off,88,152,0.5789473684210527,0.8428642749786377,0.8309808969497681,0.836880403247502,0.022555232048034668,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54-xhigh,44,152,0.2894736842105263,0.8861866593360901,0.8014824390411377,0.8417088940638401,0.02664625644683838,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54mini-low,55,152,0.3618421052631579,1.0,0.8729334473609924,0.9321563973252508,0.015550076961517334,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54mini-off,92,152,0.6052631578947368,0.8389251828193665,0.8219992518424988,0.8303759740517518,0.012227296829223633,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54mini-xhigh,37,152,0.24342105263157895,0.8483538627624512,0.7501240968704224,0.7962207690087573,0.0292738676071167,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt55-low,76,152,0.5,0.8455411791801453,0.8309087157249451,0.8381610895980938,0.014085948467254639,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt55-off,65,152,0.4276315789473684,0.8612011075019836,0.8300087451934814,0.8453172732617379,0.01748478412628174,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt55-xhigh,0,152,0.0,nan,nan,nan,nan,False
fastapi-implicit-head-options,observational-memory-glm52-high,84,147,0.5714285714285714,0.8967038989067078,0.8775644898414612,0.8870309639435335,0.004878401756286621,True
fastapi-implicit-head-options,observational-memory-glm52-max,159,147,1.0816326530612246,0.8964293003082275,0.9047330617904663,0.9005620399501865,0.003056764602661133,True
fastapi-implicit-head-options,observational-memory-glm52-off,95,147,0.6462585034013606,1.0,0.9558122158050537,0.977406939256304,0.00218045711517334,True
fastapi-implicit-head-options,observational-memory-gpt54-low,51,147,0.3469387755102041,0.8715785145759583,0.8325327038764954,0.8516082865055411,0.01918131113052368,True
fastapi-implicit-head-options,observational-memory-gpt54-off,65,147,0.4421768707482993,0.8931081295013428,0.8512690663337708,0.8716868408403261,0.01233673095703125,True
fastapi-implicit-head-options,observational-memory-gpt54-xhigh,27,147,0.1836734693877551,0.919589638710022,0.8419457077980042,0.879056501230295,0.031249046325683594,True
fastapi-implicit-head-options,observational-memory-gpt54mini-low,52,147,0.35374149659863946,1.0,0.8983241319656372,0.9464391426510068,0.007427692413330078,True
fastapi-implicit-head-options,observational-memory-gpt54mini-off,73,147,0.4965986394557823,0.8743610382080078,0.8724013566970825,0.8733800981754954,0.009821593761444092,True
fastapi-implicit-head-options,observational-memory-gpt54mini-xhigh,17,147,0.11564625850340136,0.8773629069328308,0.8190022110939026,0.8471786563798447,0.028607964515686035,True
fastapi-implicit-head-options,observational-memory-gpt55-low,66,147,0.4489795918367347,0.8951704502105713,0.8661552667617798,0.8804238678036304,0.009779632091522217,True
fastapi-implicit-head-options,observational-memory-gpt55-off,68,147,0.46258503401360546,0.9065918922424316,0.8714762330055237,0.8886873072027053,0.009493708610534668,True
fastapi-implicit-head-options,observational-memory-gpt55-xhigh,65,147,0.4421768707482993,0.8582539558410645,0.8639261722564697,0.8610807229704042,0.014393150806427002,True
httpx-streaming-json-iteration,observational-memory-glm52-high,27,50,0.54,0.8685043454170227,0.8483636975288391,0.858315886098747,0.01427549123764038,True
httpx-streaming-json-iteration,observational-memory-glm52-max,102,50,2.04,0.8705688714981079,0.8960524201393127,0.8831268454608117,0.01661282777786255,True
httpx-streaming-json-iteration,observational-memory-glm52-off,19,50,0.38,1.0000001192092896,0.9026997089385986,0.9488620361389205,0.009576618671417236,True
httpx-streaming-json-iteration,observational-memory-gpt54-low,24,50,0.48,0.8282146453857422,0.8410981893539429,0.8346067005936558,0.025233745574951172,True
httpx-streaming-json-iteration,observational-memory-gpt54-off,20,50,0.4,0.8795087933540344,0.8281406164169312,0.8530520961794031,0.023722290992736816,True
httpx-streaming-json-iteration,observational-memory-gpt54-xhigh,17,50,0.34,0.907635509967804,0.8474332690238953,0.8765018630621133,0.027308285236358643,True
httpx-streaming-json-iteration,observational-memory-gpt54mini-low,31,50,0.62,1.0000001192092896,0.9537370204925537,0.9763208312991528,0.003727138042449951,True
httpx-streaming-json-iteration,observational-memory-gpt54mini-off,32,50,0.64,0.8566243052482605,0.848074197769165,0.8523278094948391,0.020762920379638672,True
httpx-streaming-json-iteration,observational-memory-gpt54mini-xhigh,0,50,0.0,nan,nan,nan,nan,False
httpx-streaming-json-iteration,observational-memory-gpt55-low,21,50,0.42,0.8303430676460266,0.8266411423683167,0.8284879697080303,0.026828646659851074,True
httpx-streaming-json-iteration,observational-memory-gpt55-off,33,50,0.66,0.8569753766059875,0.8685683608055115,0.8627329252470192,0.01031947135925293,True
httpx-streaming-json-iteration,observational-memory-gpt55-xhigh,0,50,0.0,nan,nan,nan,nan,False
kgateway-consistent-hash-policy,observational-memory-glm52-high,48,79,0.6075949367088608,0.9011199474334717,0.8627132773399353,0.8814984684581971,0.011652588844299316,True
kgateway-consistent-hash-policy,observational-memory-glm52-max,167,79,2.1139240506329116,0.889469563961029,0.9066280126571655,0.8979668294095668,0.006470799446105957,True
kgateway-consistent-hash-policy,observational-memory-glm52-off,54,79,0.6835443037974683,1.0,0.9610592126846313,0.9801429823926326,0.003498673439025879,True
kgateway-consistent-hash-policy,observational-memory-gpt54-low,34,79,0.43037974683544306,0.8994832634925842,0.8549149036407471,0.8766329809745932,0.012787580490112305,True
kgateway-consistent-hash-policy,observational-memory-gpt54-off,57,79,0.7215189873417721,0.8354260921478271,0.8509792685508728,0.8431309593675914,0.021222472190856934,True
kgateway-consistent-hash-policy,observational-memory-gpt54-xhigh,33,79,0.4177215189873418,0.907219409942627,0.8270875811576843,0.8653022921538223,0.021857082843780518,True
kgateway-consistent-hash-policy,observational-memory-gpt54mini-low,25,79,0.31645569620253167,1.0,0.855782151222229,0.922287296123207,0.013369262218475342,True
kgateway-consistent-hash-policy,observational-memory-gpt54mini-off,29,79,0.3670886075949367,0.8952739238739014,0.8413666486740112,0.8674836150693865,0.0139082670211792,True
kgateway-consistent-hash-policy,observational-memory-gpt54mini-xhigh,33,79,0.4177215189873418,0.8605736494064331,0.8211467266082764,0.840398017760891,0.028706669807434082,True
kgateway-consistent-hash-policy,observational-memory-gpt55-low,34,79,0.43037974683544306,0.8791693449020386,0.8489028215408325,0.8637710299284761,0.011549234390258789,True
kgateway-consistent-hash-policy,observational-memory-gpt55-off,27,79,0.34177215189873417,0.8929423689842224,0.8388023972511292,0.8650260873481115,0.015335321426391602,True
kgateway-consistent-hash-policy,observational-memory-gpt55-xhigh,60,79,0.759493670886076,0.8171871900558472,0.8228570222854614,0.8200123055209919,0.04664969444274902,True
mashumaro-flattened-dataclass-fields,observational-memory-glm52-high,53,94,0.5638297872340425,0.8760812282562256,0.8555720448493958,0.8657051842359561,0.011141777038574219,True
mashumaro-flattened-dataclass-fields,observational-memory-glm52-max,86,94,0.9148936170212766,0.8743761777877808,0.8550844192504883,0.8646227008241947,0.015862584114074707,True
mashumaro-flattened-dataclass-fields,observational-memory-glm52-off,50,94,0.5319148936170213,1.0,0.9189780950546265,0.9577786191753965,0.0045279860496521,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-low,28,94,0.2978723404255319,0.895971953868866,0.8089265823364258,0.8502271720235194,0.03324484825134277,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-off,34,94,0.3617021276595745,0.8545891642570496,0.8076627254486084,0.8304635630944204,0.02204155921936035,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-xhigh,22,94,0.23404255319148937,0.9075550436973572,0.8004767298698425,0.8506594605538356,0.030771493911743164,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-low,44,94,0.46808510638297873,1.0,0.907023549079895,0.9512452528627848,0.005803346633911133,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-off,57,94,0.6063829787234043,0.8541222810745239,0.8398897647857666,0.8469462345359586,0.013702630996704102,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-xhigh,10,94,0.10638297872340426,0.8756942749023438,0.7424680590629578,0.8035967899784635,0.03963887691497803,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-low,41,94,0.43617021276595747,0.8785827159881592,0.832356333732605,0.8548450495417594,0.019948840141296387,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-off,46,94,0.48936170212765956,0.8779106736183167,0.838059663772583,0.8575224267263376,0.01450735330581665,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-xhigh,13,94,0.13829787234042554,0.8956642746925354,0.7742653489112854,0.8305521410604224,0.030648767948150635,True
ts-pattern-match-each,observational-memory-glm52-high,39,75,0.52,0.9069833159446716,0.8498556017875671,0.8774906384455686,0.015406191349029541,True
ts-pattern-match-each,observational-memory-glm52-max,27,75,0.36,0.925607442855835,0.8629063963890076,0.8931578447531725,0.011347651481628418,True
ts-pattern-match-each,observational-memory-glm52-off,45,75,0.6,1.0,0.9264222383499146,0.9618060048387373,0.005346834659576416,True
ts-pattern-match-each,observational-memory-gpt54-low,24,75,0.32,0.8682122230529785,0.8211512565612793,0.8440262460090628,0.02004265785217285,True
ts-pattern-match-each,observational-memory-gpt54-off,22,75,0.29333333333333333,0.875806450843811,0.8135464191436768,0.8435291579457787,0.0226823091506958,True
ts-pattern-match-each,observational-memory-gpt54-xhigh,0,75,0.0,nan,nan,nan,nan,False
ts-pattern-match-each,observational-memory-gpt54mini-low,30,75,0.4,1.0,0.8863450884819031,0.9397486111040455,0.013635873794555664,True
ts-pattern-match-each,observational-memory-gpt54mini-off,27,75,0.36,0.880855143070221,0.8280271887779236,0.8536246109446283,0.017321228981018066,True
ts-pattern-match-each,observational-memory-gpt54mini-xhigh,0,75,0.0,nan,nan,nan,nan,False
ts-pattern-match-each,observational-memory-gpt55-low,16,75,0.21333333333333335,0.8555989265441895,0.8060000538825989,0.8300592249032082,0.02326023578643799,True
ts-pattern-match-each,observational-memory-gpt55-off,12,75,0.16,0.8636854290962219,0.8029084801673889,0.8321887549976396,0.02142024040222168,True
ts-pattern-match-each,observational-memory-gpt55-xhigh,0,75,0.0,nan,nan,nan,nan,False
yjs-map-conflict-detection,observational-memory-glm52-high,61,118,0.5169491525423728,0.8999077081680298,0.8672576546669006,0.8832810610892136,0.0049533843994140625,True
yjs-map-conflict-detection,observational-memory-glm52-max,147,118,1.2457627118644068,0.8979647755622864,0.8777410387992859,0.8877377418405166,0.005948007106781006,True
yjs-map-conflict-detection,observational-memory-glm52-off,67,118,0.5677966101694916,1.0,0.9317595958709717,0.9646744841982986,0.0037296414375305176,True
yjs-map-conflict-detection,observational-memory-gpt54-low,32,118,0.2711864406779661,0.9043029546737671,0.8278424143791199,0.8643851199817465,0.016316115856170654,True
yjs-map-conflict-detection,observational-memory-gpt54-off,48,118,0.4067796610169492,0.882396399974823,0.8498467803001404,0.8658157792233356,0.009714186191558838,True
yjs-map-conflict-detection,observational-memory-gpt54-xhigh,34,118,0.288135593220339,0.9010539650917053,0.8184254765510559,0.8577543911474215,0.014425158500671387,True
yjs-map-conflict-detection,observational-memory-gpt54mini-low,51,118,0.4322033898305085,1.0,0.9095460176467896,0.9526306349691009,0.006920814514160156,True
yjs-map-conflict-detection,observational-memory-gpt54mini-off,55,118,0.4661016949152542,0.8838251829147339,0.8324534296989441,0.8573704751249235,0.012234330177307129,True
yjs-map-conflict-detection,observational-memory-gpt54mini-xhigh,44,118,0.3728813559322034,0.8815732598304749,0.7828124165534973,0.8292627167954927,0.021278440952301025,True
yjs-map-conflict-detection,observational-memory-gpt55-low,71,118,0.6016949152542372,0.865506649017334,0.8620873093605042,0.8637935953255893,0.007229983806610107,True
yjs-map-conflict-detection,observational-memory-gpt55-off,61,118,0.5169491525423728,0.8991122245788574,0.8592045307159424,0.8787054945065608,0.008205115795135498,True
yjs-map-conflict-detection,observational-memory-gpt55-xhigh,0,118,0.0,nan,nan,nan,nan,False
