model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_sym_turns,first_sym_turn,last_sym_turn,sym_coverage,n_gold_symbols
gpt-5.5,low,baseline,mashumaro-flattened-dataclass-fields,0,found_then_lost,0,0.9981715425531915,53,1,22,22,0.077,13
gpt-5.5,low,baseline,mashumaro-flattened-dataclass-fields,1,found_then_lost,0,0.9997340425531915,33,3,11,20,0.154,13
gpt-5.5,low,baseline,mashumaro-flattened-dataclass-fields,2,found_then_lost,0,0.9996010638297872,51,1,10,10,0.077,13
gpt-5.5,low,baseline,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9998641251601382,62,1,50,50,0.059,17
gpt-5.5,low,baseline,mnamer-daemon-watch-lifecycle,0,solved,1,1.0,21,8,0,18,0.409,22
gpt-5.5,low,baseline,mobly-grouped-test-barriers,0,found_kept_failed,0,0.9932356257046223,31,10,1,23,0.256,39
gpt-5.5,low,baseline,narwhals-rolling-window-suite,0,found_kept_failed,0,0.9988230678697528,63,16,20,56,0.263,19
gpt-5.5,low,baseline,numba-stencil-boundary-modes,0,solved,1,1.0,60,5,8,48,0.143,14
gpt-5.5,low,baseline,obsidian-linter-auto-table-of-contents,0,found_then_lost,0,0.9650170648464164,39,2,9,20,0.071,14
gpt-5.5,low,baseline,obsidian-linter-auto-table-of-contents,1,found_then_lost,0,0.9650170648464164,32,2,12,14,0.071,14
gpt-5.5,low,baseline,obsidian-linter-auto-table-of-contents,2,found_kept_failed,0,0.9650170648464164,36,3,12,27,0.143,14
gpt-5.5,low,baseline,obsidian-linter-link-format-conversion,0,solved,1,1.0,43,3,18,32,0.053,19
gpt-5.5,low,baseline,obsidian-linter-scoped-ignore-markers,0,search_failure,0,0.9716981132075472,29,0,,,0.0,39
gpt-5.5,low,baseline,ofetch-per-origin-circuit-breaker,0,found_kept_failed,0,0.9666666666666667,43,11,1,39,0.286,14
gpt-5.5,low,baseline,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.9886363636363636,30,14,1,27,0.5,38
gpt-5.5,low,baseline,onedump-dump-encryption-pipeline,1,found_kept_failed,0,0.9886363636363636,34,15,1,30,0.526,38
gpt-5.5,low,baseline,onedump-dump-encryption-pipeline,2,found_kept_failed,0,0.9659090909090909,27,17,1,22,0.526,38
gpt-5.5,low,baseline,opa-rego-rule-profiling,0,found_kept_failed,0,0.9032258064516129,55,18,2,49,0.811,37
gpt-5.5,low,baseline,opa-template-string-reconstruction,0,found_kept_failed,0,0.8888888888888888,46,3,2,44,0.037,27
gpt-5.5,low,baseline,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9995169082125603,59,16,0,58,0.2,15
gpt-5.5,low,baseline,oxvg-structural-selector-preservation,0,found_then_lost,0,0.9558823529411765,38,2,12,13,0.019,54
gpt-5.5,low,baseline,oxvg-structural-selector-preservation,1,search_failure,0,0.9117647058823529,39,0,,,0.0,54
gpt-5.5,low,baseline,oxvg-structural-selector-preservation,2,search_failure,0,0.9558823529411765,30,0,,,0.0,54
gpt-5.5,low,baseline,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.9959016393442623,26,16,1,25,0.5,48
gpt-5.5,low,baseline,pebble-durability-wait-apis,0,found_kept_failed,0,0.9805825242718447,82,27,0,80,0.556,36
gpt-5.5,low,baseline,pest-character-class-coalescing,0,found_then_lost,0,0.9887005649717514,27,6,8,19,0.304,23
gpt-5.5,low,baseline,prometheus-transactional-reload-status,0,solved,1,1.0,60,2,14,16,0.25,4
gpt-5.5,low,baseline,prometheus-typed-label-sorting,0,found_kept_failed,0,0.9777777777777777,22,5,6,17,0.023,44
gpt-5.5,low,baseline,prometheus-typed-label-sorting,1,found_kept_failed,0,0.9555555555555556,23,3,10,17,0.023,44
gpt-5.5,low,baseline,prometheus-typed-label-sorting,2,found_then_lost,0,0.9555555555555556,24,3,7,10,0.023,44
gpt-5.5,low,baseline,psd-tools-blend-range-api,0,found_then_lost,0,0.9970703125,33,10,2,24,0.828,29
gpt-5.5,low,baseline,pwntools-tube-multiplexing,0,found_kept_failed,0,0.972972972972973,23,21,1,21,0.794,34
gpt-5.5,low,baseline,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.9977908689248896,75,29,0,67,0.25,68
gpt-5.5,low,baseline,python-statemachine-state-data-scoping,1,found_kept_failed,0,0.9779086892488954,61,19,1,53,0.235,68
gpt-5.5,low,baseline,python-statemachine-state-data-scoping,2,found_kept_failed,0,0.975699558173785,44,16,0,38,0.235,68
gpt-5.5,low,baseline,query-persist-restored-query-state,0,solved,1,1.0,42,0,,,0.0,13
gpt-5.5,low,baseline,quill-shared-toolbar-focus,0,found_kept_failed,0,0.8571428571428571,28,3,11,24,0.148,27
gpt-5.5,low,baseline,returns-validated-error-accumulation,0,found_kept_failed,0,0.9863636363636363,35,19,0,33,0.822,45
gpt-5.5,low,baseline,scc-bounded-memory-spilling,0,solved,1,1.0,44,1,24,24,0.022,45
gpt-5.5,low,baseline,scriggo-method-declarations,0,found_kept_failed,0,0.9544211485870556,46,10,2,45,0.148,54
gpt-5.5,low,baseline,skrub-duration-encoding,0,solved,1,1.0,52,20,1,50,0.191,47
gpt-5.5,low,baseline,sql-formatter-bigquery-pipe-formatting,0,solved,1,1.0,48,0,,,0.0,4
gpt-5.5,low,baseline,sqlfmt-create-table-ddl-formatting,0,found_then_lost,0,0.9969348659003832,29,2,12,18,0.263,38
gpt-5.5,low,baseline,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.9954462659380692,60,28,1,58,0.658,38
gpt-5.5,low,baseline,superjson-error-stack-serialization,0,found_kept_failed,0,0.9897959183673469,36,10,9,31,0.455,22
gpt-5.5,low,baseline,task-task-graph-export,0,solved,1,1.0,33,3,24,27,0.348,23
gpt-5.5,low,baseline,tengo-callable-instance-isolation,0,found_kept_failed,0,0.9448275862068966,42,11,1,35,0.122,41
gpt-5.5,low,baseline,tengo-destructuring-bindings,0,found_then_lost,0,0.7130044843049327,41,4,18,27,0.152,33
gpt-5.5,low,baseline,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9590163934426229,25,12,6,21,0.448,29
gpt-5.5,low,baseline,termenv-preserve-ansi-resets,1,found_kept_failed,0,0.9918032786885246,25,11,6,21,0.448,29
gpt-5.5,low,baseline,termenv-preserve-ansi-resets,2,found_kept_failed,0,0.8442622950819673,20,9,1,16,0.552,29
gpt-5.5,low,baseline,testem-bail-on-test-failure,0,found_then_lost,0,0.9758203799654577,47,2,28,29,0.111,9
gpt-5.5,low,baseline,testem-per-launcher-reports,0,found_kept_failed,0,0.99812734082397,40,10,2,34,0.5,8
gpt-5.5,low,baseline,textual-kitty-key-phases,0,found_then_lost,0,0.9,29,10,1,20,0.3,50
gpt-5.5,low,baseline,textual-kitty-key-phases,1,found_then_lost,0,0.85,28,10,2,20,0.32,50
gpt-5.5,low,baseline,textual-kitty-key-phases,2,found_kept_failed,0,0.9,34,16,1,28,0.32,50
gpt-5.5,low,baseline,textual-richlog-follow-state,0,found_kept_failed,0,0.9615384615384616,29,12,0,24,0.319,47
gpt-5.5,low,baseline,tomlkit-toml-table-converters,0,found_kept_failed,0,0.9853515625,34,10,13,30,0.35,20
gpt-5.5,low,baseline,true-myth-iterable-collection-combinators,0,solved,1,1.0,35,2,26,28,0.5,2
gpt-5.5,low,baseline,ts-pattern-match-each,0,found_then_lost,0,0.989010989010989,23,3,7,12,0.5,6
gpt-5.5,low,baseline,ts-pattern-match-each,1,solved,1,1.0,31,4,6,23,0.5,6
gpt-5.5,low,baseline,ts-pattern-match-each,2,found_then_lost,0,0.989010989010989,26,2,8,12,0.5,6
gpt-5.5,low,baseline,updo-policy-alerting,0,found_kept_failed,0,0.9928571428571429,34,13,8,30,0.476,42
gpt-5.5,low,baseline,updo-policy-alerting,1,found_kept_failed,0,0.9857142857142858,36,12,2,30,0.405,42
gpt-5.5,low,baseline,updo-policy-alerting,2,found_kept_failed,0,0.9428571428571428,15,7,1,14,0.238,42
gpt-5.5,low,baseline,valibot-recursive-schema-composition,0,found_kept_failed,0,0.9954337899543378,59,40,1,57,0.353,17
gpt-5.5,low,baseline,vitest-duration-sharding,0,solved,1,1.0,48,21,11,46,0.24,25
gpt-5.5,low,baseline,vulture-persistent-analysis-cache,0,found_kept_failed,0,0.9623824451410659,29,5,7,24,0.116,43
gpt-5.5,low,baseline,wasmi-trap-coredumps,0,found_kept_failed,0,0.825,47,19,1,45,0.175,40
gpt-5.5,low,baseline,wasmi-trap-coredumps,1,found_kept_failed,0,0.825,46,14,1,43,0.175,40
gpt-5.5,low,baseline,wasmi-trap-coredumps,2,found_kept_failed,0,0.825,41,14,1,38,0.175,40
gpt-5.5,low,baseline,wazero-multi-module-snapshots,0,found_then_lost,0,0.975,21,4,5,15,0.667,42
gpt-5.5,low,baseline,wazero-multi-module-snapshots,1,solved,1,1.0,18,4,6,13,0.667,42
gpt-5.5,low,baseline,wazero-multi-module-snapshots,2,solved,1,1.0,18,6,1,15,0.667,42
gpt-5.5,low,baseline,yaegi-go-embed-directives,0,found_kept_failed,0,0.8125,46,8,2,39,0.543,35
gpt-5.5,low,baseline,yjs-map-conflict-detection,0,found_then_lost,0,0.9958333333333333,47,4,10,22,0.053,38
gpt-5.5,low,baseline,yjs-map-conflict-detection,1,found_kept_failed,0,0.9958333333333333,37,6,12,30,0.026,38
gpt-5.5,low,baseline,yjs-map-conflict-detection,2,solved,1,1.0,50,6,22,38,0.079,38
gpt-5.5,low,baseline,ytt-jsonpath-query-api,0,solved,1,1.0,24,3,13,17,0.061,66
gpt-5.5,low,observational-memory-gpt55-low,actionlint-action-pinning-lint,0,solved,1,1.0,44,9,13,37,0.294,34
gpt-5.5,low,observational-memory-gpt55-low,actionlint-action-pinning-lint,1,solved,1,1.0,38,12,4,33,0.265,34
gpt-5.5,low,observational-memory-gpt55-low,actionlint-action-pinning-lint,2,found_kept_failed,0,0.915,34,8,15,27,0.235,34
gpt-5.5,low,observational-memory-gpt55-low,anko-default-function-arguments,0,search_failure,0,0.9834710743801653,42,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt55-low,anko-default-function-arguments,1,search_failure,0,0.9834710743801653,46,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt55-low,anko-default-function-arguments,2,search_failure,0,0.9834710743801653,60,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt55-low,awilix-async-container-initialization,0,solved,1,1.0,30,8,8,18,0.267,15
gpt-5.5,low,observational-memory-gpt55-low,awilix-async-container-initialization,1,found_kept_failed,0,0.9946236559139785,40,16,1,37,0.267,15
gpt-5.5,low,observational-memory-gpt55-low,awilix-async-container-initialization,2,solved,1,1.0,43,10,10,34,0.267,15
gpt-5.5,low,observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.9583333333333334,72,18,15,68,0.41,39
gpt-5.5,low,observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,1,found_kept_failed,0,0.9583333333333334,67,16,26,60,0.436,39
gpt-5.5,low,observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.75,67,10,19,54,0.436,39
gpt-5.5,low,observational-memory-gpt55-low,cattrs-partial-structuring-recovery,0,solved,1,1.0,28,9,2,24,0.25,20
gpt-5.5,low,observational-memory-gpt55-low,cattrs-partial-structuring-recovery,1,solved,1,1.0,32,10,2,27,0.25,20
gpt-5.5,low,observational-memory-gpt55-low,cattrs-partial-structuring-recovery,2,solved,1,1.0,45,15,1,40,0.25,20
gpt-5.5,low,observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,0,found_then_lost,0,0.9831288343558282,83,8,22,45,0.222,9
gpt-5.5,low,observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,1,found_then_lost,0,0.9961656441717791,66,4,17,20,0.222,9
gpt-5.5,low,observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,2,found_then_lost,0,0.9815950920245399,82,5,16,25,0.222,9
gpt-5.5,low,observational-memory-gpt55-low,fastapi-implicit-head-options,0,found_kept_failed,0,0.909663204280768,63,12,3,60,0.258,31
gpt-5.5,low,observational-memory-gpt55-low,fastapi-implicit-head-options,1,found_kept_failed,0,0.9937047529115518,53,14,2,46,0.323,31
gpt-5.5,low,observational-memory-gpt55-low,fastapi-implicit-head-options,2,found_kept_failed,0,0.9933899905571294,64,12,3,55,0.258,31
gpt-5.5,low,observational-memory-gpt55-low,httpx-streaming-json-iteration,0,found_then_lost,0,0.998015873015873,35,9,2,21,0.238,21
gpt-5.5,low,observational-memory-gpt55-low,httpx-streaming-json-iteration,1,found_kept_failed,0,0.998015873015873,40,9,2,35,0.19,21
gpt-5.5,low,observational-memory-gpt55-low,httpx-streaming-json-iteration,2,found_kept_failed,0,0.9986772486772487,32,7,2,28,0.19,21
gpt-5.5,low,observational-memory-gpt55-low,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,45,9,18,41,0.17,47
gpt-5.5,low,observational-memory-gpt55-low,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,38,6,19,27,0.149,47
gpt-5.5,low,observational-memory-gpt55-low,kgateway-consistent-hash-policy,2,solved,1,1.0,39,8,6,28,0.149,47
gpt-5.5,low,observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,0,found_then_lost,0,0.9998337765957447,44,2,13,16,0.154,13
gpt-5.5,low,observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,1,search_failure,0,0.9999002659574469,34,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,2,search_failure,0,0.9999667553191489,49,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt55-low,ts-pattern-match-each,0,solved,1,1.0,20,3,7,12,0.5,6
gpt-5.5,low,observational-memory-gpt55-low,ts-pattern-match-each,1,solved,1,1.0,22,2,8,13,0.5,6
gpt-5.5,low,observational-memory-gpt55-low,ts-pattern-match-each,2,solved,1,1.0,25,4,9,19,0.5,6
gpt-5.5,low,observational-memory-gpt55-low,yjs-map-conflict-detection,0,solved,1,1.0,48,8,15,44,0.079,38
gpt-5.5,low,observational-memory-gpt55-low,yjs-map-conflict-detection,1,found_kept_failed,0,0.9875,39,5,17,32,0.079,38
gpt-5.5,low,observational-memory-gpt55-low,yjs-map-conflict-detection,2,found_then_lost,0,0.9958333333333333,50,7,20,30,0.053,38
gpt-5.5,low,observational-memory-gpt54mini-low,abs-module-cache-flags,0,found_then_lost,0,0.8260869565217391,34,6,12,25,0.146,48
gpt-5.5,low,observational-memory-gpt54mini-low,abs-stepped-slices,0,solved,1,1.0,25,5,10,18,0.167,18
gpt-5.5,low,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,solved,1,1.0,37,12,13,32,0.235,34
