config_a,config_b,topics_a,topics_b,topics_union,topics_overlap,unique_topics_a,unique_topics_b,union_topic_recall,jaccard_overlap,unique_add_a_over_b,unique_add_b_over_a,solve_a,solve_b,robust_partial_a,robust_partial_b,oracle_solve_rate,oracle_robust_partial
observational-memory-gpt54-off,observational-memory-gpt54mini-low,272,293,443,122,150,171,0.29260237780713344,0.27539503386004516,0.5514705882352942,0.5836177474402731,0.3055555555555556,0.4444444444444444,0.9361634949615145,0.996136224062402,0.5,0.9968511594927638
observational-memory-gpt54-off,observational-memory-gpt54mini-off,272,369,514,127,145,242,0.3394980184940555,0.24708171206225682,0.5330882352941176,0.6558265582655827,0.3055555555555556,0.38888888888888884,0.9361634949615145,0.9917889294095209,0.47222222222222227,0.9936003560679527
observational-memory-gpt54-off,observational-memory-gpt54mini-xhigh,272,154,359,67,205,87,0.23712021136063408,0.18662952646239556,0.7536764705882353,0.564935064935065,0.3055555555555556,0.2777777777777778,0.9361634949615145,0.9336700497561488,0.3888888888888889,0.9370238809780825
observational-memory-gpt54-off,observational-memory-gpt55-low,272,318,455,135,137,183,0.3005284015852048,0.2967032967032967,0.5036764705882353,0.5754716981132075,0.3055555555555556,0.3333333333333333,0.9361634949615145,0.9919011204728209,0.4444444444444444,0.992776091326438
observational-memory-gpt54-off,observational-memory-gpt55-off,272,284,429,127,145,157,0.28335535006605017,0.29603729603729606,0.5330882352941176,0.5528169014084507,0.3055555555555556,0.3888888888888889,0.9361634949615145,0.985957141924747,0.5277777777777778,0.989758550213263
observational-memory-gpt54-off,observational-memory-gpt55-xhigh,272,323,491,104,168,219,0.3243064729194188,0.21181262729124237,0.6176470588235294,0.6780185758513931,0.3055555555555556,0.3055555555555555,0.9361634949615145,0.9308597384435456,0.4444444444444444,0.9374789284918913
observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,173,293,359,107,66,186,0.23712021136063408,0.298050139275766,0.3815028901734104,0.6348122866894198,0.2222222222222222,0.4444444444444444,0.9339937773411164,0.996136224062402,0.5,0.9969351585734579
observational-memory-gpt54-xhigh,observational-memory-gpt54mini-off,173,369,440,102,71,267,0.2906208718626156,0.2318181818181818,0.41040462427745666,0.7235772357723578,0.2222222222222222,0.38888888888888884,0.9339937773411164,0.9917889294095209,0.38888888888888884,0.9924831754238225
observational-memory-gpt54-xhigh,observational-memory-gpt54mini-xhigh,173,154,242,85,88,69,0.15984147952443858,0.3512396694214876,0.5086705202312138,0.44805194805194803,0.2222222222222222,0.2777777777777778,0.9339937773411164,0.9336700497561488,0.3055555555555555,0.9348335527679864
observational-memory-gpt54-xhigh,observational-memory-gpt55-low,173,318,381,110,63,208,0.25165125495376484,0.2887139107611549,0.36416184971098264,0.6540880503144654,0.2222222222222222,0.3333333333333333,0.9339937773411164,0.9919011204728209,0.4444444444444444,0.9931810824331523
observational-memory-gpt54-xhigh,observational-memory-gpt55-off,173,284,350,107,66,177,0.2311756935270806,0.3057142857142857,0.3815028901734104,0.6232394366197183,0.2222222222222222,0.3888888888888889,0.9339937773411164,0.985957141924747,0.41666666666666674,0.9870536331528172
observational-memory-gpt54-xhigh,observational-memory-gpt55-xhigh,173,323,386,110,63,213,0.25495376486129456,0.2849740932642487,0.36416184971098264,0.6594427244582043,0.2222222222222222,0.3055555555555555,0.9339937773411164,0.9308597384435456,0.3333333333333333,0.9350783549721452
observational-memory-gpt54mini-low,observational-memory-gpt54mini-off,293,369,511,151,142,218,0.33751651254953763,0.29549902152641877,0.48464163822525597,0.5907859078590786,0.4444444444444444,0.38888888888888884,0.996136224062402,0.9917889294095209,0.5277777777777778,0.9963742652002386
observational-memory-gpt54mini-low,observational-memory-gpt54mini-xhigh,293,154,378,69,224,85,0.24966974900924702,0.18253968253968253,0.764505119453925,0.551948051948052,0.4444444444444444,0.2777777777777778,0.996136224062402,0.9336700497561488,0.47222222222222227,0.9962552446313203
observational-memory-gpt54mini-low,observational-memory-gpt55-low,293,318,471,140,153,178,0.31109643328929987,0.29723991507430997,0.5221843003412969,0.559748427672956,0.4444444444444444,0.3333333333333333,0.996136224062402,0.9919011204728209,0.47222222222222227,0.996136224062402
observational-memory-gpt54mini-low,observational-memory-gpt55-off,293,284,438,139,154,145,0.2892998678996037,0.317351598173516,0.5255972696245734,0.5105633802816901,0.4444444444444444,0.3888888888888889,0.996136224062402,0.985957141924747,0.5833333333333334,0.9969613887696598
observational-memory-gpt54mini-low,observational-memory-gpt55-xhigh,293,323,510,106,187,217,0.3368560105680317,0.20784313725490197,0.6382252559726962,0.6718266253869969,0.4444444444444444,0.3055555555555555,0.996136224062402,0.9308597384435456,0.5,0.9962149146510076
observational-memory-gpt54mini-off,observational-memory-gpt54mini-xhigh,369,154,442,81,288,73,0.2919418758256275,0.1832579185520362,0.7804878048780488,0.474025974025974,0.38888888888888884,0.2777777777777778,0.9917889294095209,0.9336700497561488,0.38888888888888884,0.9918027813598754
observational-memory-gpt54mini-off,observational-memory-gpt55-low,369,318,536,151,218,167,0.35402906208718626,0.28171641791044777,0.5907859078590786,0.5251572327044025,0.38888888888888884,0.3333333333333333,0.9917889294095209,0.9919011204728209,0.5,0.9929020429780165
observational-memory-gpt54mini-off,observational-memory-gpt55-off,369,284,516,137,232,147,0.34081902245706736,0.2655038759689923,0.6287262872628726,0.5176056338028169,0.38888888888888884,0.3888888888888889,0.9917889294095209,0.985957141924747,0.47222222222222227,0.9925177167902371
observational-memory-gpt54mini-off,observational-memory-gpt55-xhigh,369,323,576,116,253,207,0.380449141347424,0.2013888888888889,0.6856368563685636,0.6408668730650154,0.38888888888888884,0.3055555555555555,0.9917889294095209,0.9308597384435456,0.4166666666666667,0.9918676199981263
observational-memory-gpt54mini-xhigh,observational-memory-gpt55-low,154,318,390,82,72,236,0.2575957727873184,0.21025641025641026,0.4675324675324675,0.7421383647798742,0.2777777777777778,0.3333333333333333,0.9336700497561488,0.9919011204728209,0.4444444444444444,0.9926781016242908
observational-memory-gpt54mini-xhigh,observational-memory-gpt55-off,154,284,364,74,80,210,0.2404227212681638,0.2032967032967033,0.5194805194805194,0.7394366197183099,0.2777777777777778,0.3888888888888889,0.9336700497561488,0.985957141924747,0.47222222222222227,0.9878850974094745
observational-memory-gpt54mini-xhigh,observational-memory-gpt55-xhigh,154,323,375,102,52,221,0.2476882430647292,0.272,0.33766233766233766,0.6842105263157895,0.2777777777777778,0.3055555555555555,0.9336700497561488,0.9308597384435456,0.3333333333333333,0.9351104045959371
observational-memory-gpt55-low,observational-memory-gpt55-off,318,284,430,172,146,112,0.28401585204755614,0.4,0.4591194968553459,0.39436619718309857,0.3333333333333333,0.3888888888888889,0.9919011204728209,0.985957141924747,0.47222222222222227,0.9932335428255561
observational-memory-gpt55-low,observational-memory-gpt55-xhigh,318,323,501,140,178,183,0.33091149273447823,0.27944111776447106,0.559748427672956,0.56656346749226,0.3333333333333333,0.3055555555555555,0.9919011204728209,0.9308597384435456,0.47222222222222215,0.9924870687069042
observational-memory-gpt55-off,observational-memory-gpt55-xhigh,284,323,475,132,152,191,0.3137384412153236,0.27789473684210525,0.5352112676056338,0.5913312693498453,0.3888888888888889,0.3055555555555555,0.985957141924747,0.9308597384435456,0.47222222222222215,0.9860735082476211
