task,config,best_config,obs_count,best_obs_count,obs_count_ratio,obs_tokens,best_obs_tokens,centroid_similarity,centroid_distance,semantic_precision_vs_best,semantic_recall_vs_best,semantic_f1_vs_best,has_observations
mashumaro-flattened-dataclass-fields,observational-memory-glm52-max,observational-memory-gpt54mini-low,86,44,1.9545454545454546,6014,1746,0.9673469662666321,0.03265303373336792,0.8191916942596436,0.8327562212944031,0.8259182670400623,True
ts-pattern-match-each,observational-memory-glm52-max,observational-memory-gpt54mini-low,27,30,0.9,2043,1118,0.959097146987915,0.04090285301208496,0.8337997198104858,0.8063660264015198,0.8198534427768439,True
yjs-map-conflict-detection,observational-memory-glm52-max,observational-memory-gpt54mini-low,147,51,2.8823529411764706,9150,2042,0.9814648032188416,0.018535196781158447,0.8296290040016174,0.8395951390266418,0.8345823200131848,True
actionlint-action-pinning-lint,observational-memory-glm52-off,observational-memory-gpt54mini-low,59,38,1.5526315789473684,3701,1589,0.9662295579910278,0.03377044200897217,0.7808980941772461,0.851115882396698,0.8144964197951561,True
anko-default-function-arguments,observational-memory-glm52-off,observational-memory-gpt54mini-low,26,26,1.0,2043,1079,0.9142699241638184,0.08573007583618164,0.764041543006897,0.7610424757003784,0.7625390605309503,True
awilix-async-container-initialization,observational-memory-glm52-off,observational-memory-gpt54mini-low,44,22,2.0,3091,1041,0.9371742010116577,0.06282579898834229,0.8042406439781189,0.854251503944397,0.8284920498563806,True
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-off,observational-memory-gpt54mini-low,125,48,2.6041666666666665,7782,1998,0.9758924245834351,0.02410757541656494,0.784904956817627,0.8282390236854553,0.8059899463131198,True
cattrs-partial-structuring-recovery,observational-memory-glm52-off,observational-memory-gpt54mini-low,57,40,1.425,4086,1753,0.9692873954772949,0.030712604522705078,0.825921356678009,0.8318825960159302,0.8288912584407944,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-glm52-off,observational-memory-gpt54mini-low,97,55,1.7636363636363637,5713,2130,0.9626827239990234,0.03731727600097656,0.8008854389190674,0.8128751516342163,0.8068357554570945,True
fastapi-implicit-head-options,observational-memory-glm52-off,observational-memory-gpt54mini-low,95,52,1.8269230769230769,5397,2302,0.9823786616325378,0.017621338367462158,0.8426700830459595,0.8750844597816467,0.8585714384810508,True
httpx-streaming-json-iteration,observational-memory-glm52-off,observational-memory-gpt54mini-low,19,31,0.6129032258064516,1242,1309,0.9748225212097168,0.025177478790283203,0.8782551288604736,0.84306401014328,0.8602998410794983,True
kgateway-consistent-hash-policy,observational-memory-glm52-off,observational-memory-gpt54mini-low,54,25,2.16,4256,1188,0.9695580005645752,0.030441999435424805,0.789014458656311,0.8769469261169434,0.8306600747227407,True
mashumaro-flattened-dataclass-fields,observational-memory-glm52-off,observational-memory-gpt54mini-low,50,44,1.1363636363636365,3069,1746,0.9794692397117615,0.020530760288238525,0.8252042531967163,0.8269076943397522,0.8260550955856958,True
ts-pattern-match-each,observational-memory-glm52-off,observational-memory-gpt54mini-low,45,30,1.5,3172,1118,0.9640939235687256,0.035906076431274414,0.8105753660202026,0.8160557150840759,0.8133063085184561,True
yjs-map-conflict-detection,observational-memory-glm52-off,observational-memory-gpt54mini-low,67,51,1.3137254901960784,4220,2042,0.9792410135269165,0.020758986473083496,0.8406931757926941,0.8421104550361633,0.8414012185888642,True
actionlint-action-pinning-lint,observational-memory-gpt54-low,observational-memory-gpt54mini-low,35,38,0.9210526315789473,2080,1589,0.9779593348503113,0.02204066514968872,0.8576673269271851,0.8760233521461487,0.8667481642833457,True
anko-default-function-arguments,observational-memory-gpt54-low,observational-memory-gpt54mini-low,32,26,1.2307692307692308,1601,1079,0.9475117921829224,0.05248820781707764,0.7695804834365845,0.8303651213645935,0.7988181468307521,True
awilix-async-container-initialization,observational-memory-gpt54-low,observational-memory-gpt54mini-low,28,22,1.2727272727272727,1986,1041,0.9661622047424316,0.03383779525756836,0.7954325079917908,0.8510467410087585,0.8223003648904305,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-low,observational-memory-gpt54mini-low,56,48,1.1666666666666667,3929,1998,0.9791892170906067,0.02081078290939331,0.8118016123771667,0.8319399952888489,0.8217474406278648,True
cattrs-partial-structuring-recovery,observational-memory-gpt54-low,observational-memory-gpt54mini-low,43,40,1.075,2454,1753,0.9785659313201904,0.02143406867980957,0.8697744011878967,0.8641884922981262,0.8669724493249462,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54-low,observational-memory-gpt54mini-low,59,55,1.0727272727272728,4658,2130,0.973878026008606,0.026121973991394043,0.8072938919067383,0.8118768930435181,0.8095789064701882,True
fastapi-implicit-head-options,observational-memory-gpt54-low,observational-memory-gpt54mini-low,51,52,0.9807692307692307,3253,2302,0.9803200960159302,0.019679903984069824,0.8423036336898804,0.8474051356315613,0.8448466835341913,True
httpx-streaming-json-iteration,observational-memory-gpt54-low,observational-memory-gpt54mini-low,24,31,0.7741935483870968,1403,1309,0.9752172827720642,0.02478271722793579,0.8109133839607239,0.8448864221572876,0.8275513804537847,True
kgateway-consistent-hash-policy,observational-memory-gpt54-low,observational-memory-gpt54mini-low,34,25,1.36,2153,1188,0.9857068061828613,0.014293193817138672,0.8338297605514526,0.8933256268501282,0.8625529572664052,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-low,observational-memory-gpt54mini-low,28,44,0.6363636363636364,1530,1746,0.966127872467041,0.033872127532958984,0.8758887648582458,0.8174561858177185,0.8456643032310631,True
ts-pattern-match-each,observational-memory-gpt54-low,observational-memory-gpt54mini-low,24,30,0.8,1385,1118,0.979332447052002,0.020667552947998047,0.8210418820381165,0.8255023956298828,0.8232660970342824,True
yjs-map-conflict-detection,observational-memory-gpt54-low,observational-memory-gpt54mini-low,32,51,0.6274509803921569,2158,2042,0.9775501489639282,0.022449851036071777,0.8788121938705444,0.8113921880722046,0.8437575437705953,True
actionlint-action-pinning-lint,observational-memory-gpt54-off,observational-memory-gpt54mini-low,29,38,0.7631578947368421,1716,1589,0.964317798614502,0.03568220138549805,0.8315961956977844,0.8528903126716614,0.8421086614125505,True
anko-default-function-arguments,observational-memory-gpt54-off,observational-memory-gpt54mini-low,30,26,1.1538461538461537,1618,1079,0.9477079510688782,0.052292048931121826,0.8071110844612122,0.822021484375,0.8144980517801238,True
awilix-async-container-initialization,observational-memory-gpt54-off,observational-memory-gpt54mini-low,31,22,1.4090909090909092,2161,1041,0.9564609527587891,0.04353904724121094,0.7780954241752625,0.8436964154243469,0.8095691496349219,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-off,observational-memory-gpt54mini-low,43,48,0.8958333333333334,2614,1998,0.9744061231613159,0.025593876838684082,0.8246251344680786,0.8269705772399902,0.8257961904640854,True
cattrs-partial-structuring-recovery,observational-memory-gpt54-off,observational-memory-gpt54mini-low,36,40,0.9,2205,1753,0.973806619644165,0.02619338035583496,0.8584281206130981,0.8472923040390015,0.8528238621689609,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54-off,observational-memory-gpt54mini-low,88,55,1.6,5689,2130,0.9712514281272888,0.02874857187271118,0.7992664575576782,0.8219706416130066,0.8104595722297533,True
fastapi-implicit-head-options,observational-memory-gpt54-off,observational-memory-gpt54mini-low,65,52,1.25,3840,2302,0.9835619330406189,0.016438066959381104,0.846555769443512,0.862218976020813,0.854315585610737,True
httpx-streaming-json-iteration,observational-memory-gpt54-off,observational-memory-gpt54mini-low,20,31,0.6451612903225806,1136,1309,0.976677417755127,0.023322582244873047,0.8712202906608582,0.83576500415802,0.8531244317766467,True
kgateway-consistent-hash-policy,observational-memory-gpt54-off,observational-memory-gpt54mini-low,57,25,2.28,3721,1188,0.9726660847663879,0.02733391523361206,0.7856581211090088,0.8856729865074158,0.8326730368691458,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-off,observational-memory-gpt54mini-low,34,44,0.7727272727272727,2238,1746,0.9750492572784424,0.024950742721557617,0.8348955512046814,0.81172776222229,0.8231486727322813,True
ts-pattern-match-each,observational-memory-gpt54-off,observational-memory-gpt54mini-low,22,30,0.7333333333333333,1157,1118,0.980514645576477,0.01948535442352295,0.854509711265564,0.8437568545341492,0.849099241150989,True
yjs-map-conflict-detection,observational-memory-gpt54-off,observational-memory-gpt54mini-low,48,51,0.9411764705882353,2705,2042,0.9887008666992188,0.01129913330078125,0.8576168417930603,0.8421922326087952,0.8498345532915375,True
actionlint-action-pinning-lint,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,27,38,0.7105263157894737,1731,1589,0.9770995378494263,0.02290046215057373,0.8875593543052673,0.8616309762001038,0.8744029961160742,True
anko-default-function-arguments,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,14,26,0.5384615384615384,830,1079,0.9614803194999695,0.03851968050003052,0.8444202542304993,0.7905784249305725,0.8166128120807553,True
awilix-async-container-initialization,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,46,22,2.090909090909091,1680,1041,0.9478182792663574,0.05218172073364258,0.8016066551208496,0.8482646346092224,0.8242759064165012,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,37,48,0.7708333333333334,3420,1998,0.9687997102737427,0.031200289726257324,0.8223673105239868,0.8060154914855957,0.8141093005350692,True
cattrs-partial-structuring-recovery,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,30,40,0.75,1750,1753,0.96430903673172,0.03569096326828003,0.8826272487640381,0.8554191589355469,0.868810240562726,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,44,55,0.8,2907,2130,0.9619028568267822,0.03809714317321777,0.8302797675132751,0.7875683307647705,0.8083602549141314,True
fastapi-implicit-head-options,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,27,52,0.5192307692307693,1535,2302,0.9758356213569641,0.02416437864303589,0.8891047835350037,0.861301064491272,0.8749821047118499,True
httpx-streaming-json-iteration,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,17,31,0.5483870967741935,1220,1309,0.9652128219604492,0.03478717803955078,0.896109938621521,0.8480250239372253,0.8714046429469531,True
kgateway-consistent-hash-policy,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,33,25,1.32,2425,1188,0.9809606075286865,0.019039392471313477,0.8540189266204834,0.8574854135513306,0.8557486595684751,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,22,44,0.5,1020,1746,0.9640450477600098,0.035954952239990234,0.8875827789306641,0.7974735498428345,0.8401188463633236,True
ts-pattern-match-each,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,0,30,0.0,0,1118,nan,nan,nan,nan,nan,False
yjs-map-conflict-detection,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,34,51,0.6666666666666666,1847,2042,0.9806563854217529,0.01934361457824707,0.8716967105865479,0.7983682751655579,0.8334226574842676,True
actionlint-action-pinning-lint,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,38,38,1.0,1589,1589,1.0,0.0,1.0,1.0,1.0,True
anko-default-function-arguments,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,26,26,1.0,1079,1079,0.9999999403953552,5.960464477539063e-08,1.0,1.0,1.0,True
awilix-async-container-initialization,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,22,22,1.0,1041,1041,1.0,0.0,1.0,1.0,1.0,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,48,48,1.0,1998,1998,1.0,0.0,1.0,1.0,1.0,True
cattrs-partial-structuring-recovery,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,40,40,1.0,1753,1753,0.9999998807907104,1.1920928955078125e-07,1.0,1.0,1.0,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,55,55,1.0,2130,2130,0.9999998807907104,1.1920928955078125e-07,1.0,1.0,1.0,True
fastapi-implicit-head-options,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,52,52,1.0,2302,2302,1.0000001192092896,-1.1920928955078125e-07,1.0,1.0,1.0,True
httpx-streaming-json-iteration,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,31,31,1.0,1309,1309,1.000000238418579,-2.384185791015625e-07,1.0000001192092896,1.0000001192092896,1.0000001192092896,True
kgateway-consistent-hash-policy,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,25,25,1.0,1188,1188,1.0,0.0,1.0,1.0,1.0,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,44,44,1.0,1746,1746,0.9999999403953552,5.960464477539063e-08,1.0,1.0,1.0,True
ts-pattern-match-each,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,30,30,1.0,1118,1118,1.0000001192092896,-1.1920928955078125e-07,1.0,1.0,1.0,True
yjs-map-conflict-detection,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,51,51,1.0,2042,2042,1.0000001192092896,-1.1920928955078125e-07,1.0,1.0,1.0,True
actionlint-action-pinning-lint,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,60,38,1.5789473684210527,2591,1589,0.989446222782135,0.01055377721786499,0.8289403319358826,0.8907992839813232,0.8587572761797384,True
anko-default-function-arguments,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,21,26,0.8076923076923077,832,1079,0.957972526550293,0.04202747344970703,0.8647509217262268,0.8284085988998413,0.8461897307817561,True
awilix-async-container-initialization,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,61,22,2.772727272727273,2651,1041,0.9551836848258972,0.04481631517410278,0.7656792998313904,0.9005857110023499,0.8276712673614898,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,59,48,1.2291666666666667,2511,1998,0.9879852533340454,0.01201474666595459,0.844050943851471,0.857424259185791,0.850685045488807,True
cattrs-partial-structuring-recovery,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,38,40,0.95,1471,1753,0.975479245185852,0.02452075481414795,0.8402416706085205,0.8363676071166992,0.838300163052969,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,92,55,1.6727272727272726,3549,2130,0.9882674813270569,0.011732518672943115,0.8186655640602112,0.8378979563713074,0.8281701179788495,True
fastapi-implicit-head-options,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,73,52,1.4038461538461537,3556,2302,0.9905415773391724,0.009458422660827637,0.8472533226013184,0.9026768803596497,0.874087417687898,True
httpx-streaming-json-iteration,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,32,31,1.032258064516129,1192,1309,0.9811691045761108,0.01883089542388916,0.8502110242843628,0.8538727760314941,0.8520379659541484,True
kgateway-consistent-hash-policy,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,29,25,1.16,1524,1188,0.989151656627655,0.01084834337234497,0.8617414236068726,0.896127462387085,0.8785981267698656,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,57,44,1.2954545454545454,2182,1746,0.9862515330314636,0.013748466968536377,0.8333885669708252,0.8491145968437195,0.8411780878357954,True
ts-pattern-match-each,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,27,30,0.9,1150,1118,0.9792830944061279,0.02071690559387207,0.8438908457756042,0.8528419733047485,0.8483427986678157,True
yjs-map-conflict-detection,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,55,51,1.0784313725490196,2192,2042,0.9890066385269165,0.010993361473083496,0.8601714372634888,0.8289949893951416,0.8442955060654399,True
actionlint-action-pinning-lint,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,13,38,0.34210526315789475,651,1589,0.9791287183761597,0.020871281623840332,0.8509057760238647,0.8193073868751526,0.8348076800221422,True
anko-default-function-arguments,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,9,26,0.34615384615384615,427,1079,0.9705932140350342,0.02940678596496582,0.8897987008094788,0.8052194118499756,0.8453988558346802,True
awilix-async-container-initialization,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,11,22,0.5,553,1041,0.9703930616378784,0.029606938362121582,0.8861551284790039,0.8527435660362244,0.869128358890555,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,26,48,0.5416666666666666,2445,1998,0.9516634941101074,0.04833650588989258,0.842013418674469,0.7691304087638855,0.8039234162221934,True
cattrs-partial-structuring-recovery,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,6,40,0.15,303,1753,0.9150474071502686,0.08495259284973145,0.8993557095527649,0.7080930471420288,0.7923456622669971,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,37,55,0.6727272727272727,1708,2130,0.947242021560669,0.052757978439331055,0.7905222773551941,0.7129741311073303,0.7497482942372538,True
fastapi-implicit-head-options,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,17,52,0.3269230769230769,588,2302,0.971645176410675,0.02835482358932495,0.8506879806518555,0.8346234560012817,0.842579154153729,True
httpx-streaming-json-iteration,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,0,31,0.0,0,1309,nan,nan,nan,nan,nan,False
kgateway-consistent-hash-policy,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,33,25,1.32,1778,1188,0.9733277559280396,0.02667224407196045,0.8025429248809814,0.8553776741027832,0.8281184284375502,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,10,44,0.22727272727272727,302,1746,0.9618847370147705,0.03811526298522949,0.856950581073761,0.7437570691108704,0.7963516042155006,True
ts-pattern-match-each,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,0,30,0.0,0,1118,nan,nan,nan,nan,nan,False
yjs-map-conflict-detection,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,44,51,0.8627450980392157,1679,2042,0.9758809804916382,0.024119019508361816,0.8396582007408142,0.7540764808654785,0.7945695208267879,True
actionlint-action-pinning-lint,observational-memory-gpt55-low,observational-memory-gpt54mini-low,63,38,1.6578947368421053,3191,1589,0.9830580949783325,0.01694190502166748,0.8234620690345764,0.8854812979698181,0.8533463142149563,True
anko-default-function-arguments,observational-memory-gpt55-low,observational-memory-gpt54mini-low,40,26,1.5384615384615385,2207,1079,0.9564999341964722,0.04350006580352783,0.7991039752960205,0.8222990036010742,0.8105355808665741,True
awilix-async-container-initialization,observational-memory-gpt55-low,observational-memory-gpt54mini-low,29,22,1.3181818181818181,1777,1041,0.9687268733978271,0.03127312660217285,0.8309696912765503,0.8756133913993835,0.8527076084545082,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-low,observational-memory-gpt54mini-low,67,48,1.3958333333333333,3531,1998,0.9638755321502686,0.036124467849731445,0.7899587154388428,0.840526282787323,0.814458352411235,True
cattrs-partial-structuring-recovery,observational-memory-gpt55-low,observational-memory-gpt54mini-low,30,40,0.75,1470,1753,0.9774767756462097,0.022523224353790283,0.8590810298919678,0.8081614375114441,0.8328436608714515,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt55-low,observational-memory-gpt54mini-low,76,55,1.3818181818181818,4463,2130,0.9719659090042114,0.028034090995788574,0.8046218156814575,0.8190149068832397,0.8117545658928185,True
fastapi-implicit-head-options,observational-memory-gpt55-low,observational-memory-gpt54mini-low,66,52,1.2692307692307692,3517,2302,0.9828611612319946,0.01713883876800537,0.8359843492507935,0.8628078699111938,0.8491843411102816,True
httpx-streaming-json-iteration,observational-memory-gpt55-low,observational-memory-gpt54mini-low,21,31,0.6774193548387096,1231,1309,0.9648334980010986,0.03516650199890137,0.8121576905250549,0.8172581791877747,0.8146999519390141,True
kgateway-consistent-hash-policy,observational-memory-gpt55-low,observational-memory-gpt54mini-low,34,25,1.36,2034,1188,0.9790876507759094,0.020912349224090576,0.841454267501831,0.894807755947113,0.8673112636994516,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-low,observational-memory-gpt54mini-low,41,44,0.9318181818181818,1979,1746,0.9663954973220825,0.03360450267791748,0.8278287649154663,0.8300234079360962,0.8289246338059196,True
ts-pattern-match-each,observational-memory-gpt55-low,observational-memory-gpt54mini-low,16,30,0.5333333333333333,972,1118,0.9549501538276672,0.045049846172332764,0.7776771783828735,0.765326201915741,0.7714522584300902,True
yjs-map-conflict-detection,observational-memory-gpt55-low,observational-memory-gpt54mini-low,71,51,1.392156862745098,3349,2042,0.9844965934753418,0.015503406524658203,0.8222476840019226,0.851753830909729,0.8367407180539526,True
actionlint-action-pinning-lint,observational-memory-gpt55-off,observational-memory-gpt54mini-low,37,38,0.9736842105263158,1913,1589,0.9531828761100769,0.046817123889923096,0.7820969820022583,0.8171205520629883,0.799225251208894,True
anko-default-function-arguments,observational-memory-gpt55-off,observational-memory-gpt54mini-low,32,26,1.2307692307692308,1611,1079,0.9661216139793396,0.0338783860206604,0.8028852939605713,0.812376856803894,0.8076031883407496,True
awilix-async-container-initialization,observational-memory-gpt55-off,observational-memory-gpt54mini-low,45,22,2.0454545454545454,2759,1041,0.9538474082946777,0.046152591705322266,0.7891851663589478,0.8670625686645508,0.8262929548826725,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-off,observational-memory-gpt54mini-low,74,48,1.5416666666666667,3919,1998,0.9784114360809326,0.021588563919067383,0.8019059300422668,0.8429501056671143,0.8219159291623823,True
cattrs-partial-structuring-recovery,observational-memory-gpt55-off,observational-memory-gpt54mini-low,27,40,0.675,1500,1753,0.9821247458457947,0.017875254154205322,0.8635871410369873,0.8274276852607727,0.845120809134031,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt55-off,observational-memory-gpt54mini-low,65,55,1.1818181818181819,3884,2130,0.9707181453704834,0.0292818546295166,0.8208765983581543,0.8277760744094849,0.8243118995134681,True
fastapi-implicit-head-options,observational-memory-gpt55-off,observational-memory-gpt54mini-low,68,52,1.3076923076923077,3734,2302,0.985572099685669,0.014427900314331055,0.8696707487106323,0.8736985921859741,0.8716800175263201,True
httpx-streaming-json-iteration,observational-memory-gpt55-off,observational-memory-gpt54mini-low,33,31,1.064516129032258,1778,1309,0.9857265949249268,0.014273405075073242,0.8435176610946655,0.8597700595855713,0.8515663219261733,True
kgateway-consistent-hash-policy,observational-memory-gpt55-off,observational-memory-gpt54mini-low,27,25,1.08,1746,1188,0.9764886498451233,0.02351135015487671,0.8546974062919617,0.8791029453277588,0.8667284056475485,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-off,observational-memory-gpt54mini-low,46,44,1.0454545454545454,2387,1746,0.9757490158081055,0.02425098419189453,0.8406590819358826,0.8355690240859985,0.8381063247403007,True
ts-pattern-match-each,observational-memory-gpt55-off,observational-memory-gpt54mini-low,12,30,0.4,682,1118,0.9745399355888367,0.02546006441116333,0.8378951549530029,0.7960434556007385,0.8164333106172921,True
