config,task,bucket,delta_solves,delta_partial,baseline_partial,config_partial,baseline_solves,config_solves
codebase-memory-max,updo-policy-alerting,hard,0,0.016666666666666607,0.9738095238095239,0.9904761904761905,0,0
codebase-memory-max,superjson-error-stack-serialization,hard,0,-0.011904761904761862,0.9761904761904762,0.9642857142857143,0,0
codebase-memory-max,meriyah-explicit-resource-declarations,hard,1,-6.470230469612925e-05,0.9998835358515471,0.999818833546851,0,1
codebase-memory-max,pest-character-class-coalescing,hard,0,-0.0037664783427494575,0.9576271186440678,0.9538606403013183,0,0
codebase-memory-max,katex-multicolumn-array-spans,hard,0,0.0019240019240017725,0.9947089947089948,0.9966329966329965,0,0
codebase-memory-max,vulture-persistent-analysis-cache,hard,0,0.01567398119122254,0.9749216300940439,0.9905956112852664,1,1
codebase-memory-max,obsidian-linter-link-format-conversion,hard,-2,-0.0005597537083683601,0.9994402462916318,0.9988804925832634,2,0
codebase-memory-max,happy-dom-deterministic-intersectionobserver,hard,-1,-0.02898550724637683,1.0,0.9710144927536232,3,2
codebase-memory-max,koota-query-predicates,hard,0,-0.0046511627906975495,0.9798449612403101,0.9751937984496125,0,0
codebase-memory-max,participle-grammar-conflict-analysis,hard,0,-0.002732240437158473,0.8920765027322405,0.889344262295082,0,0
codebase-memory-max,dateutil-rfc5545-timezone-interop,hard,0,0.0,0.9979384712971773,0.9979384712971773,0,0
codebase-memory-max,mashumaro-flattened-dataclass-fields,hard,0,0.00019946808510629133,0.9991688829787234,0.9993683510638297,0,0
codebase-memory-max,langchain-request-coalescing,medium,-1,0.0011820330969267712,0.9929078014184397,0.9940898345153665,1,0
codebase-memory-max,textual-kitty-key-phases,medium,0,0.0625,0.8833333333333333,0.9458333333333333,0,0
codebase-memory-max,eicrud-keyset-pagination-cursor,medium,0,-0.0073260073260073,0.9597069597069597,0.9523809523809524,0,0
codebase-memory-max,claude-code-by-agents-recursive-delegation,medium,1,0.052631578947368474,0.9473684210526315,1.0,2,3
codebase-memory-max,fd-deterministic-multi-key-sorting,medium,0,-0.006578947368421129,0.9934210526315791,0.986842105263158,0,0
codebase-memory-max,go-critic-doc-link-checker,medium,-1,-0.0350877192982455,0.9649122807017544,0.9298245614035089,2,1
codebase-memory-max,mobly-grouped-test-barriers,medium,0,0.0022547914317927464,0.9830890642615557,0.9853438556933485,0,0
codebase-memory-max,tengo-destructuring-bindings,medium,0,0.21375186846038874,0.6696562032884903,0.883408071748879,0,0
codebase-memory-max,fastapi-deprecation-response-headers,medium,0,0.0016304901661060578,0.9973504534800774,0.9989809436461835,2,2
codebase-memory-max,go-git-worktree-merge-conflicts,medium,0,-0.21052631578947367,0.8421052631578947,0.631578947368421,0,0
codebase-memory-max,scc-bounded-memory-spilling,medium,0,-0.001051524710830698,0.9915878023133544,0.9905362776025237,1,1
codebase-memory-max,tengo-callable-instance-isolation,medium,0,0.020689655172413723,0.935632183908046,0.9563218390804598,0,0
codebase-memory-max,httpx-multipart-response-parsing,medium,0,0.0,1.0,1.0,3,3
codebase-memory-max,dynamodb-toolbox-conditional-attribute-requirements,medium,0,-0.0028248587570621764,0.9894709809964047,0.9866461222393426,0,0
codebase-memory-max,etree-xml-diff-patch,easy,0,0.009950248756218971,0.9502487562189055,0.9601990049751244,0,0
codebase-memory-max,adaptix-name-mapping-aliases,easy,0,0.0011981787682723288,0.9972441888329738,0.9984423676012462,0,0
codebase-memory-max,goreleaser-retry-publish-auditing,easy,0,0.0,1.0,1.0,3,3
codebase-memory-max,yjs-map-conflict-detection,easy,0,-0.001388888888888995,0.9972222222222222,0.9958333333333332,1,1
codebase-memory-max,wazero-multi-module-snapshots,easy,1,0.008333333333333304,0.9916666666666667,1.0,2,3
codebase-memory-max,actionlint-action-pinning-lint,easy,1,0.0016666666666665941,0.9983333333333334,1.0,2,3
codebase-memory-max,sql-formatter-bigquery-pipe-formatting,easy,0,0.00011624527753562042,0.9996512641673932,0.9997675094449289,1,1
codebase-memory-max,drizzle-orm-window-function-builders,easy,0,0.0,1.0,1.0,3,3
codebase-memory-max,psd-tools-blend-range-api,easy,2,0.0016276041666666297,0.9983723958333334,1.0,1,3
codebase-memory-max,true-myth-iterable-collection-combinators,easy,0,0.0,1.0,1.0,3,3
codegraph-skill,updo-policy-alerting,hard,0,0.016666666666666607,0.9738095238095239,0.9904761904761905,0,0
codegraph-skill,superjson-error-stack-serialization,hard,0,-0.005102040816326481,0.9761904761904762,0.9710884353741497,0,0
codegraph-skill,meriyah-explicit-resource-declarations,hard,1,3.882138281752212e-05,0.9998835358515471,0.9999223572343646,0,1
codegraph-skill,pest-character-class-coalescing,hard,0,-0.0009416195856875031,0.9576271186440678,0.9566854990583803,0,0
codegraph-skill,katex-multicolumn-array-spans,hard,0,-0.007696007696007756,0.9947089947089948,0.987012987012987,0,0
codegraph-skill,vulture-persistent-analysis-cache,hard,0,0.01567398119122254,0.9749216300940439,0.9905956112852664,1,1
codegraph-skill,obsidian-linter-link-format-conversion,hard,-1,0.0,0.9994402462916318,0.9994402462916318,2,1
codegraph-skill,happy-dom-deterministic-intersectionobserver,hard,-1,-0.01449275362318847,1.0,0.9855072463768115,3,2
codegraph-skill,koota-query-predicates,hard,0,-0.0031007751937984773,0.9798449612403101,0.9767441860465116,0,0
codegraph-skill,participle-grammar-conflict-analysis,hard,0,-0.002732240437158473,0.8920765027322405,0.889344262295082,0,0
codegraph-skill,dateutil-rfc5545-timezone-interop,hard,0,0.0007928956549317911,0.9979384712971773,0.9987313669521091,0,0
codegraph-skill,mashumaro-flattened-dataclass-fields,hard,0,6.648936170217112e-05,0.9991688829787234,0.9992353723404256,0,0
codegraph-skill,langchain-request-coalescing,medium,-1,0.0023640661938535423,0.9929078014184397,0.9952718676122932,1,0
codegraph-skill,textual-kitty-key-phases,medium,0,0.0708333333333333,0.8833333333333333,0.9541666666666666,0,0
codegraph-skill,eicrud-keyset-pagination-cursor,medium,0,0.0073260073260073,0.9597069597069597,0.967032967032967,0,0
codegraph-skill,claude-code-by-agents-recursive-delegation,medium,-1,-0.0350877192982455,0.9473684210526315,0.912280701754386,2,1
codegraph-skill,fd-deterministic-multi-key-sorting,medium,0,-0.006578947368421129,0.9934210526315791,0.986842105263158,0,0
codegraph-skill,go-critic-doc-link-checker,medium,-2,-0.07017543859649122,0.9649122807017544,0.8947368421052632,2,0
codegraph-skill,mobly-grouped-test-barriers,medium,0,0.005636978579481422,0.9830890642615557,0.9887260428410372,0,0
codegraph-skill,tengo-destructuring-bindings,medium,0,0.26307922272047835,0.6696562032884903,0.9327354260089686,0,0
codegraph-skill,fastapi-deprecation-response-headers,medium,-1,0.0006114338122897855,0.9973504534800774,0.9979618872923672,2,1
codegraph-skill,go-git-worktree-merge-conflicts,medium,0,-0.17543859649122806,0.8421052631578947,0.6666666666666666,0,0
codegraph-skill,scc-bounded-memory-spilling,medium,1,0.004206098843322792,0.9915878023133544,0.9957939011566772,1,2
codegraph-skill,tengo-callable-instance-isolation,medium,0,-0.029885057471264354,0.935632183908046,0.9057471264367817,0,0
codegraph-skill,httpx-multipart-response-parsing,medium,0,0.0,1.0,1.0,3,3
codegraph-skill,dynamodb-toolbox-conditional-attribute-requirements,medium,0,0.005136106831022058,0.9894709809964047,0.9946070878274268,0,0
codegraph-skill,etree-xml-diff-patch,easy,1,-0.22388059701492535,0.9502487562189055,0.7263681592039801,0,1
codegraph-skill,adaptix-name-mapping-aliases,easy,0,0.00047927150730897594,0.9972441888329738,0.9977234603402828,0,0
codegraph-skill,goreleaser-retry-publish-auditing,easy,0,0.0,1.0,1.0,3,3
codegraph-skill,yjs-map-conflict-detection,easy,0,-0.001388888888888995,0.9972222222222222,0.9958333333333332,1,1
codegraph-skill,wazero-multi-module-snapshots,easy,-1,-0.008333333333333304,0.9916666666666667,0.9833333333333334,2,1
codegraph-skill,actionlint-action-pinning-lint,easy,1,0.0016666666666665941,0.9983333333333334,1.0,2,3
codegraph-skill,sql-formatter-bigquery-pipe-formatting,easy,0,5.812263876781021e-05,0.9996512641673932,0.9997093868061611,1,1
codegraph-skill,drizzle-orm-window-function-builders,easy,-2,-0.014367816091954033,1.0,0.985632183908046,3,1
codegraph-skill,psd-tools-blend-range-api,easy,1,0.0013020833333332593,0.9983723958333334,0.9996744791666666,1,2
codegraph-skill,true-myth-iterable-collection-combinators,easy,0,0.0,1.0,1.0,3,3
ponytail-full,updo-policy-alerting,hard,0,0.016666666666666607,0.9738095238095239,0.9904761904761905,0,0
ponytail-full,superjson-error-stack-serialization,hard,0,0.001700680272108901,0.9761904761904762,0.9778911564625851,0,0
ponytail-full,meriyah-explicit-resource-declarations,hard,0,5.1761843756770176e-05,0.9998835358515471,0.9999352976953039,0,0
ponytail-full,pest-character-class-coalescing,hard,0,0.00941619585687381,0.9576271186440678,0.9670433145009416,0,0
ponytail-full,katex-multicolumn-array-spans,hard,0,-0.015392015392015401,0.9947089947089948,0.9793169793169794,0,0
ponytail-full,vulture-persistent-analysis-cache,hard,-1,0.017763845350052154,0.9749216300940439,0.992685475444096,1,0
ponytail-full,obsidian-linter-link-format-conversion,hard,-2,-0.0005597537083683601,0.9994402462916318,0.9988804925832634,2,0
ponytail-full,happy-dom-deterministic-intersectionobserver,hard,0,0.0,1.0,1.0,3,3
ponytail-full,koota-query-predicates,hard,0,-0.007751937984496138,0.9798449612403101,0.9720930232558139,0,0
ponytail-full,participle-grammar-conflict-analysis,hard,0,0.09699453551912562,0.8920765027322405,0.9890710382513661,0,0
ponytail-full,dateutil-rfc5545-timezone-interop,hard,1,0.0015857913098636933,0.9979384712971773,0.999524262607041,0,1
ponytail-full,mashumaro-flattened-dataclass-fields,hard,0,0.0007424645390070594,0.9991688829787234,0.9999113475177305,0,0
ponytail-full,langchain-request-coalescing,medium,-1,-0.0035460992907800915,0.9929078014184397,0.9893617021276596,1,0
ponytail-full,textual-kitty-key-phases,medium,1,0.0625,0.8833333333333333,0.9458333333333333,0,1
ponytail-full,eicrud-keyset-pagination-cursor,medium,0,-0.0073260073260073,0.9597069597069597,0.9523809523809524,0,0
ponytail-full,claude-code-by-agents-recursive-delegation,medium,-2,-0.08771929824561397,0.9473684210526315,0.8596491228070176,2,0
ponytail-full,fd-deterministic-multi-key-sorting,medium,0,-0.006578947368421129,0.9934210526315791,0.986842105263158,0,0
ponytail-full,go-critic-doc-link-checker,medium,0,0.0,0.9649122807017544,0.9649122807017544,2,2
ponytail-full,mobly-grouped-test-barriers,medium,0,0.010146561443066582,0.9830890642615557,0.9932356257046223,0,0
ponytail-full,tengo-destructuring-bindings,medium,0,0.22571001494768306,0.6696562032884903,0.8953662182361734,0,0
ponytail-full,fastapi-deprecation-response-headers,medium,-1,0.0020381127076327665,0.9973504534800774,0.9993885661877102,2,1
ponytail-full,go-git-worktree-merge-conflicts,medium,0,-0.12280701754385959,0.8421052631578947,0.7192982456140351,0,0
ponytail-full,scc-bounded-memory-spilling,medium,1,0.003154574132492094,0.9915878023133544,0.9947423764458465,1,2
ponytail-full,tengo-callable-instance-isolation,medium,0,0.016091954022988464,0.935632183908046,0.9517241379310345,0,0
ponytail-full,httpx-multipart-response-parsing,medium,0,0.0,1.0,1.0,3,3
ponytail-full,dynamodb-toolbox-conditional-attribute-requirements,medium,0,0.00667693888032872,0.9894709809964047,0.9961479198767335,0,0
ponytail-full,etree-xml-diff-patch,easy,0,-0.02487562189054726,0.9502487562189055,0.9253731343283582,0,0
ponytail-full,adaptix-name-mapping-aliases,easy,0,-0.0026359932901989236,0.9972441888329738,0.9946081955427749,0,0
ponytail-full,goreleaser-retry-publish-auditing,easy,0,0.0,1.0,1.0,3,3
ponytail-full,yjs-map-conflict-detection,easy,-1,-0.001388888888888995,0.9972222222222222,0.9958333333333332,1,0
ponytail-full,wazero-multi-module-snapshots,easy,1,0.008333333333333304,0.9916666666666667,1.0,2,3
ponytail-full,actionlint-action-pinning-lint,easy,1,0.0016666666666665941,0.9983333333333334,1.0,2,3
ponytail-full,sql-formatter-bigquery-pipe-formatting,easy,0,-0.0013368206916595238,0.9996512641673932,0.9983144434757337,1,1
ponytail-full,drizzle-orm-window-function-builders,easy,0,0.0,1.0,1.0,3,3
ponytail-full,psd-tools-blend-range-api,easy,0,-0.0029296875,0.9983723958333334,0.9954427083333334,1,1
ponytail-full,true-myth-iterable-collection-combinators,easy,0,0.0,1.0,1.0,3,3
ponytail-lite,updo-policy-alerting,hard,0,0.0023809523809523725,0.9738095238095239,0.9761904761904763,0,0
ponytail-lite,superjson-error-stack-serialization,hard,0,-0.011904761904761862,0.9761904761904762,0.9642857142857143,0,0
ponytail-lite,meriyah-explicit-resource-declarations,hard,0,-4.529161328725717e-05,0.9998835358515471,0.9998382442382598,0,0
ponytail-lite,pest-character-class-coalescing,hard,0,-0.010357815442561202,0.9576271186440678,0.9472693032015066,0,0
ponytail-lite,katex-multicolumn-array-spans,hard,0,-0.012506012506012576,0.9947089947089948,0.9822029822029822,0,0
ponytail-lite,vulture-persistent-analysis-cache,hard,-1,0.020898641588296796,0.9749216300940439,0.9958202716823407,1,0
ponytail-lite,obsidian-linter-link-format-conversion,hard,-1,0.0,0.9994402462916318,0.9994402462916318,2,1
ponytail-lite,happy-dom-deterministic-intersectionobserver,hard,0,0.0,1.0,1.0,3,3
ponytail-lite,koota-query-predicates,hard,0,-0.01705426356589146,0.9798449612403101,0.9627906976744186,0,0
ponytail-lite,participle-grammar-conflict-analysis,hard,0,-0.004098360655737654,0.8920765027322405,0.8879781420765028,0,0
ponytail-lite,dateutil-rfc5545-timezone-interop,hard,0,0.0015857913098634713,0.9979384712971773,0.9995242626070407,0,0
ponytail-lite,mashumaro-flattened-dataclass-fields,hard,0,0.0006094858156028282,0.9991688829787234,0.9997783687943262,0,0
ponytail-lite,langchain-request-coalescing,medium,-1,-0.007092198581560183,0.9929078014184397,0.9858156028368795,1,0
ponytail-lite,textual-kitty-key-phases,medium,0,0.08750000000000002,0.8833333333333333,0.9708333333333333,0,0
ponytail-lite,eicrud-keyset-pagination-cursor,medium,0,0.0,0.9597069597069597,0.9597069597069597,0,0
ponytail-lite,claude-code-by-agents-recursive-delegation,medium,0,0.00877192982456143,0.9473684210526315,0.956140350877193,2,2
ponytail-lite,fd-deterministic-multi-key-sorting,medium,0,0.0,0.9934210526315791,0.9934210526315791,0,0
ponytail-lite,go-critic-doc-link-checker,medium,0,0.0,0.9649122807017544,0.9649122807017544,2,2
ponytail-lite,mobly-grouped-test-barriers,medium,0,0.007140172867343253,0.9830890642615557,0.990229237128899,0,0
ponytail-lite,tengo-destructuring-bindings,medium,0,0.273542600896861,0.6696562032884903,0.9431988041853513,0,0
ponytail-lite,fastapi-deprecation-response-headers,medium,-2,-0.0005095281769081916,0.9973504534800774,0.9968409253031693,2,0
ponytail-lite,go-git-worktree-merge-conflicts,medium,0,-0.24561403508771928,0.8421052631578947,0.5964912280701754,0,0
ponytail-lite,scc-bounded-memory-spilling,medium,0,-0.004206098843322792,0.9915878023133544,0.9873817034700316,1,1
ponytail-lite,tengo-callable-instance-isolation,medium,0,-0.0022988505747127963,0.935632183908046,0.9333333333333332,0,0
ponytail-lite,httpx-multipart-response-parsing,medium,-1,-0.02941176470588236,1.0,0.9705882352941176,3,2
ponytail-lite,dynamodb-toolbox-conditional-attribute-requirements,medium,0,0.005136106831022058,0.9894709809964047,0.9946070878274268,0,0
ponytail-lite,etree-xml-diff-patch,easy,0,-0.02985074626865669,0.9502487562189055,0.9203980099502488,0,0
ponytail-lite,adaptix-name-mapping-aliases,easy,0,0.0011981787682723288,0.9972441888329738,0.9984423676012462,0,0
ponytail-lite,goreleaser-retry-publish-auditing,easy,0,0.0,1.0,1.0,3,3
ponytail-lite,yjs-map-conflict-detection,easy,0,-0.001388888888888995,0.9972222222222222,0.9958333333333332,1,1
ponytail-lite,wazero-multi-module-snapshots,easy,1,0.008333333333333304,0.9916666666666667,1.0,2,3
ponytail-lite,actionlint-action-pinning-lint,easy,1,0.0016666666666665941,0.9983333333333334,1.0,2,3
ponytail-lite,sql-formatter-bigquery-pipe-formatting,easy,-1,-0.00034873583260686125,0.9996512641673932,0.9993025283347864,1,0
ponytail-lite,drizzle-orm-window-function-builders,easy,-1,-0.010536398467432928,1.0,0.9894636015325671,3,2
ponytail-lite,psd-tools-blend-range-api,easy,1,0.0013020833333332593,0.9983723958333334,0.9996744791666666,1,2
ponytail-lite,true-myth-iterable-collection-combinators,easy,0,0.0,1.0,1.0,3,3
ponytail-ultra,updo-policy-alerting,hard,0,0.01904761904761898,0.9738095238095239,0.9928571428571429,0,0
ponytail-ultra,superjson-error-stack-serialization,hard,0,-0.008503401360544283,0.9761904761904762,0.9676870748299319,0,0
ponytail-ultra,meriyah-explicit-resource-declarations,hard,0,-0.002400455504225074,0.9998835358515471,0.997483080347322,0,0
ponytail-ultra,pest-character-class-coalescing,hard,0,-0.010357815442561202,0.9576271186440678,0.9472693032015066,0,0
ponytail-ultra,katex-multicolumn-array-spans,hard,0,-0.04425204425204432,0.9947089947089948,0.9504569504569504,0,0
ponytail-ultra,vulture-persistent-analysis-cache,hard,-1,0.010449320794148398,0.9749216300940439,0.9853709508881923,1,0
ponytail-ultra,obsidian-linter-link-format-conversion,hard,-1,-0.0005597537083683601,0.9994402462916318,0.9988804925832634,2,1
ponytail-ultra,happy-dom-deterministic-intersectionobserver,hard,0,0.0,1.0,1.0,3,3
ponytail-ultra,koota-query-predicates,hard,0,-0.03100775193798455,0.9798449612403101,0.9488372093023255,0,0
ponytail-ultra,participle-grammar-conflict-analysis,hard,0,0.09426229508196715,0.8920765027322405,0.9863387978142076,0,0
ponytail-ultra,dateutil-rfc5545-timezone-interop,hard,0,-0.0012686330478909325,0.9979384712971773,0.9966698382492863,0,0
ponytail-ultra,mashumaro-flattened-dataclass-fields,hard,0,0.00012189716312049903,0.9991688829787234,0.9992907801418439,0,0
ponytail-ultra,langchain-request-coalescing,medium,-1,-0.005910165484633523,0.9929078014184397,0.9869976359338062,1,0
ponytail-ultra,textual-kitty-key-phases,medium,1,0.10000000000000009,0.8833333333333333,0.9833333333333334,0,1
ponytail-ultra,eicrud-keyset-pagination-cursor,medium,0,0.0,0.9597069597069597,0.9597069597069597,0,0
ponytail-ultra,claude-code-by-agents-recursive-delegation,medium,-1,-0.04385964912280704,0.9473684210526315,0.9035087719298245,2,1
ponytail-ultra,fd-deterministic-multi-key-sorting,medium,2,-0.002192982456140413,0.9934210526315791,0.9912280701754387,0,2
ponytail-ultra,go-critic-doc-link-checker,medium,0,0.0,0.9649122807017544,0.9649122807017544,2,2
ponytail-ultra,mobly-grouped-test-barriers,medium,0,0.0063885757234123375,0.9830890642615557,0.9894776399849681,0,0
ponytail-ultra,tengo-destructuring-bindings,medium,0,0.23916292974588937,0.6696562032884903,0.9088191330343797,0,0
ponytail-ultra,fastapi-deprecation-response-headers,medium,-1,0.001426678895342981,0.9973504534800774,0.9987771323754204,2,1
ponytail-ultra,go-git-worktree-merge-conflicts,medium,0,-0.07017543859649111,0.8421052631578947,0.7719298245614036,0,0
ponytail-ultra,scc-bounded-memory-spilling,medium,1,0.003154574132492094,0.9915878023133544,0.9947423764458465,1,2
ponytail-ultra,tengo-callable-instance-isolation,medium,0,0.03448275862068961,0.935632183908046,0.9701149425287356,0,0
ponytail-ultra,httpx-multipart-response-parsing,medium,-1,-0.0002391200382593217,1.0,0.9997608799617407,3,2
ponytail-ultra,dynamodb-toolbox-conditional-attribute-requirements,medium,0,-0.011042629686697558,0.9894709809964047,0.9784283513097072,0,0
ponytail-ultra,etree-xml-diff-patch,easy,0,0.004975124378109541,0.9502487562189055,0.955223880597015,0,0
