config,category,overlap_cells,overlap_tasks,all_cells,solves_on_overlap,clean_solves_on_overlap,solve_delta,other_only,clean_only,invalid_reward_cells,cost_delta,cost_per_net_solve,median_tokens,median_token_delta,mean_partial_delta,prompt_files,has_extensions_dir
"baseline-omp-ast","omp_harness_or_tool_context","108","36","108","32","28","4","12","8","0","142.882029","35.72050725","2253382.5","1668947.5","0.023429055706029336","configs/baseline-omp-ast/orchestration.md","False"
"om-orchestration-only","prompt_or_orchestration_only","108","36","108","31","28","3","12","9","0","4.206050000000005","1.4020166666666682","594312.5","3306.0","-0.00731493371977811","configs/om-orchestration-only/orchestration.md","False"
"baseline-preamble-orchestration-wf","prompt_or_orchestration_only","108","36","108","31","28","3","11","8","0","7.962256999999994","2.654085666666665","648195.0","68559.5","0.02190015441149829","configs/baseline-preamble-orchestration-wf/system_preamble.md;configs/baseline-preamble-orchestration-wf/orchestration.md","False"
"codebase-memory","extension_or_skill_config","108","36","135","31","28","3","9","6","0","19.496852000000004","6.498950666666668","767905.5","187149.0","0.01207857173953657","configs/codebase-memory/orchestration.md","True"
"baseline-neutral-orchestration-only","prompt_or_orchestration_only","108","36","108","30","28","2","10","8","1","1.1489550000000008","0.5744775000000004","606690.0","9462.5","-0.020264945878380985","configs/baseline-neutral-orchestration-only/orchestration.md","False"
"ponytail-ultra","extension_or_skill_config","108","36","108","30","28","2","13","11","0","20.089547999999994","10.044773999999997","794238.0","231256.5","0.014281546967794644","configs/ponytail-ultra/orchestration.md","True"
"ponytail-full","extension_or_skill_config","108","36","108","30","28","2","12","10","0","25.166375000000002","12.583187500000001","904342.0","279109.5","0.01547637440204556","configs/ponytail-full/orchestration.md","True"
"baseline","clean_stock_pi","108","36","108","28","28","0","0","0","0","0.0","","598678.5","0.0","0.0","","False"
"codegraph-skill","extension_or_skill_config","108","36","135","28","28","0","9","9","0","16.54392","","731003.0","156987.0","0.004374830117753813","configs/codegraph-skill/orchestration.md","True"
"recall-placebo-gpt54mini-low","prompted_or_placebo_memory_surface","108","36","108","28","28","0","7","7","0","22.815275","","728570.0","65532.5","-0.00499489301778356","configs/recall-placebo-gpt54mini-low/orchestration.md","True"
"ponytail-lite","extension_or_skill_config","108","36","108","28","28","0","9","9","0","23.562601","","840201.5","203217.5","0.010933323961194886","configs/ponytail-lite/orchestration.md","True"
"observational-memory-gpt54mini-low","extension_or_skill_config","108","36","108","27","28","-1","8","9","0","24.191199999999995","","799013.0","174823.5","0.0019267125791216355","configs/observational-memory-gpt54mini-low/orchestration.md","True"
"baseline-omp-pi-prompt-bash-only","omp_pi_like_prompt_or_tool_surface","36","12","36","13","8","5","6","1","0","26.013999","5.202799799999999","1656862.5","931479.0","0.010027230689043452","configs/baseline-omp-pi-prompt-bash-only/omp-system-prompt.md","False"
"baseline-omp-pi-prompt-ast","omp_pi_like_prompt_or_tool_surface","36","12","36","9","8","1","3","2","0","23.276907","23.276907","1775341.0","1052631.5","-0.008520215189314784","configs/baseline-omp-pi-prompt-ast/omp-system-prompt.md","False"
"baseline-omp-pi-prompt-grepglob","omp_pi_like_prompt_or_tool_surface","36","12","36","7","8","-1","2","3","1","19.929246","","1363028.0","804368.0","-0.02814120590878919","configs/baseline-omp-pi-prompt-grepglob/omp-system-prompt.md","False"
"pi-dynamic-workflows","extension_or_skill_config","36","12","36","1","8","-7","1","8","21","18.090459000000003","","16725.0","-509837.5","-0.6124530013754232","configs/pi-dynamic-workflows/orchestration.md","True"
"codegraph-auto","extension_or_skill_config","9","3","36","7","6","1","1","0","0","1.749531000000001","1.749531000000001","1232091.0","114515.0","6.279550827423573e-05","configs/codegraph-auto/orchestration.md","True"
"codegraph-impact","extension_or_skill_config","9","3","36","5","6","-1","0","1","0","-0.5447170000000003","","808448.0","-95092.0","-0.008700502364066201","configs/codegraph-impact/orchestration.md","True"
"codebase-memory-bash-hook","extension_or_skill_config","9","3","36","5","6","-1","0","1","0","0.3153869999999994","","1077167.0","105478.0","-0.0008889873916469634","configs/codebase-memory-bash-hook/orchestration.md","True"
"codebase-memory-reindex","extension_or_skill_config","9","3","36","5","6","-1","0","1","0","0.9218080000000004","","964517.0","109291.0","-0.0008705181245074837","configs/codebase-memory-reindex/orchestration.md","True"
