model_leaf,thinking,config,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
gpt-5.5,low,pi-recursive,108,0,0.0,1373,0,0,0,0,0,0,519
gpt-5.5,low,ponytail-full,108,0,0.0,1295,0,0,0,0,0,0,373
gpt-5.5,low,ponytail-lite,108,2,0.018518518518518517,1240,2,4,3544,426,3118,0,2950
gpt-5.5,low,ponytail-ultra,108,0,0.0,1201,0,0,0,0,0,0,539
gpt-5.5,low,projected-om-delta-gpt54mini-low,108,0,0.0,1261,0,0,0,0,0,0,373
gpt-5.5,low,projected-om-delta-no-orchestration-gpt54mini-low,108,0,0.0,1205,0,0,0,0,0,0,373
gpt-5.5,low,projected-om-gpt54mini-low,108,1,0.009259259259259259,1179,1,2,1772,213,1559,0,2950
gpt-5.5,low,recall-placebo-gpt54mini-low,108,0,0.0,1224,0,0,0,0,0,0,463
gpt-5.5,medium,baseline,108,2,0.018518518518518517,1715,2,4,3544,426,3118,0,2950
gpt-5.5,medium,baseline-preamble-orchestration,183,2,0.01092896174863388,2976,2,4,3544,426,3118,0,2950
gpt-5.5,medium,baseline-preamble-orchestration-wf,108,1,0.009259259259259259,1717,1,2,1772,213,1559,0,2950
gpt-5.5,xhigh,baseline-preamble-orchestration,183,4,0.02185792349726776,6727,5,8,8266,857,7409,0,3510
gpt-5.5,xhigh,pi-codex-goal,108,3,0.027777777777777776,4064,3,6,5316,639,4677,0,2950
gpt-5.6-luna,high,baseline@1.0.0,36,0,0.0,685,0,0,0,0,0,0,1463
gpt-5.6-luna,high,pi-check@1.0.1,36,0,0.0,703,0,0,0,0,0,0,604
gpt-5.6-luna,low,baseline@1.0.0,36,0,0.0,124,0,0,0,0,0,0,425
gpt-5.6-luna,low,pi-check@1.0.1,36,0,0.0,191,0,0,0,0,0,0,1045
gpt-5.6-luna,max,baseline@1.0.0,36,1,0.027777777777777776,1159,4,4,18889,425,18464,0,15996
gpt-5.6-luna,max,pi-check@1.0.1,36,0,0.0,1317,0,0,0,0,0,0,1463
gpt-5.6-sol,high,baseline,108,4,0.037037037037037035,2739,4,7,11260,746,10514,0,7944
gpt-5.6-sol,low,baseline,108,2,0.018518518518518517,924,2,4,3544,426,3118,0,2950
gpt-5.6-sol,low,observational-memory-between-turn@1.0.0,108,3,0.027777777777777776,1047,3,6,5316,639,4677,0,2950
gpt-5.6-sol,low,pi-check,108,2,0.018518518518518517,1080,2,4,3544,426,3118,0,2950
gpt-5.6-sol,low,pi-fabric,108,0,0.0,0,0,0,0,0,0,0,0
gpt-5.6-sol,low,pi-fabric-compact-return@1.0.0,108,0,0.0,0,0,0,0,0,0,0,0
gpt-5.6-sol,low,pi-fabric-native-read-guidance@1.0.0,108,0,0.0,0,0,0,0,0,0,0,0
gpt-5.6-sol,low,pi-fabric-output-telemetry@1.0.0,108,0,0.0,0,0,0,0,0,0,0,0
gpt-5.6-sol,low,pi-fabric-pr10@0.28.11,108,0,0.0,0,0,0,0,0,0,0,0
gpt-5.6-sol,medium,baseline,108,3,0.027777777777777776,1832,3,6,5316,639,4677,0,2950
ornith-1.0-35b,high,baseline-ornith-35b@1.0.0,36,0,0.0,1146,0,0,0,0,0,0,1463
ornith-1.0-35b,high,baseline-ornith-35b@1.1.0,9,0,0.0,284,0,0,0,0,0,0,1463
ornith-1.0-35b,high,pi-check@1.2.0,36,0,0.0,1176,0,0,0,0,0,0,641
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,108,4,0.037037037037037035,3467,5,9,52228,958,51270,0,47140
qwen-agentworld-35b-a3b,high,pi-check@1.3.0,40,0,0.0,1362,0,0,0,0,0,0,1463
qwen-agentworld-35b-a3b,high,pi-check@1.6.0,36,0,0.0,1323,0,0,0,0,0,0,1463
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,108,3,0.027777777777777776,2846,3,6,5316,639,4677,0,2950
thinkingcap-qwen3.6-27b-awq-int4,high,pi-check@1.4.0,36,0,0.0,882,0,0,0,0,0,0,1463
thinkingcap-qwen3.6-27b-awq-int4,high,pi-check@1.5.0,36,0,0.0,971,0,0,0,0,0,0,1463
