task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
numba-stencil-boundary-modes,5,0,0.0,69,0,0,0,0,0,0,141
obsidian-linter-auto-table-of-contents,18,1,0.05555555555555555,368,2,2,2950,218,2732,0,3510
obsidian-linter-link-format-conversion,248,0,0.0,3627,0,0,0,0,0,0,1466
obsidian-linter-scoped-ignore-markers,6,0,0.0,103,0,0,0,0,0,0,1463
ofetch-per-origin-circuit-breaker,5,0,0.0,85,0,0,0,0,0,0,137
onedump-dump-encryption-pipeline,18,0,0.0,312,0,0,0,0,0,0,386
opa-rego-rule-profiling,6,0,0.0,150,0,0,0,0,0,0,1456
opa-template-string-reconstruction,6,0,0.0,210,0,0,0,0,0,0,230
optique-conditional-option-dependencies,5,0,0.0,134,0,0,0,0,0,0,109
oxvg-structural-selector-preservation,19,0,0.0,471,0,0,0,0,0,0,1196
participle-grammar-conflict-analysis,247,0,0.0,2729,0,0,0,0,0,0,1095
pebble-durability-wait-apis,6,0,0.0,283,0,0,0,0,0,0,267
pest-character-class-coalescing,158,1,0.006329113924050633,2019,1,1,45140,106,45034,0,47140
prometheus-transactional-reload-status,6,0,0.0,186,0,0,0,0,0,0,540
prometheus-typed-label-sorting,19,0,0.0,217,0,0,0,0,0,0,383
psd-tools-blend-range-api,160,0,0.0,1540,0,0,0,0,0,0,909
pwntools-tube-multiplexing,6,0,0.0,58,0,0,0,0,0,0,316
python-statemachine-state-data-scoping,18,0,0.0,580,0,0,0,0,0,0,128
query-persist-restored-query-state,5,0,0.0,117,0,0,0,0,0,0,207
quill-shared-toolbar-focus,5,0,0.0,113,0,0,0,0,0,0,147
returns-validated-error-accumulation,5,0,0.0,167,0,0,0,0,0,0,101
scc-bounded-memory-spilling,157,0,0.0,2063,0,0,0,0,0,0,909
scriggo-method-declarations,5,0,0.0,256,0,0,0,0,0,0,355
skrub-duration-encoding,5,0,0.0,97,0,0,0,0,0,0,136
sql-formatter-bigquery-pipe-formatting,232,0,0.0,4258,0,0,0,0,0,0,909
sqlfmt-create-table-ddl-formatting,6,0,0.0,199,0,0,0,0,0,0,212
sqlite-utils-safe-import-checkpoints,5,0,0.0,98,0,0,0,0,0,0,207
superjson-error-stack-serialization,248,0,0.0,2891,0,0,0,0,0,0,909
task-task-graph-export,6,0,0.0,201,0,0,0,0,0,0,224
tengo-callable-instance-isolation,229,1,0.004366812227074236,4661,1,1,2092,105,1987,0,4092
tengo-destructuring-bindings,157,0,0.0,3469,0,0,0,0,0,0,909
termenv-preserve-ansi-resets,19,0,0.0,321,0,0,0,0,0,0,181
testem-bail-on-test-failure,5,0,0.0,141,0,0,0,0,0,0,166
testem-per-launcher-reports,5,0,0.0,115,0,0,0,0,0,0,166
textual-kitty-key-phases,165,1,0.006060606060606061,1775,1,1,25550,110,25440,0,27550
textual-richlog-follow-state,5,0,0.0,99,0,0,0,0,0,0,155
tomlkit-toml-table-converters,6,0,0.0,85,0,0,0,0,0,0,103
true-myth-iterable-collection-combinators,160,0,0.0,2138,0,0,0,0,0,0,909
ts-pattern-match-each,39,0,0.0,424,0,0,0,0,0,0,1133
updo-policy-alerting,165,0,0.0,2089,0,0,0,0,0,0,909
valibot-recursive-schema-composition,5,0,0.0,196,0,0,0,0,0,0,159
vitest-duration-sharding,6,0,0.0,195,0,0,0,0,0,0,319
vulture-persistent-analysis-cache,157,0,0.0,1697,0,0,0,0,0,0,909
wasmi-trap-coredumps,19,0,0.0,806,0,0,0,0,0,0,338
wazero-multi-module-snapshots,164,0,0.0,1121,0,0,0,0,0,0,909
yaegi-go-embed-directives,6,0,0.0,228,0,0,0,0,0,0,390
yjs-map-conflict-detection,181,0,0.0,3130,0,0,0,0,0,0,1975
ytt-jsonpath-query-api,6,0,0.0,117,0,0,0,0,0,0,158
