task,rep,baseline_reward_binary,goal_reward_binary,delta_binary,baseline_reward_partial,goal_reward_partial,delta_partial,baseline_f2p,goal_f2p,delta_f2p,baseline_p2p,goal_p2p,delta_p2p,baseline_total_tokens,goal_total_tokens,delta_total_tokens,baseline_combined_total_tokens,goal_combined_total_tokens,delta_combined_total_tokens,baseline_cost_usd,goal_cost_usd,delta_cost_usd,baseline_combined_cost_usd,goal_combined_cost_usd,delta_combined_cost_usd,baseline_agent_wall_s,goal_agent_wall_s,delta_agent_wall_s,baseline_turns,goal_turns,delta_turns,baseline_tool_calls,goal_tool_calls,delta_tool_calls,baseline_patch_bytes,goal_patch_bytes,delta_patch_bytes,baseline_agent_exit,goal_agent_exit,baseline_timed_out,goal_timed_out,baseline_verifier_exit,goal_verifier_exit
katex-multicolumn-array-spans,0,0,0,0,0.9942279942279942,0.8643578643578643,-0.1298701298701299,0.9680851063829787,0.0,-0.9680851063829787,0.998330550918197,1.0,0.0016694490818029983,1087889,1882076,794187,1087889,1882076,794187,1.476407,1.947749,0.4713419999999999,1.476407,1.947749,0.4713419999999999,228.8,322.7,93.89999999999998,46,61,15,45,60,15,12912,18451,5539,0,0,False,False,0,0
katex-multicolumn-array-spans,1,0,0,0,0.9942279942279942,0.9942279942279942,0.0,0.9574468085106383,0.9574468085106383,0.0,1.0,1.0,0.0,1017897,2058948,1041051,1017897,2058948,1041051,1.353748,1.897744,0.5439960000000001,1.353748,1.897744,0.5439960000000001,247.6,310.5,62.900000000000006,45,57,12,44,60,16,10187,16018,5831,0,0,False,False,0,0
katex-multicolumn-array-spans,2,0,0,0,0.9956709956709957,0.9797979797979798,-0.015873015873015928,0.9680851063829787,0.851063829787234,-0.11702127659574468,1.0,1.0,0.0,963419,1707161,743742,963419,1707161,743742,0.968358,1.996804,1.028446,0.968358,1.996804,1.028446,235.4,325.5,90.1,46,53,7,45,52,7,13487,17673,4186,0,0,False,False,0,0
vulture-persistent-analysis-cache,0,0,0,0,0.9623824451410659,0.9843260188087775,0.021943573667711602,0.5,0.9583333333333334,0.45833333333333337,1.0,0.9864406779661017,-0.013559322033898313,339842,1495295,1155453,339842,1495295,1155453,0.633504,1.753542,1.120038,0.633504,1.753542,1.120038,181.5,392.8,211.3,30,57,27,29,57,28,15496,24689,9193,0,0,False,False,0,0
vulture-persistent-analysis-cache,1,0,0,0,0.9623824451410659,0.9968652037617555,0.03448275862068961,0.5,0.9583333333333334,0.45833333333333337,1.0,1.0,0.0,532539,1249407,716868,532539,1249407,716868,0.882936,1.64659,0.7636539999999999,0.882936,1.64659,0.7636539999999999,235.6,344.5,108.9,39,52,13,38,54,16,15995,22305,6310,0,0,False,False,0,0
vulture-persistent-analysis-cache,2,1,0,-1,1.0,0.9843260188087775,-0.01567398119122254,1.0,0.9583333333333334,-0.04166666666666663,1.0,0.9864406779661017,-0.013559322033898313,724661,1119420,394759,724661,1119420,394759,1.055419,1.483785,0.4283659999999998,1.055419,1.483785,0.4283659999999998,273.8,326.4,52.599999999999966,48,53,5,47,52,5,13441,21120,7679,0,0,False,False,0,0
obsidian-linter-link-format-conversion,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,910865,1241832,330967,910865,1241832,330967,1.16387,1.855435,0.691565,1.16387,1.855435,0.691565,202.9,306.3,103.4,44,49,5,43,52,9,10517,15129,4612,0,0,False,False,0,0
obsidian-linter-link-format-conversion,1,0,1,1,0.998320738874895,1.0,0.0016792611251049694,0.9666666666666667,1.0,0.033333333333333326,1.0,1.0,0.0,938667,1062320,123653,938667,1062320,123653,1.018708,1.305776,0.2870680000000001,1.018708,1.305776,0.2870680000000001,285.9,266.8,-19.099999999999966,46,44,-2,45,45,0,9946,13322,3376,0,0,False,False,0,0
obsidian-linter-link-format-conversion,2,1,0,-1,1.0,0.9991603694374476,-0.0008396305625524292,1.0,0.9833333333333333,-0.01666666666666672,1.0,1.0,0.0,592569,2232263,1639694,592569,2232263,1639694,0.82875,2.543125,1.714375,0.82875,2.543125,1.714375,180.3,402.0,221.7,38,62,24,37,66,29,8858,13728,4870,0,0,False,False,0,0
happy-dom-deterministic-intersectionobserver,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,517714,959435,441721,517714,959435,441721,0.821916,1.39925,0.5773340000000001,0.821916,1.39925,0.5773340000000001,220.6,527.8,307.19999999999993,30,40,10,29,48,19,15126,20153,5027,0,0,False,False,0,0
happy-dom-deterministic-intersectionobserver,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,287619,1020618,732999,287619,1020618,732999,0.638756,1.590347,0.951591,0.638756,1.590347,0.951591,146.3,347.8,201.5,17,35,18,16,41,25,8980,19144,10164,0,0,False,False,0,0
happy-dom-deterministic-intersectionobserver,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,246681,1232659,985978,246681,1232659,985978,0.549625,1.808568,1.258943,0.549625,1.808568,1.258943,205.5,401.2,195.7,27,40,13,29,43,14,15020,20748,5728,0,0,False,False,0,0
koota-query-predicates,0,0,0,0,0.9906976744186047,0.9720930232558139,-0.018604651162790753,0.9534883720930233,0.8604651162790697,-0.09302325581395354,1.0,1.0,0.0,1493871,4026947,2533076,1493871,4026947,2533076,1.324295,3.835183,2.5108879999999996,1.324295,3.835183,2.5108879999999996,268.4,431.5,163.10000000000002,66,85,19,65,84,19,22850,39693,16843,0,0,False,False,0,0
koota-query-predicates,1,0,0,0,0.9720930232558139,0.9767441860465116,0.0046511627906976605,0.8604651162790697,0.8837209302325582,0.023255813953488413,1.0,1.0,0.0,1691927,3844041,2152114,1691927,3844041,2152114,1.735501,3.526662,1.791161,1.735501,3.526662,1.791161,314.9,499.8,184.90000000000003,67,88,21,66,87,21,22600,39627,17027,0,0,False,False,0,0
koota-query-predicates,2,0,0,0,0.9767441860465116,0.9813953488372092,0.0046511627906976605,0.8837209302325582,0.9069767441860465,0.023255813953488302,1.0,1.0,0.0,1373580,4544509,3170929,1373580,4544509,3170929,1.534276,4.079448,2.545172,1.534276,4.079448,2.545172,269.6,598.8,329.19999999999993,61,106,45,60,105,45,23010,36920,13910,0,0,False,False,0,0
participle-grammar-conflict-analysis,0,0,0,0,0.9959016393442623,0.6844262295081968,-0.3114754098360656,0.989010989010989,0.15384615384615385,-0.8351648351648352,1.0,1.0,0.0,334311,532180,197869,334311,532180,197869,0.512652,0.882099,0.36944699999999997,0.512652,0.882099,0.36944699999999997,131.6,268.2,136.6,27,34,7,26,33,7,10191,18351,8160,0,0,False,False,0,0
participle-grammar-conflict-analysis,1,0,0,0,0.6844262295081968,0.9959016393442623,0.3114754098360656,0.15384615384615385,0.989010989010989,0.8351648351648352,1.0,1.0,0.0,220996,1134348,913352,220996,1134348,913352,0.515508,1.671714,1.156206,0.515508,1.671714,1.156206,120.6,406.1,285.5,20,45,25,19,47,28,9547,17459,7912,0,0,False,False,0,0
participle-grammar-conflict-analysis,2,0,0,0,0.9959016393442623,0.9959016393442623,0.0,0.989010989010989,0.989010989010989,0.0,1.0,1.0,0.0,209454,1043474,834020,209454,1043474,834020,0.378221,1.306464,0.9282430000000002,0.378221,1.306464,0.9282430000000002,112.0,301.3,189.3,20,42,22,19,43,24,10786,16591,5805,0,0,False,False,0,0
dateutil-rfc5545-timezone-interop,0,0,1,1,0.9995242626070409,1.0,0.0004757373929591413,0.9850746268656716,1.0,0.014925373134328401,1.0,1.0,0.0,862339,1331600,469261,862339,1331600,469261,1.051886,1.767803,0.7159169999999999,1.051886,1.767803,0.7159169999999999,242.8,382.6,139.8,48,54,6,47,52,5,18364,20726,2362,0,0,False,False,0,0
dateutil-rfc5545-timezone-interop,1,0,0,0,0.99476688867745,0.9995242626070409,0.004757373929590858,0.835820895522388,0.9850746268656716,0.14925373134328357,1.0,1.0,0.0,403170,1686094,1282924,403170,1686094,1282924,0.608099,2.058414,1.450315,0.608099,2.058414,1.450315,147.6,381.7,234.1,25,62,37,24,61,37,14168,22408,8240,0,0,False,False,0,0
dateutil-rfc5545-timezone-interop,2,0,0,0,0.9995242626070409,0.9995242626070409,0.0,0.9850746268656716,0.9850746268656716,0.0,1.0,1.0,0.0,436306,1404776,968470,436306,1404776,968470,0.653077,1.568007,0.9149299999999999,0.653077,1.568007,0.9149299999999999,167.9,356.2,188.29999999999998,29,57,28,28,56,28,14785,23541,8756,0,0,False,False,0,0
mashumaro-flattened-dataclass-fields,0,0,0,0,0.9981715425531915,0.9998337765957447,0.0016622340425531679,0.2727272727272727,0.9242424242424242,0.6515151515151515,0.9997667755047644,1.0,0.0002332244952355511,785907,2154638,1368731,785907,2154638,1368731,1.005452,2.708455,1.7030029999999998,1.005452,2.708455,1.7030029999999998,217.9,557.4,339.5,54,75,21,53,73,20,15445,22548,7103,0,0,False,False,0,0
mashumaro-flattened-dataclass-fields,1,0,1,1,0.9997340425531915,1.0,0.00026595744680846245,0.8787878787878788,1.0,0.12121212121212122,1.0,1.0,0.0,554586,1556713,1002127,554586,1556713,1002127,0.731598,1.773068,1.0414700000000001,0.731598,1.773068,1.0414700000000001,192.8,438.5,245.7,34,61,27,33,60,27,14301,21194,6893,0,0,False,False,0,0
mashumaro-flattened-dataclass-fields,2,0,0,0,0.9996010638297872,0.9998005319148936,0.00019946808510640235,0.8333333333333334,0.9242424242424242,0.09090909090909083,0.9999666822149663,0.9999666822149663,0.0,708121,1481038,772917,708121,1481038,772917,0.858984,1.802244,0.94326,0.858984,1.802244,0.94326,202.0,295.2,93.19999999999999,52,57,5,51,56,5,10484,19786,9302,0,0,False,False,0,0
langchain-request-coalescing,0,0,1,1,0.9858156028368794,1.0,0.014184397163120588,0.92,1.0,0.07999999999999996,1.0,1.0,0.0,758591,2574609,1816018,758591,2574609,1816018,0.970002,2.539518,1.5695160000000001,0.970002,2.539518,1.5695160000000001,200.5,468.8,268.3,36,80,44,35,78,43,16820,26498,9678,0,0,False,False,0,0
langchain-request-coalescing,1,0,0,0,0.9929078014184397,0.9929078014184397,0.0,0.96,0.96,0.0,1.0,1.0,0.0,542576,2744726,2202150,542576,2744726,2202150,0.822022,3.054755,2.232733,0.822022,3.054755,2.232733,190.3,802.7,612.4000000000001,30,74,44,29,72,43,14051,23671,9620,0,0,False,False,0,0
langchain-request-coalescing,2,1,0,-1,1.0,0.9893617021276596,-0.010638297872340385,1.0,0.94,-0.06000000000000005,1.0,1.0,0.0,1064500,3452686,2388186,1064500,3452686,2388186,1.035161,3.514721,2.47956,1.035161,3.514721,2.47956,259.4,827.7,568.3000000000001,48,90,42,47,91,44,17190,27648,10458,0,0,False,False,0,0
textual-kitty-key-phases,0,0,0,0,0.9,0.975,0.07499999999999996,0.6521739130434783,0.9130434782608695,0.26086956521739124,1.0,1.0,0.0,334199,1839580,1505381,334199,1839580,1505381,0.597449,2.145977,1.5485279999999997,0.597449,2.145977,1.5485279999999997,399.0,909.0,510.0,30,65,35,29,64,35,9869,18200,8331,0,0,False,False,0,0
textual-kitty-key-phases,1,0,0,0,0.85,0.9625,0.11250000000000004,0.4782608695652174,0.8695652173913043,0.3913043478260869,1.0,1.0,0.0,304323,1258730,954407,304323,1258730,954407,0.478662,1.603224,1.124562,0.478662,1.603224,1.124562,143.2,1338.6,1195.3999999999999,29,52,23,28,50,22,10345,14800,4455,0,0,False,False,0,0
textual-kitty-key-phases,2,0,0,0,0.9,0.85,-0.050000000000000044,0.6521739130434783,0.4782608695652174,-0.17391304347826086,1.0,1.0,0.0,402951,1629901,1226950,402951,1629901,1226950,0.655447,1.862617,1.20717,0.655447,1.862617,1.20717,160.3,407.0,246.7,35,63,28,34,61,27,10268,13316,3048,0,0,False,False,0,0
eicrud-keyset-pagination-cursor,0,0,1,1,0.967032967032967,1.0,0.03296703296703296,0.5714285714285714,1.0,0.4285714285714286,1.0,1.0,0.0,701556,4829929,4128373,701556,4829929,4128373,0.96174,4.581162,3.619422,0.96174,4.581162,3.619422,250.6,886.2,635.6,38,104,66,37,103,66,6728,18106,11378,0,0,False,False,0,0
eicrud-keyset-pagination-cursor,1,0,1,1,0.945054945054945,1.0,0.05494505494505497,0.5714285714285714,1.0,0.4285714285714286,0.9761904761904762,1.0,0.023809523809523836,559499,1881950,1322451,559499,1881950,1322451,0.790668,2.350999,1.5603309999999997,0.790668,2.350999,1.5603309999999997,200.0,475.8,275.8,31,64,33,30,63,33,5976,11849,5873,0,0,False,False,0,0
eicrud-keyset-pagination-cursor,2,0,0,0,0.967032967032967,0.967032967032967,0.0,0.5714285714285714,0.5714285714285714,0.0,1.0,1.0,0.0,504945,2432491,1927546,504945,2432491,1927546,0.726224,2.857461,2.1312369999999996,0.726224,2.857461,2.1312369999999996,191.1,491.4,300.29999999999995,31,90,59,30,89,59,5677,10871,5194,0,0,False,False,0,0
claude-code-by-agents-recursive-delegation,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,551652,1307053,755401,551652,1307053,755401,0.723786,1.854535,1.130749,0.723786,1.854535,1.130749,119.4,276.4,156.99999999999997,24,44,20,23,42,19,7731,19028,11297,0,0,False,False,0,0
claude-code-by-agents-recursive-delegation,1,0,1,1,0.8421052631578947,1.0,0.1578947368421053,0.14285714285714285,1.0,0.8571428571428572,1.0,1.0,0.0,388087,1353079,964992,388087,1353079,964992,0.639624,1.612516,0.9728920000000001,0.639624,1.612516,0.9728920000000001,115.8,233.0,117.2,25,43,18,24,45,21,8785,32871,24086,0,0,False,False,0,0
claude-code-by-agents-recursive-delegation,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,367383,1125099,757716,367383,1125099,757716,0.532306,1.673809,1.1415030000000002,0.532306,1.673809,1.1415030000000002,129.3,261.7,132.39999999999998,21,37,16,20,36,16,7033,47542,40509,0,0,False,False,0,0
fd-deterministic-multi-key-sorting,0,0,0,0,0.993421052631579,0.993421052631579,0.0,0.9767441860465116,0.9767441860465116,0.0,1.0,1.0,0.0,949707,1291877,342170,949707,1291877,342170,1.11356,1.601769,0.4882089999999999,1.11356,1.601769,0.4882089999999999,220.8,264.5,43.69999999999999,50,49,-1,49,49,0,15132,18245,3113,0,0,False,False,0,0
fd-deterministic-multi-key-sorting,1,0,0,0,0.993421052631579,0.9736842105263158,-0.019736842105263164,0.9767441860465116,0.9069767441860465,-0.06976744186046513,1.0,1.0,0.0,581459,1186995,605536,581459,1186995,605536,0.832154,1.533173,0.701019,0.832154,1.533173,0.701019,144.8,283.7,138.89999999999998,33,52,19,32,50,18,13333,17875,4542,0,0,False,False,0,0
fd-deterministic-multi-key-sorting,2,0,0,0,0.993421052631579,0.993421052631579,0.0,0.9767441860465116,0.9767441860465116,0.0,1.0,1.0,0.0,431493,1603480,1171987,431493,1603480,1171987,0.6005,1.870333,1.269833,0.6005,1.870333,1.269833,180.1,297.3,117.20000000000002,36,57,21,35,55,20,13834,17454,3620,0,0,False,False,0,0
go-critic-doc-link-checker,0,1,0,-1,1.0,0.8947368421052632,-0.10526315789473684,1.0,0.6666666666666666,-0.33333333333333337,1.0,0.9375,-0.0625,508835,1363349,854514,508835,1363349,854514,0.839945,1.5172,0.677255,0.839945,1.5172,0.677255,444.3,563.3,118.99999999999994,46,62,16,45,61,16,10732,11539,807,0,0,False,False,0,0
go-critic-doc-link-checker,1,0,1,1,0.8947368421052632,1.0,0.10526315789473684,0.6666666666666666,1.0,0.33333333333333337,0.9375,1.0,0.0625,697962,1168128,470166,697962,1168128,470166,0.990327,1.265381,0.27505400000000013,0.990327,1.265381,0.27505400000000013,758.1,557.6,-200.5,48,53,5,47,56,9,8174,12527,4353,0,0,False,False,0,0
go-critic-doc-link-checker,2,1,0,-1,1.0,0.8947368421052632,-0.10526315789473684,1.0,0.6666666666666666,-0.33333333333333337,1.0,0.9375,-0.0625,615700,1376280,760580,615700,1376280,760580,0.854678,1.47148,0.6168019999999999,0.854678,1.47148,0.6168019999999999,807.9,592.7,-215.19999999999993,47,73,26,46,72,26,7384,10577,3193,0,0,False,False,0,0
mobly-grouped-test-barriers,0,0,0,0,0.9932356257046223,0.9740698985343855,-0.01916572717023679,0.9240506329113924,0.7088607594936709,-0.21518987341772156,1.0,1.0,0.0,570450,924527,354077,570450,924527,354077,0.882141,1.144734,0.26259299999999997,0.882141,1.144734,0.26259299999999997,217.0,273.4,56.39999999999998,32,42,10,31,41,10,14376,19385,5009,0,0,False,False,0,0
mobly-grouped-test-barriers,1,0,0,0,0.9785794813979707,0.9932356257046223,0.01465614430665163,0.759493670886076,0.9240506329113924,0.16455696202531644,1.0,1.0,0.0,748786,2282098,1533312,748786,2282098,1533312,1.044896,2.388482,1.3435860000000002,1.044896,2.388482,1.3435860000000002,203.1,408.9,205.79999999999998,34,66,32,33,64,31,13677,27755,14078,0,0,False,False,0,0
mobly-grouped-test-barriers,2,0,1,1,0.9774520856820744,1.0,0.022547914317925577,0.7468354430379747,1.0,0.25316455696202533,1.0,1.0,0.0,502135,2050248,1548113,502135,2050248,1548113,0.72118,2.32456,1.60338,0.72118,2.32456,1.60338,198.4,430.7,232.29999999999998,31,65,34,30,63,33,12856,23629,10773,0,0,False,False,0,0
tengo-destructuring-bindings,0,0,0,0,0.7130044843049327,0.9865470852017937,0.273542600896861,0.37362637362637363,0.967032967032967,0.5934065934065934,0.946969696969697,1.0,0.05303030303030298,661037,3015012,2353975,661037,3015012,2353975,0.930711,3.000683,2.069972,0.930711,3.000683,2.069972,194.6,461.2,266.6,42,85,43,41,82,41,8545,19673,11128,0,0,False,False,0,0
tengo-destructuring-bindings,1,0,0,0,0.695067264573991,0.9865470852017937,0.29147982062780264,0.25274725274725274,0.967032967032967,0.7142857142857143,1.0,1.0,0.0,679065,4495013,3815948,679065,4495013,3815948,0.929306,4.106906,3.1776000000000004,0.929306,4.106906,3.1776000000000004,194.7,648.2,453.50000000000006,46,116,70,45,114,69,8978,19930,10952,0,0,False,False,0,0
tengo-destructuring-bindings,2,0,1,1,0.600896860986547,1.0,0.39910313901345296,0.12087912087912088,1.0,0.8791208791208791,0.9318181818181818,1.0,0.06818181818181823,927112,2107423,1180311,927112,2107423,1180311,1.142365,2.041677,0.8993119999999999,1.142365,2.041677,0.8993119999999999,242.4,491.2,248.79999999999998,57,62,5,56,61,5,11751,13187,1436,0,0,False,False,0,0
fastapi-deprecation-response-headers,0,0,0,0,0.9920513604402323,0.9865484561296239,-0.005502904310608403,0.8175182481751825,0.6788321167883211,-0.13868613138686137,0.9996809189534142,1.0,0.00031908104658584513,936196,2296775,1360579,936196,2296775,1360579,0.996281,2.365039,1.368758,0.996281,2.365039,1.368758,411.6,387.6,-24.0,51,75,24,50,74,24,27550,33259,5709,0,0,False,False,0,0
fastapi-deprecation-response-headers,1,1,0,-1,1.0,0.9865484561296239,-0.01345154387037606,1.0,0.6788321167883211,-0.3211678832116789,1.0,1.0,0.0,628886,2193943,1565057,628886,2193943,1565057,0.792222,2.333275,1.541053,0.792222,2.333275,1.541053,196.7,575.6,378.90000000000003,36,72,36,35,70,35,27098,32616,5518,0,0,False,False,0,0
fastapi-deprecation-response-headers,2,1,0,-1,1.0,0.9856313054111893,-0.014368694588810738,1.0,0.656934306569343,-0.34306569343065696,1.0,1.0,0.0,811956,1846755,1034799,811956,1846755,1034799,0.895378,2.087844,1.192466,0.895378,2.087844,1.192466,222.7,343.4,120.69999999999999,51,62,11,50,61,11,27932,34353,6421,0,0,False,False,0,0
go-git-worktree-merge-conflicts,0,0,0,0,0.8421052631578947,0.8421052631578947,0.0,0.8235294117647058,0.8235294117647058,0.0,1.0,1.0,0.0,599318,2153141,1553823,599318,2153141,1553823,0.697854,2.335099,1.637245,0.697854,2.335099,1.637245,226.5,499.7,273.2,37,61,24,36,59,23,9538,15587,6049,0,0,False,False,0,0
go-git-worktree-merge-conflicts,1,0,0,0,0.7894736842105263,0.8947368421052632,0.10526315789473684,0.7647058823529411,0.8823529411764706,0.11764705882352944,1.0,1.0,0.0,918069,2139118,1221049,918069,2139118,1221049,1.090482,2.442428,1.351946,1.090482,2.442428,1.351946,476.3,448.6,-27.69999999999999,51,57,6,50,61,11,9664,20200,10536,0,0,False,False,0,0
go-git-worktree-merge-conflicts,2,0,0,0,0.8947368421052632,0.8947368421052632,0.0,0.8823529411764706,0.8823529411764706,0.0,1.0,1.0,0.0,719166,2298428,1579262,719166,2298428,1579262,0.902139,2.680033,1.7778939999999999,0.902139,2.680033,1.7778939999999999,507.8,452.2,-55.60000000000002,39,59,20,38,58,20,10371,20253,9882,0,0,False,False,0,0
scc-bounded-memory-spilling,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,660178,1658059,997881,660178,1658059,997881,0.846825,2.264867,1.4180420000000002,0.846825,2.264867,1.4180420000000002,193.1,612.4,419.29999999999995,45,63,18,44,61,17,9099,17635,8536,0,0,False,False,0,0
scc-bounded-memory-spilling,1,0,1,1,0.9905362776025236,1.0,0.009463722397476393,0.9032258064516129,1.0,0.09677419354838712,1.0,1.0,0.0,374064,938606,564542,374064,938606,564542,0.600185,1.192343,0.592158,0.600185,1.192343,0.592158,222.0,314.5,92.5,34,54,20,33,52,19,8156,10944,2788,0,0,False,False,0,0
scc-bounded-memory-spilling,2,0,1,1,0.9842271293375394,1.0,0.01577287066246058,0.8387096774193549,1.0,0.16129032258064513,1.0,1.0,0.0,287025,821847,534822,287025,821847,534822,0.516663,1.131373,0.61471,0.516663,1.131373,0.61471,166.9,367.6,200.70000000000002,32,44,12,31,42,11,9879,12640,2761,0,0,False,False,0,0
tengo-callable-instance-isolation,0,0,0,0,0.9448275862068966,0.993103448275862,0.0482758620689655,0.6521739130434783,0.9565217391304348,0.30434782608695654,1.0,1.0,0.0,549587,1258659,709072,549587,1258659,709072,0.839386,1.712656,0.87327,0.839386,1.712656,0.87327,229.7,328.5,98.80000000000001,43,58,15,42,57,15,8054,11098,3044,0,0,False,False,0,0
tengo-callable-instance-isolation,1,0,0,0,0.993103448275862,0.8551724137931035,-0.13793103448275856,0.9565217391304348,0.08695652173913043,-0.8695652173913044,1.0,1.0,0.0,492863,1699860,1206997,492863,1699860,1206997,0.729474,2.20028,1.4708059999999998,0.729474,2.20028,1.4708059999999998,193.7,371.9,178.2,39,59,20,38,57,19,9321,12216,2895,0,0,False,False,0,0
