task,rep,title,difficulty,language,pass_rate,delivery,baseline_reward_binary,baseline_reward_partial,baseline_f2p,baseline_p2p,baseline_combined_total_tokens,baseline_combined_cost_usd,baseline_agent_wall_s,baseline_turns,baseline_tool_calls,baseline_patch_bytes,pi_fabric_reward_binary,pi_fabric_reward_partial,pi_fabric_f2p,pi_fabric_p2p,pi_fabric_combined_total_tokens,pi_fabric_combined_cost_usd,pi_fabric_agent_wall_s,pi_fabric_turns,pi_fabric_tool_calls,pi_fabric_patch_bytes,delta_reward_binary,delta_reward_partial,delta_f2p,delta_p2p,delta_combined_total_tokens,delta_combined_cost_usd,delta_agent_wall_s,delta_turns,delta_tool_calls,delta_patch_bytes
mashumaro-flattened-dataclass-fields,1,Add flattened dataclass fields to Mashumaro field options,hard,python,32,delivered,0,0.9999667553191489,1.0,0.9999666822149663,438394,0.719014,196.3,22,25,15991,0,0.9999002659574469,0.9545454545454546,1.0,1464990,1.560224,407.2,43,42,19911,0.0,-6.64893617020601e-05,-0.045454545454545414,3.331778503368188e-05,1026596.0,0.84121,210.89999999999998,21.0,17.0,3920.0
mashumaro-flattened-dataclass-fields,2,Add flattened dataclass fields to Mashumaro field options,hard,python,32,delivered,0,0.9999002659574469,0.9545454545454546,1.0,692754,0.794031,223.3,33,39,14026,0,0.9999667553191489,1.0,0.9999666822149663,861476,1.03066,263.5,25,24,12812,0.0,6.64893617020601e-05,0.045454545454545414,-3.331778503368188e-05,168722.0,0.23662899999999987,40.19999999999999,-8.0,-15.0,-1214.0
langchain-request-coalescing,0,Add request coalescing to `Runnable`,medium,python,36,delivered,0,0.9893617021276596,0.94,1.0,523958,0.879211,233.4,31,35,17941,0,0.9964539007092199,0.98,1.0,1224511,1.329718,400.3,37,36,23841,0.0,0.007092198581560294,0.040000000000000036,0.0,700553.0,0.450507,166.9,6.0,1.0,5900.0
langchain-request-coalescing,1,Add request coalescing to `Runnable`,medium,python,36,delivered,0,0.9893617021276596,0.94,1.0,753763,1.027548,411.8,34,45,16437,0,0.9929078014184397,0.96,1.0,823033,1.045019,408.9,33,32,19644,0.0,0.0035460992907800915,0.020000000000000018,0.0,69270.0,0.017471000000000014,-2.900000000000034,-1.0,-13.0,3207.0
langchain-request-coalescing,2,Add request coalescing to `Runnable`,medium,python,36,delivered,0,0.9893617021276596,0.94,1.0,446845,0.712006,196.8,27,30,15472,0,0.9858156028368794,0.92,1.0,1173035,1.393822,444.0,29,28,21309,0.0,-0.0035460992907802025,-0.019999999999999907,0.0,726190.0,0.6818159999999999,247.2,2.0,-2.0,5837.0
textual-kitty-key-phases,0,Complete Kitty keyboard phases and stable fallback key metadata,medium,python,37,delivered,0,0.9375,0.782608695652174,1.0,398451,0.56869,190.3,22,28,9887,0,0.9875,0.9565217391304348,1.0,734765,0.864197,479.3,30,29,11941,0.0,0.050000000000000044,0.17391304347826086,0.0,336314.0,0.29550699999999996,289.0,8.0,1.0,2054.0
textual-kitty-key-phases,1,Complete Kitty keyboard phases and stable fallback key metadata,medium,python,37,delivered,0,0.975,0.9130434782608695,1.0,649785,0.732605,179.3,21,28,11188,0,0.9875,0.9565217391304348,1.0,638555,0.92901,394.6,24,23,12804,0.0,0.012500000000000067,0.0434782608695653,0.0,-11230.0,0.19640500000000005,215.3,3.0,-5.0,1616.0
textual-kitty-key-phases,2,Complete Kitty keyboard phases and stable fallback key metadata,medium,python,37,delivered,0,0.9625,0.8695652173913043,1.0,389210,0.629126,154.3,20,32,10971,0,0.975,0.9130434782608695,1.0,1064270,1.223234,555.0,29,28,10970,0.0,0.012499999999999956,0.04347826086956519,0.0,675060.0,0.594108,400.7,9.0,-4.0,-1.0
eicrud-keyset-pagination-cursor,0,Add keyset cursor pagination to `$find`,medium,typescript,38,delivered,0,0.967032967032967,0.5714285714285714,1.0,335334,0.596297,122.1,19,28,6274,0,0.967032967032967,0.5714285714285714,1.0,590236,0.75767,203.7,20,19,7873,0.0,0.0,0.0,0.0,254902.0,0.161373,81.6,1.0,-9.0,1599.0
eicrud-keyset-pagination-cursor,1,Add keyset cursor pagination to `$find`,medium,typescript,38,delivered,0,0.9395604395604396,0.5714285714285714,0.9702380952380952,383211,0.597442,175.6,26,31,6921,0,0.945054945054945,0.5714285714285714,0.9761904761904762,543335,0.68017,192.5,19,18,7714,0.0,0.005494505494505475,0.0,0.005952380952380931,160124.0,0.08272800000000002,16.900000000000006,-7.0,-13.0,793.0
eicrud-keyset-pagination-cursor,2,Add keyset cursor pagination to `$find`,medium,typescript,38,delivered,0,0.967032967032967,0.5714285714285714,1.0,370654,0.603834,162.5,21,31,5977,0,0.967032967032967,0.5714285714285714,1.0,496424,0.69039,188.6,22,21,6963,0.0,0.0,0.0,0.0,125770.0,0.08655599999999997,26.099999999999994,1.0,-10.0,986.0
claude-code-by-agents-recursive-delegation,0,Implement recursive agent delegation through delegate_task tool calls,medium,typescript,44,delivered,1,1.0,1.0,1.0,208807,0.428453,112.7,14,18,7279,1,1.0,1.0,1.0,303454,0.505007,163.4,15,14,9518,0.0,0.0,0.0,0.0,94647.0,0.07655400000000001,50.7,1.0,-4.0,2239.0
claude-code-by-agents-recursive-delegation,1,Implement recursive agent delegation through delegate_task tool calls,medium,typescript,44,delivered,1,1.0,1.0,1.0,481359,0.628327,199.6,23,30,10833,1,1.0,1.0,1.0,330329,0.556513,175.5,20,19,27845,0.0,0.0,0.0,0.0,-151030.0,-0.07181399999999993,-24.099999999999994,-3.0,-11.0,17012.0
claude-code-by-agents-recursive-delegation,2,Implement recursive agent delegation through delegate_task tool calls,medium,typescript,44,delivered,1,1.0,1.0,1.0,277834,0.499558,134.6,16,21,26615,0,0.868421052631579,0.2857142857142857,1.0,603675,0.739389,188.5,20,19,13960,-1.0,-0.13157894736842102,-0.7142857142857143,0.0,325841.0,0.23983099999999996,53.900000000000006,4.0,-2.0,-12655.0
fd-deterministic-multi-key-sorting,0,Add deterministic multi-key sorting to fd,medium,rust,44,delivered,1,1.0,1.0,1.0,369610,0.627293,163.0,20,23,14580,1,1.0,1.0,1.0,740148,0.89892,209.9,20,19,14643,0.0,0.0,0.0,0.0,370538.0,0.27162700000000006,46.900000000000006,0.0,-4.0,63.0
fd-deterministic-multi-key-sorting,1,Add deterministic multi-key sorting to fd,medium,rust,44,delivered,0,0.993421052631579,0.9767441860465116,1.0,446717,0.561665,154.5,22,26,12647,1,1.0,1.0,1.0,935632,1.038603,272.8,26,25,17564,1.0,0.006578947368421018,0.023255813953488413,0.0,488915.0,0.476938,118.30000000000001,4.0,-1.0,4917.0
fd-deterministic-multi-key-sorting,2,Add deterministic multi-key sorting to fd,medium,rust,44,delivered,1,1.0,1.0,1.0,433288,0.56874,158.6,20,28,13856,1,1.0,1.0,1.0,567796,0.737962,196.5,19,18,15774,0.0,0.0,0.0,0.0,134508.0,0.16922199999999998,37.900000000000006,-1.0,-10.0,1918.0
go-critic-doc-link-checker,0,Add a checker for broken doc comment links,medium,go,51,delivered,1,1.0,1.0,1.0,806677,1.0331,439.6,40,51,9317,1,1.0,1.0,1.0,710817,1.098853,356.6,37,36,10386,0.0,0.0,0.0,0.0,-95860.0,0.06575300000000017,-83.0,-3.0,-15.0,1069.0
go-critic-doc-link-checker,1,Add a checker for broken doc comment links,medium,go,51,delivered,1,1.0,1.0,1.0,613102,0.855766,352.1,39,45,10163,0,0.8947368421052632,0.6666666666666666,0.9375,926122,1.059933,415.5,38,37,10671,-1.0,-0.10526315789473684,-0.33333333333333337,-0.0625,313020.0,0.204167,63.39999999999998,-1.0,-8.0,508.0
go-critic-doc-link-checker,2,Add a checker for broken doc comment links,medium,go,51,delivered,1,1.0,1.0,1.0,316203,0.562162,277.3,25,29,8695,1,1.0,1.0,1.0,770440,0.922766,354.2,31,30,10156,0.0,0.0,0.0,0.0,454237.0,0.3606039999999999,76.89999999999998,6.0,1.0,1461.0
mobly-grouped-test-barriers,0,Add grouped test phases with synchronized barriers,medium,python,52,delivered,1,1.0,1.0,1.0,281114,0.536004,134.9,14,16,12593,0,0.9909808342728298,0.8987341772151899,1.0,501119,0.772029,181.9,13,12,11752,-1.0,-0.009019165727170209,-0.10126582278481011,0.0,220005.0,0.23602499999999993,47.0,-1.0,-4.0,-841.0
mobly-grouped-test-barriers,1,Add grouped test phases with synchronized barriers,medium,python,52,delivered,1,1.0,1.0,1.0,349692,0.672819,166.7,20,22,14793,0,0.9932356257046223,0.9240506329113924,1.0,374246,0.6464,198.8,18,17,15633,-1.0,-0.006764374295377684,-0.07594936708860756,0.0,24554.0,-0.02641899999999997,32.10000000000002,-2.0,-5.0,840.0
mobly-grouped-test-barriers,2,Add grouped test phases with synchronized barriers,medium,python,52,delivered,0,0.9932356257046223,0.9240506329113924,1.0,591407,0.706455,184.3,22,25,12845,0,0.9988726042841037,1.0,0.9987623762376238,639495,0.984699,242.6,20,19,13454,0.0,0.005636978579481422,0.07594936708860756,-0.0012376237623762387,48088.0,0.27824399999999994,58.29999999999998,-2.0,-6.0,609.0
tengo-destructuring-bindings,0,Add destructuring bindings to Tengo,medium,go,52,delivered,1,1.0,1.0,1.0,1243365,1.196613,300.5,43,53,16015,1,1.0,1.0,1.0,1609445,1.524625,288.2,32,31,15897,0.0,0.0,0.0,0.0,366080.0,0.32801199999999997,-12.300000000000011,-11.0,-22.0,-118.0
tengo-destructuring-bindings,1,Add destructuring bindings to Tengo,medium,go,52,delivered,1,1.0,1.0,1.0,1210297,1.229303,308.1,45,55,18020,1,1.0,1.0,1.0,1503308,1.520338,316.9,31,30,16189,0.0,0.0,0.0,0.0,293011.0,0.29103499999999993,8.799999999999955,-14.0,-25.0,-1831.0
tengo-destructuring-bindings,2,Add destructuring bindings to Tengo,medium,go,52,delivered,0,0.9775784753363229,0.945054945054945,1.0,852987,0.913183,227.2,28,35,23311,1,1.0,1.0,1.0,1883295,1.700602,324.5,36,35,16728,1.0,0.022421524663677084,0.05494505494505497,0.0,1030308.0,0.787419,97.30000000000001,8.0,0.0,-6583.0
fastapi-deprecation-response-headers,0,"Add deprecation, sunset, and successor headers to FastAPI routes",medium,python,54,delivered,1,1.0,1.0,1.0,649645,0.744389,212.7,31,33,27990,1,1.0,1.0,1.0,610546,0.771809,241.3,23,22,28617,0.0,0.0,0.0,0.0,-39099.0,0.02742,28.600000000000023,-8.0,-11.0,627.0
fastapi-deprecation-response-headers,1,"Add deprecation, sunset, and successor headers to FastAPI routes",medium,python,54,delivered,1,1.0,1.0,1.0,454194,0.678208,186.4,24,27,33244,1,1.0,1.0,1.0,698607,0.870779,294.2,27,26,27518,0.0,0.0,0.0,0.0,244413.0,0.19257099999999994,107.79999999999998,3.0,-1.0,-5726.0
fastapi-deprecation-response-headers,2,"Add deprecation, sunset, and successor headers to FastAPI routes",medium,python,54,delivered,1,1.0,1.0,1.0,308704,0.478493,148.2,20,24,27407,1,1.0,1.0,1.0,570420,0.714454,195.7,23,22,27830,0.0,0.0,0.0,0.0,261716.0,0.23596100000000003,47.5,3.0,-2.0,423.0
go-git-worktree-merge-conflicts,0,Add worktree merge conflict handling,medium,go,55,delivered,0,0.8421052631578947,0.8235294117647058,1.0,350122,0.592195,179.9,20,26,12014,0,0.6842105263157895,0.6470588235294118,1.0,783341,0.97703,340.8,20,19,14129,0.0,-0.1578947368421052,-0.17647058823529405,0.0,433219.0,0.3848349999999999,160.9,0.0,-7.0,2115.0
go-git-worktree-merge-conflicts,1,Add worktree merge conflict handling,medium,go,55,delivered,1,1.0,1.0,1.0,391671,0.576254,229.5,23,29,12885,1,1.0,1.0,1.0,1189938,1.277343,272.0,22,21,14205,0.0,0.0,0.0,0.0,798267.0,0.7010889999999999,42.5,-1.0,-8.0,1320.0
go-git-worktree-merge-conflicts,2,Add worktree merge conflict handling,medium,go,55,delivered,0,0.8947368421052632,0.8823529411764706,1.0,475261,0.633884,206.8,24,32,11963,1,1.0,1.0,1.0,815327,0.953201,264.8,23,22,14877,1.0,0.10526315789473684,0.11764705882352944,0.0,340066.0,0.31931699999999996,58.0,-1.0,-10.0,2914.0
scc-bounded-memory-spilling,0,Add bounded-memory spilling to SCC aggregation,medium,go,60,delivered,0,0.9810725552050473,0.967741935483871,0.9825174825174825,843839,0.906375,355.8,38,42,13664,1,1.0,1.0,1.0,972136,1.126634,330.6,26,25,13541,1.0,0.018927444794952675,0.032258064516129004,0.0174825174825175,128297.0,0.22025899999999987,-25.19999999999999,-12.0,-17.0,-123.0
scc-bounded-memory-spilling,1,Add bounded-memory spilling to SCC aggregation,medium,go,60,delivered,1,1.0,1.0,1.0,442667,0.627637,202.8,16,28,11389,0,0.9968454258675079,0.967741935483871,1.0,1486899,1.462188,330.5,28,27,15211,-1.0,-0.003154574132492094,-0.032258064516129004,0.0,1044232.0,0.834551,127.69999999999999,12.0,-1.0,3822.0
scc-bounded-memory-spilling,2,Add bounded-memory spilling to SCC aggregation,medium,go,60,delivered,0,0.9968454258675079,0.967741935483871,1.0,897582,0.968644,229.0,25,31,9982,1,1.0,1.0,1.0,1495128,1.51149,357.2,33,32,17413,1.0,0.003154574132492094,0.032258064516129004,0.0,597546.0,0.542846,128.2,8.0,1.0,7431.0
tengo-callable-instance-isolation,0,Fix isolated Go-side calls for Tengo callables and closures,medium,go,60,delivered,0,0.993103448275862,0.9565217391304348,1.0,569898,0.805905,241.0,30,39,10522,1,1.0,1.0,1.0,674893,0.964453,333.1,29,28,15542,1.0,0.006896551724137945,0.04347826086956519,0.0,104995.0,0.15854800000000002,92.10000000000002,-1.0,-11.0,5020.0
tengo-callable-instance-isolation,1,Fix isolated Go-side calls for Tengo callables and closures,medium,go,60,delivered,0,0.993103448275862,0.9565217391304348,1.0,845470,1.102094,282.6,47,52,11344,1,1.0,1.0,1.0,880672,0.989232,251.8,26,25,13635,1.0,0.006896551724137945,0.04347826086956519,0.0,35202.0,-0.1128619999999999,-30.80000000000001,-21.0,-27.0,2291.0
tengo-callable-instance-isolation,2,Fix isolated Go-side calls for Tengo callables and closures,medium,go,60,delivered,0,0.993103448275862,0.9565217391304348,1.0,883204,1.076135,308.0,41,48,13294,0,0.8551724137931035,0.08695652173913043,1.0,884645,1.089608,362.8,23,22,14534,0.0,-0.13793103448275856,-0.8695652173913044,0.0,1441.0,0.013472999999999846,54.80000000000001,-18.0,-26.0,1240.0
