task,config,short,delta_partial,delta_solve_rate,catastrophic,mean_tokens,mean_om_tokens,accepted_nonempty_rate,no_tool_call_rate,all_filtered_rate,reflector_error_rate,observer_append_rate,dropper_not_ready_rate,mean_reflection_entries,mean_observation_entries,mean_reflection_tokens,mean_observation_tokens
bandit-structured-nosec-directives,observational-memory-gpt55-off,gpt55-off,-0.007597340930674323,0,0,563286,52501.666666666664,1.0,0.0,0.0,0.0,0.8,0.4,3.0,12.0,191.66666666666666,670.6666666666666
bandit-structured-nosec-directives,observational-memory-gpt54-off,gpt54-off,-0.02754036087369427,0,0,699751,51997.333333333336,1.0,0.0,0.0,0.0,0.8,0.4,1.3333333333333333,9.333333333333334,69.0,573.6666666666666
oxvg-structural-selector-preservation,observational-memory-gpt54mini-low,gpt54mini-low,0.009803921568627527,0,0,1132206.3333333333,75822.33333333333,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,2.3333333333333335,10.666666666666666,104.66666666666667,467.6666666666667
oxvg-structural-selector-preservation,observational-memory-glm52-off,glm52-off,0.014705882352941235,0,0,1637567.6666666667,95257.66666666667,1.0,0.0,0.0,0.2,1.0,0.5,6.333333333333333,22.666666666666668,507.6666666666667,1615.0
oxvg-structural-selector-preservation,observational-memory-gpt54mini-off,gpt54mini-off,0.019607843137254943,0,0,1419751.3333333333,103916.33333333333,0.8333333333333334,0.0,0.16666666666666666,0.0,0.8888888888888888,0.38461538461538464,4.333333333333333,13.333333333333334,200.66666666666666,634.6666666666666
oxvg-structural-selector-preservation,observational-memory-gpt55-off,gpt55-off,0.019607843137254943,0,0,1601562,126947.33333333333,0.2,0.8,0.0,0.0,1.0,0.16666666666666666,5.666666666666667,15.333333333333334,277.0,965.6666666666666
oxvg-structural-selector-preservation,observational-memory-gpt54-off,gpt54-off,0.009803921568627416,0,0,1509717.6666666667,117564.66666666667,0.13793103448275862,0.8620689655172413,0.0,0.0,1.0,0.11764705882352941,2.6666666666666665,14.0,145.0,885.6666666666666
csstree-shorthand-expansion-compression,observational-memory-gpt54mini-low,gpt54mini-low,7.939343416307754e-05,0,0,441236.3333333333,38369.666666666664,1.0,0.0,0.0,0.0,1.0,0.25,0.6666666666666666,6.666666666666667,44.666666666666664,298.6666666666667
csstree-shorthand-expansion-compression,observational-memory-glm52-off,glm52-off,9.924179270381916e-05,0,0,474429.3333333333,29544.666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.333333333333334,0.0,548.0
csstree-shorthand-expansion-compression,observational-memory-gpt54mini-off,gpt54mini-off,7.939343416307754e-05,0,0,482421.3333333333,50458.666666666664,1.0,0.0,0.0,0.5,1.0,0.2,1.6666666666666667,9.0,67.66666666666667,378.0
csstree-shorthand-expansion-compression,observational-memory-gpt55-off,gpt55-off,1.984835854074163e-05,0,0,374068.3333333333,28507.333333333332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.333333333333333,0.0,379.0
csstree-shorthand-expansion-compression,observational-memory-gpt54-off,gpt54-off,0.00013893850978530242,0,0,346713.6666666667,27412.666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.666666666666667,0.0,392.6666666666667
effect-sse-httpapi-streaming,observational-memory-gpt54mini-low,gpt54mini-low,-0.14245014245014243,0,0,2700402,184556.33333333334,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.9285714285714286,0.42105263157894735,4.333333333333333,28.666666666666668,201.0,1059.6666666666667
effect-sse-httpapi-streaming,observational-memory-glm52-off,glm52-off,-0.09686609686609682,0.3333333333333333,0,2670791.6666666665,212464.66666666666,0.5384615384615384,0.46153846153846156,0.0,0.0,0.8461538461538461,0.3684210526315789,8.666666666666666,41.0,651.3333333333334,2634.0
effect-sse-httpapi-streaming,observational-memory-gpt54mini-off,gpt54mini-off,-0.11396011396011396,0,0,2726726.3333333335,181385.33333333334,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,1.0,0.42105263157894735,7.666666666666667,31.0,310.3333333333333,1156.6666666666667
effect-sse-httpapi-streaming,observational-memory-gpt55-off,gpt55-off,-0.24786324786324787,0,0,2321969.3333333335,168670.66666666666,0.35,0.65,0.0,0.0,1.0,0.25925925925925924,6.0,26.666666666666668,290.3333333333333,1312.0
effect-sse-httpapi-streaming,observational-memory-gpt54-off,gpt54-off,-0.11680911680911676,0.3333333333333333,0,2623904.3333333335,196377.66666666666,0.42105263157894735,0.5789473684210527,0.0,0.0,1.0,0.2962962962962963,10.333333333333334,32.666666666666664,454.3333333333333,1797.6666666666667
termenv-preserve-ansi-resets,observational-memory-gpt54mini-low,gpt54mini-low,0.02732240437158462,0,0,339383.6666666667,21882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.333333333333333,0.0,175.66666666666666
termenv-preserve-ansi-resets,observational-memory-glm52-off,glm52-off,0.030054644808743092,0,0,328552.6666666667,24064.666666666668,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.6666666666666665,0.0,228.33333333333334
termenv-preserve-ansi-resets,observational-memory-gpt54mini-off,gpt54mini-off,0.032786885245901565,0,0,353633,11180.666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3333333333333335,0.0,119.0
termenv-preserve-ansi-resets,observational-memory-gpt55-off,gpt55-off,0.0491803278688524,0,0,337477.6666666667,22411.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termenv-preserve-ansi-resets,observational-memory-gpt54-off,gpt54-off,0.030054644808743092,0,0,264314.3333333333,21772.666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.333333333333333,0.0,251.0
kgateway-consistent-hash-policy,observational-memory-gpt54mini-low,gpt54mini-low,0.0,0,0,1145511.3333333333,81861.33333333333,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8571428571428571,0.4166666666666667,3.0,8.333333333333334,158.66666666666666,396.0
kgateway-consistent-hash-policy,observational-memory-glm52-off,glm52-off,0.0,0,0,1183569,77440,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,8.333333333333334,18.0,762.3333333333334,1418.6666666666667
kgateway-consistent-hash-policy,observational-memory-gpt54mini-off,gpt54mini-off,0.0,0,0,1024370,65760,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,2.6666666666666665,9.666666666666666,124.0,508.0
kgateway-consistent-hash-policy,observational-memory-gpt55-off,gpt55-off,0.0030864197530864335,0.3333333333333333,0,997647.3333333334,70557,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,3.0,9.0,171.0,582.0
kgateway-consistent-hash-policy,observational-memory-gpt54-off,gpt54-off,0.0,0,0,1156374.3333333333,123668.33333333333,1.0,0.0,0.0,0.0,1.0,0.4166666666666667,4.0,19.0,177.0,1240.3333333333333
fastapi-implicit-head-options,observational-memory-gpt54mini-low,gpt54mini-low,-0.00010492078480750511,0,0,1789240.6666666667,116599,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.5,5.666666666666667,17.333333333333332,299.6666666666667,767.3333333333334
fastapi-implicit-head-options,observational-memory-glm52-off,glm52-off,-0.0007344454936523137,0,0,1474988.6666666667,96685.33333333333,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.875,0.36363636363636365,9.0,31.666666666666668,642.6666666666666,1799.0
fastapi-implicit-head-options,observational-memory-gpt54mini-off,gpt54mini-off,-0.028433532682824558,0,0,1538578.3333333333,129294,1.0,0.0,0.0,0.0,1.0,0.47058823529411764,11.333333333333334,24.333333333333332,587.6666666666666,1185.3333333333333
fastapi-implicit-head-options,observational-memory-gpt55-off,gpt55-off,0.0005246039240373035,0,0,1708627.3333333333,150324.33333333334,0.13793103448275862,0.8620689655172413,0.0,0.0,0.8,0.11428571428571428,7.0,22.666666666666668,391.0,1244.6666666666667
fastapi-implicit-head-options,observational-memory-gpt54-off,gpt54-off,-0.026649879341097527,0,0,1435242.3333333333,102946,0.4,0.6,0.0,0.0,1.0,0.2857142857142857,6.0,21.666666666666668,303.3333333333333,1280.0
kombu-single-active-consumer-priority,observational-memory-gpt54mini-low,gpt54mini-low,-0.0004426737494466204,-0.3333333333333333,0,772871,57975,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,3.3333333333333335,14.0,193.66666666666666,662.0
kombu-single-active-consumer-priority,observational-memory-glm52-off,glm52-off,-0.0002213368747232547,0.0,0,916147.6666666666,87834.66666666667,1.0,0.0,0.0,0.25,1.0,0.3333333333333333,7.666666666666667,33.666666666666664,673.0,2114.6666666666665
kombu-single-active-consumer-priority,observational-memory-gpt54mini-off,gpt54mini-off,-0.0006640106241699861,0.0,0,911950.6666666666,57047.666666666664,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,3.0,10.666666666666666,123.0,500.6666666666667
kombu-single-active-consumer-priority,observational-memory-gpt55-off,gpt55-off,0.0006640106241699861,0.3333333333333333,0,821760,59174.666666666664,1.0,0.0,0.0,0.0,1.0,0.4444444444444444,5.666666666666667,13.666666666666666,352.0,834.0
kombu-single-active-consumer-priority,observational-memory-gpt54-off,gpt54-off,0.00022133687472336572,0.0,0,815658.6666666666,69877,1.0,0.0,0.0,0.0,0.8571428571428571,0.375,3.3333333333333335,14.666666666666666,189.33333333333334,1034.3333333333333
clack-async-autocomplete-options,observational-memory-gpt54mini-low,gpt54mini-low,-1.1102230246251565e-16,0,0,1096854.6666666667,139603,1.0,0.0,0.0,0.0,1.0,0.375,2.3333333333333335,14.0,128.0,639.3333333333334
clack-async-autocomplete-options,observational-memory-glm52-off,glm52-off,0.0022988505747125743,0.3333333333333333,0,714203.3333333334,91591.66666666667,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,4.0,24.0,339.6666666666667,1387.3333333333333
clack-async-autocomplete-options,observational-memory-gpt54mini-off,gpt54mini-off,-0.00045977011494258146,0.3333333333333333,0,540588.6666666666,43723,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.666666666666666,0.0,624.6666666666666
clack-async-autocomplete-options,observational-memory-gpt55-off,gpt55-off,-0.005057471264367841,0.3333333333333333,0,606697,47085.333333333336,1.0,0.0,0.0,0.0,1.0,0.2,1.6666666666666667,12.333333333333334,126.0,781.3333333333334
clack-async-autocomplete-options,observational-memory-gpt54-off,gpt54-off,0.0013793103448275223,0,0,517666,61581.666666666664,1.0,0.0,0.0,0.0,0.8,0.4,1.6666666666666667,10.333333333333334,71.0,606.3333333333334
onedump-dump-encryption-pipeline,observational-memory-gpt54mini-low,gpt54mini-low,-0.05681818181818188,0,0,369715.6666666667,33681.333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,391.0
onedump-dump-encryption-pipeline,observational-memory-glm52-off,glm52-off,-0.09848484848484851,0,0,456477.3333333333,41051,1.0,0.0,0.0,0.0,1.0,0.25,3.0,14.333333333333334,195.66666666666666,975.0
onedump-dump-encryption-pipeline,observational-memory-gpt54mini-off,gpt54mini-off,-0.04166666666666663,0,0,363660.3333333333,34309.666666666664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.666666666666666,0.0,451.0
onedump-dump-encryption-pipeline,observational-memory-gpt55-off,gpt55-off,-0.04166666666666663,0,0,460521,33720,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.666666666666666,0.0,502.3333333333333
onedump-dump-encryption-pipeline,observational-memory-gpt54-off,gpt54-off,-0.011363636363636354,0.3333333333333333,0,561846.3333333334,52738.333333333336,1.0,0.0,0.0,0.0,1.0,0.25,1.0,12.333333333333334,58.666666666666664,729.3333333333334
langchain-request-coalescing,observational-memory-gpt54mini-low,gpt54mini-low,-0.0011820330969266601,-0.3333333333333333,0,974093.3333333334,71371.33333333333,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,3.0,17.333333333333332,194.33333333333334,818.6666666666666
langchain-request-coalescing,observational-memory-glm52-off,glm52-off,-0.0035460992907800915,-0.3333333333333333,0,950329,83344.66666666667,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,6.666666666666667,23.666666666666668,484.0,1366.6666666666667
langchain-request-coalescing,observational-memory-gpt54mini-off,gpt54mini-off,-0.0023640661938534313,-0.3333333333333333,0,979946.3333333334,72793,1.0,0.0,0.0,0.0,1.0,0.4444444444444444,6.333333333333333,15.333333333333334,328.0,720.0
langchain-request-coalescing,observational-memory-gpt55-off,gpt55-off,-0.0035460992907800915,-0.3333333333333333,0,1026469,76742,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,7.333333333333333,21.0,426.0,1174.3333333333333
langchain-request-coalescing,observational-memory-gpt54-off,gpt54-off,-0.010638297872340385,-0.3333333333333333,0,948470.6666666666,66765,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,5.0,17.0,301.3333333333333,1034.3333333333333
fd-deterministic-multi-key-sorting,observational-memory-gpt54mini-low,gpt54mini-low,-0.006578947368421018,0,0,575929,39161.666666666664,1.0,0.0,0.0,0.0,1.0,0.2,0.6666666666666666,5.333333333333333,31.333333333333332,230.0
fd-deterministic-multi-key-sorting,observational-memory-glm52-off,glm52-off,0.0,0,0,735267.6666666666,75355.66666666667,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,4.333333333333333,21.666666666666668,386.0,1360.3333333333333
fd-deterministic-multi-key-sorting,observational-memory-gpt54mini-off,gpt54mini-off,-0.006578947368421018,0,0,815890.6666666666,66877.66666666667,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,4.333333333333333,11.333333333333334,181.33333333333334,482.3333333333333
fd-deterministic-multi-key-sorting,observational-memory-gpt55-off,gpt55-off,-0.019736842105263164,0,0,586880.3333333334,63818.333333333336,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0,15.0,160.0,749.6666666666666
fd-deterministic-multi-key-sorting,observational-memory-gpt54-off,gpt54-off,-0.013157894736842146,0,0,881444,68800.66666666667,1.0,0.0,0.0,0.0,1.0,0.375,2.0,11.0,107.0,592.0
kea-atomic-signal-selectors,observational-memory-gpt54mini-low,gpt54mini-low,0.002207505518763808,0,0,1139527.6666666667,100110.33333333333,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,2.6666666666666665,17.333333333333332,146.0,711.3333333333334
kea-atomic-signal-selectors,observational-memory-glm52-off,glm52-off,0.02428256070640178,0.3333333333333333,0,979505.6666666666,96585.33333333333,1.0,0.0,0.0,0.3333333333333333,1.0,0.4,5.333333333333333,25.333333333333332,518.3333333333334,1636.0
kea-atomic-signal-selectors,observational-memory-gpt54mini-off,gpt54mini-off,-0.0066225165562913135,0,0,1419326.3333333333,148258,1.0,0.0,0.0,0.0,1.0,0.4444444444444444,5.333333333333333,18.333333333333332,273.0,819.3333333333334
kea-atomic-signal-selectors,observational-memory-gpt55-off,gpt55-off,-0.002207505518763808,0,0,1395073.6666666667,140122,0.36363636363636365,0.6363636363636364,0.0,0.0,0.75,0.3076923076923077,7.666666666666667,17.333333333333332,413.3333333333333,903.6666666666666
kea-atomic-signal-selectors,observational-memory-gpt54-off,gpt54-off,-0.017660044150110354,0,0,882861.3333333334,129088.66666666667,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,2.3333333333333335,15.666666666666666,138.33333333333334,890.3333333333334
prometheus-typed-label-sorting,observational-memory-gpt54mini-low,gpt54mini-low,0.022222222222222143,0.6666666666666666,0,360202.6666666667,21284.333333333332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3333333333333335,0.0,120.0
prometheus-typed-label-sorting,observational-memory-glm52-off,glm52-off,0.007407407407407307,0.3333333333333333,0,328152,35402,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,4.333333333333333,0.0,283.3333333333333
prometheus-typed-label-sorting,observational-memory-gpt54mini-off,gpt54mini-off,-0.007407407407407418,0,0,547688,30504.333333333332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.666666666666666,0.0,395.3333333333333
prometheus-typed-label-sorting,observational-memory-gpt55-off,gpt55-off,-0.13333333333333341,0,0,250134,10178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,174.33333333333334
prometheus-typed-label-sorting,observational-memory-gpt54-off,gpt54-off,-0.09629629629629632,0.3333333333333333,0,384395.6666666667,34701.333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.333333333333333,0.0,446.0
python-statemachine-state-data-scoping,observational-memory-gpt54mini-low,gpt54mini-low,0.013009327442317198,0.6666666666666666,0,2362759.6666666665,130490,0.7,0.3,0.0,0.1,1.0,0.3333333333333333,5.666666666666667,23.666666666666668,288.6666666666667,978.0
python-statemachine-state-data-scoping,observational-memory-glm52-off,glm52-off,0.0002454590083456054,0,0,2150772,126483.66666666667,0.8571428571428571,0.14285714285714285,0.0,0.0,0.9,0.4,6.666666666666667,29.333333333333332,648.3333333333334,2332.0
python-statemachine-state-data-scoping,observational-memory-gpt54mini-off,gpt54mini-off,-0.0068728522336769515,0,0,1841087,99863,1.0,0.0,0.0,0.0,1.0,0.46153846153846156,7.666666666666667,19.666666666666668,417.6666666666667,860.6666666666666
python-statemachine-state-data-scoping,observational-memory-gpt55-off,gpt55-off,0.013009327442317198,0,0,2388346.6666666665,142102.66666666666,0.875,0.125,0.0,0.0,1.0,0.4375,8.666666666666666,28.333333333333332,450.6666666666667,1431.3333333333333
python-statemachine-state-data-scoping,observational-memory-gpt54-off,gpt54-off,-0.0004909180166912108,0,0,2017868.6666666667,100406.33333333333,0.8571428571428571,0.14285714285714285,0.0,0.0,1.0,0.4,3.3333333333333335,18.333333333333332,179.0,1057.0
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-low,gpt54mini-low,-0.18055555555555558,0.6666666666666666,1,1365660,86311.33333333333,1.0,0.0,0.0,0.0,1.0,0.375,2.3333333333333335,16.0,102.0,666.0
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-off,glm52-off,-0.19444444444444442,0.3333333333333333,1,1655141,151254,1.0,0.0,0.0,0.0,1.0,0.36363636363636365,8.333333333333334,41.666666666666664,1110.6666666666667,2594.0
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54mini-off,gpt54mini-off,-0.19444444444444442,0.3333333333333333,1,1473394.6666666667,91157.66666666667,1.0,0.0,0.0,0.0,1.0,0.46153846153846156,6.0,19.666666666666668,268.0,837.0
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-off,gpt55-off,-0.02777777777777779,0,0,1889338,134555.33333333334,0.625,0.375,0.0,0.0,1.0,0.35714285714285715,5.0,24.666666666666668,327.6666666666667,1306.3333333333333
boa-hierarchical-evaluation-cancellation,observational-memory-gpt54-off,gpt54-off,-0.4444444444444444,0,2,1269876.6666666667,70965,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,1.6666666666666667,14.333333333333334,92.66666666666667,871.3333333333334
awilix-async-container-initialization,observational-memory-gpt54mini-low,gpt54mini-low,0.0035842293906810374,0.6666666666666667,0,493618.6666666667,29086.666666666668,1.0,0.0,0.0,0.0,1.0,0.25,0.6666666666666666,7.333333333333333,66.33333333333333,347.0
awilix-async-container-initialization,observational-memory-glm52-off,glm52-off,0.0,0.3333333333333333,0,741188,69623.66666666667,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,4.333333333333333,14.666666666666666,363.6666666666667,1030.3333333333333
awilix-async-container-initialization,observational-memory-gpt54mini-off,gpt54mini-off,-0.0017921146953404632,0.3333333333333333,0,798519,69429.33333333333,0.75,0.25,0.0,0.0,1.0,0.375,4.666666666666667,20.333333333333332,265.0,883.6666666666666
awilix-async-container-initialization,observational-memory-gpt55-off,gpt55-off,0.0,0.0,0,728168,74597,1.0,0.0,0.0,0.0,0.6666666666666666,0.4,4.333333333333333,15.0,272.0,919.6666666666666
