task,rep,title,difficulty,language,pass_rate,baseline_reward_binary,baseline_reward_partial,baseline_f2p,baseline_p2p,baseline_f2p_passed,baseline_f2p_total,baseline_p2p_passed,baseline_p2p_total,baseline_combined_total_tokens,baseline_combined_cost_usd,baseline_agent_wall_s,baseline_turns,baseline_tool_calls,baseline_patch_bytes,baseline_agent_timed_out,baseline_agent_exit,baseline_verifier_exit,pi-fabric_reward_binary,pi-fabric_reward_partial,pi-fabric_f2p,pi-fabric_p2p,pi-fabric_f2p_passed,pi-fabric_f2p_total,pi-fabric_p2p_passed,pi-fabric_p2p_total,pi-fabric_combined_total_tokens,pi-fabric_combined_cost_usd,pi-fabric_agent_wall_s,pi-fabric_turns,pi-fabric_tool_calls,pi-fabric_patch_bytes,pi-fabric_agent_timed_out,pi-fabric_agent_exit,pi-fabric_verifier_exit,pi-fabric-pr10@0.28.11_reward_binary,pi-fabric-pr10@0.28.11_reward_partial,pi-fabric-pr10@0.28.11_f2p,pi-fabric-pr10@0.28.11_p2p,pi-fabric-pr10@0.28.11_f2p_passed,pi-fabric-pr10@0.28.11_f2p_total,pi-fabric-pr10@0.28.11_p2p_passed,pi-fabric-pr10@0.28.11_p2p_total,pi-fabric-pr10@0.28.11_combined_total_tokens,pi-fabric-pr10@0.28.11_combined_cost_usd,pi-fabric-pr10@0.28.11_agent_wall_s,pi-fabric-pr10@0.28.11_turns,pi-fabric-pr10@0.28.11_tool_calls,pi-fabric-pr10@0.28.11_patch_bytes,pi-fabric-pr10@0.28.11_agent_timed_out,pi-fabric-pr10@0.28.11_agent_exit,pi-fabric-pr10@0.28.11_verifier_exit,baseline_session_affected,pi-fabric_session_affected,pi-fabric-pr10@0.28.11_session_affected
pest-character-class-coalescing,1,Coalesce qualifying choices into character classes,hard,rust,21,0,0.9971751412429378,0.9903846153846154,1.0,103,104,250,250,1194654,1.358246,376.8,41,44,14928,False,0,0,0,0.9915254237288136,0.9711538461538461,1.0,101,104,250,250,882838,0.98904,360.2,27,26,16183,False,0,0,1,1.0,1.0,1.0,104,104,250,250,550773,0.725034,258.3,22,21,16150,False,0,0,False,False,False
pest-character-class-coalescing,2,Coalesce qualifying choices into character classes,hard,rust,21,1,1.0,1.0,1.0,104,104,250,250,1349511,1.496243,458.5,37,44,15259,False,0,0,0,0.9915254237288136,0.9711538461538461,1.0,101,104,250,250,987928,1.181402,298.3,22,21,15632,False,0,0,0,0.9350282485875706,0.7884615384615384,0.996,82,104,249,250,432860,0.754879,241.0,21,20,15459,False,0,0,False,False,False
katex-multicolumn-array-spans,0,Add `\multicolumn` column spans to array-like environments,hard,javascript,24,0,0.9884559884559885,0.9148936170212766,1.0,86,94,599,599,873872,0.895937,221.1,31,34,17355,False,0,0,0,0.9927849927849928,0.9468085106382979,1.0,89,94,599,599,1490504,1.578306,427.3,37,36,16763,False,0,0,1,1.0,1.0,1.0,94,94,599,599,717127,1.020392,348.3,33,32,15804,False,0,0,False,False,False
katex-multicolumn-array-spans,1,Add `\multicolumn` column spans to array-like environments,hard,javascript,24,0,0.9971139971139971,0.9787234042553191,1.0,92,94,599,599,419539,0.550759,174.7,22,27,12603,False,0,0,0,0.9971139971139971,0.9787234042553191,1.0,92,94,599,599,1023138,1.177951,393.9,36,35,15367,False,0,0,0,0.9971139971139971,0.9787234042553191,1.0,92,94,599,599,518481,0.740567,254.2,20,19,17274,False,0,0,False,False,False
katex-multicolumn-array-spans,2,Add `\multicolumn` column spans to array-like environments,hard,javascript,24,0,0.9783549783549783,0.8404255319148937,1.0,79,94,599,599,1008302,1.290298,311.7,42,47,15886,False,0,0,0,0.9956709956709957,0.9680851063829787,1.0,91,94,599,599,956027,1.121695,358.8,31,30,13102,False,0,0,0,0.9956709956709957,0.9787234042553191,0.998330550918197,92,94,598,599,508266,0.828647,196.4,21,20,15508,False,0,0,False,False,False
vulture-persistent-analysis-cache,0,Add a persistent analysis cache to Vulture,hard,python,24,0,0.9968652037617555,0.9583333333333334,1.0,23,24,295,295,224260,0.479357,143.5,19,21,14853,False,0,0,0,0.987460815047022,1.0,0.9864406779661017,24,24,291,295,468120,0.74446,298.2,21,20,15432,False,0,0,1,1.0,1.0,1.0,24,24,295,295,587196,0.820714,278.7,25,24,21564,False,0,0,False,False,False
vulture-persistent-analysis-cache,1,Add a persistent analysis cache to Vulture,hard,python,24,1,1.0,1.0,1.0,24,24,295,295,323542,0.653808,164.4,20,26,15579,False,0,0,1,1.0,1.0,1.0,24,24,295,295,420579,0.7688,275.4,21,20,18655,False,0,0,1,1.0,1.0,1.0,24,24,295,295,539517,0.880069,275.0,26,25,18440,False,0,0,False,False,False
vulture-persistent-analysis-cache,2,Add a persistent analysis cache to Vulture,hard,python,24,0,0.987460815047022,1.0,0.9864406779661017,24,24,291,295,258608,0.427233,153.6,20,22,14277,False,0,0,1,1.0,1.0,1.0,24,24,295,295,455940,0.756023,299.1,21,20,17833,False,0,0,1,1.0,1.0,1.0,24,24,295,295,530848,0.830534,270.5,23,22,19404,False,0,0,False,False,False
obsidian-linter-link-format-conversion,0,Add link format conversion between wiki and markdown syntax,hard,typescript,27,0,0.9991603694374476,0.9833333333333333,1.0,59,60,1131,1131,501438,0.709271,151.9,22,37,10082,False,0,0,0,0.9991603694374476,0.9833333333333333,1.0,59,60,1131,1131,656432,0.78564,253.2,24,23,10487,False,0,0,0,0.998320738874895,0.9666666666666667,1.0,58,60,1131,1131,407794,0.698833,181.5,20,19,9762,False,0,0,False,False,False
obsidian-linter-link-format-conversion,1,Add link format conversion between wiki and markdown syntax,hard,typescript,27,0,0.998320738874895,0.9666666666666667,1.0,58,60,1131,1131,720260,0.779773,203.0,22,33,11011,False,0,0,0,0.9991603694374476,0.9833333333333333,1.0,59,60,1131,1131,549011,0.677429,212.5,22,21,9663,False,0,0,0,0.9991603694374476,0.9833333333333333,1.0,59,60,1131,1131,747317,1.030142,247.0,30,29,11720,False,0,0,False,False,False
obsidian-linter-link-format-conversion,2,Add link format conversion between wiki and markdown syntax,hard,typescript,27,0,0.998320738874895,0.9666666666666667,1.0,58,60,1131,1131,612092,0.683684,219.6,24,31,9960,False,0,0,0,0.998320738874895,0.9666666666666667,1.0,58,60,1131,1131,816380,0.927958,232.9,24,23,12063,False,0,0,0,0.998320738874895,0.9666666666666667,1.0,58,60,1131,1131,463847,0.891839,223.8,22,21,11367,False,0,0,False,False,False
happy-dom-deterministic-intersectionobserver,0,Implement a deterministic IntersectionObserver in Happy DOM,hard,typescript,28,1,1.0,1.0,1.0,14,14,9,9,77226,0.230119,105.2,12,17,10159,False,0,0,1,1.0,1.0,1.0,14,14,9,9,389618,0.579625,195.8,16,15,12016,False,0,0,0,0.9565217391304348,0.9285714285714286,1.0,13,14,9,9,149743,0.426553,160.0,15,14,10725,False,0,0,False,False,False
happy-dom-deterministic-intersectionobserver,1,Implement a deterministic IntersectionObserver in Happy DOM,hard,typescript,28,1,1.0,1.0,1.0,14,14,9,9,172655,0.400451,142.5,17,25,9858,False,0,0,0,0.8695652173913043,0.7857142857142857,1.0,11,14,9,9,177357,0.481862,174.2,17,16,10639,False,0,0,0,0.8695652173913043,0.7857142857142857,1.0,11,14,9,9,167210,0.548728,209.5,15,14,13851,False,0,0,False,False,False
happy-dom-deterministic-intersectionobserver,2,Implement a deterministic IntersectionObserver in Happy DOM,hard,typescript,28,1,1.0,1.0,1.0,14,14,9,9,176519,0.363104,144.5,16,24,9501,False,0,0,1,1.0,1.0,1.0,14,14,9,9,206516,0.409925,133.7,11,10,10235,False,0,0,1,1.0,1.0,1.0,14,14,9,9,296234,0.720485,257.4,19,18,14459,False,0,0,False,False,False
koota-query-predicates,0,Add value-based query predicates to Koota,hard,typescript,28,0,0.9813953488372092,0.9069767441860465,1.0,39,43,172,172,1338907,1.306434,283.1,45,55,22265,False,0,0,0,0.9906976744186047,0.9534883720930233,1.0,41,43,172,172,1551875,1.569748,367.4,36,35,32980,False,0,0,-1,0.0,,,,,,,432841,0.684518,591.6,22,19,0,False,0,skipped_empty_patch,False,False,True
koota-query-predicates,1,Add value-based query predicates to Koota,hard,typescript,28,-1,0.0,,,,,,,123057,0.240698,57.4,9,21,0,False,0,skipped_empty_patch,0,0.9534883720930233,0.7674418604651163,1.0,33,43,172,172,1321836,1.393562,332.4,33,32,32561,False,0,0,0,0.9627906976744186,0.813953488372093,1.0,35,43,172,172,793788,1.019627,322.7,26,25,29172,False,0,0,False,False,False
koota-query-predicates,2,Add value-based query predicates to Koota,hard,typescript,28,0,0.9813953488372092,0.9069767441860465,1.0,39,43,172,172,1460283,1.385543,323.4,43,57,32017,False,0,0,0,0.958139534883721,0.7906976744186046,1.0,34,43,172,172,1038550,1.159666,312.8,33,32,29799,False,0,0,0,0.9720930232558139,0.8604651162790697,1.0,37,43,172,172,447765,0.805473,421.5,24,21,29136,False,0,0,False,False,True
participle-grammar-conflict-analysis,0,Add build-time grammar conflict analysis to participle,hard,go,29,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,206664,0.382664,159.0,14,17,12444,False,0,0,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,273293,0.52753,185.5,13,12,13371,False,0,0,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,270043,0.598852,164.1,14,13,14695,False,0,0,False,False,False
participle-grammar-conflict-analysis,1,Add build-time grammar conflict analysis to participle,hard,go,29,0,0.6844262295081968,0.15384615384615385,1.0,14,91,153,153,177634,0.399664,186.9,14,17,13124,False,0,0,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,324064,0.549589,189.7,14,13,13854,False,0,0,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,236068,0.500754,165.1,14,13,13959,False,0,0,True,False,False
participle-grammar-conflict-analysis,2,Add build-time grammar conflict analysis to participle,hard,go,29,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,209217,0.426038,138.8,15,20,12022,False,0,0,0,0.9959016393442623,0.989010989010989,1.0,90,91,153,153,294916,0.469999,136.3,13,12,11605,False,0,0,0,0.6844262295081968,0.15384615384615385,1.0,14,91,153,153,204422,0.403861,151.7,11,10,13762,False,0,0,False,False,False
dateutil-rfc5545-timezone-interop,0,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,hard,python,31,0,0.9995242626070409,0.9850746268656716,1.0,66,67,2035,2035,326648,0.579118,175.4,24,26,13794,False,0,0,0,0.9990485252140818,0.9701492537313433,1.0,65,67,2035,2035,1339981,1.52538,401.7,41,40,11519,False,0,0,0,0.9990485252140818,0.9701492537313433,1.0,65,67,2035,2035,234604,0.466828,157.5,18,17,14232,False,0,0,True,False,False
dateutil-rfc5545-timezone-interop,1,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,hard,python,31,0,0.9995242626070409,0.9850746268656716,1.0,66,67,2035,2035,324642,0.486919,161.2,18,19,13714,False,0,0,0,0.9990485252140818,0.9701492537313433,1.0,65,67,2035,2035,571510,0.749091,239.6,23,22,14339,False,0,0,1,1.0,1.0,1.0,67,67,2035,2035,342177,0.664678,186.6,18,17,13562,False,0,0,False,False,False
dateutil-rfc5545-timezone-interop,2,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,hard,python,31,0,0.9990485252140818,0.9701492537313433,1.0,65,67,2035,2035,234532,0.502338,195.4,15,16,12780,False,0,0,0,0.9995242626070409,0.9850746268656716,1.0,66,67,2035,2035,750920,0.996613,313.0,27,26,13826,False,0,0,0,0.9995242626070409,0.9850746268656716,1.0,66,67,2035,2035,328064,0.553499,191.9,22,21,14980,False,0,0,False,False,False
mashumaro-flattened-dataclass-fields,0,Add flattened dataclass fields to Mashumaro field options,hard,python,32,0,0.9999002659574469,0.9545454545454546,1.0,63,66,30014,30014,296942,0.50534,152.0,26,27,11320,False,0,0,0,0.9999002659574469,0.9545454545454546,1.0,63,66,30014,30014,947916,1.160068,318.0,24,23,19613,False,0,0,1,1.0,1.0,1.0,66,66,30014,30014,501487,0.861589,529.9,21,19,14154,False,0,0,False,False,True
mashumaro-flattened-dataclass-fields,1,Add flattened dataclass fields to Mashumaro field options,hard,python,32,0,0.9999667553191489,1.0,0.9999666822149663,66,66,30013,30014,438394,0.719014,196.3,22,25,15991,False,0,0,0,0.9999002659574469,0.9545454545454546,1.0,63,66,30014,30014,1464990,1.560224,407.2,43,42,19911,False,0,0,0,0.9999002659574469,0.9545454545454546,1.0,63,66,30014,30014,1103723,1.385603,955.9,38,36,18778,False,0,0,False,False,True
mashumaro-flattened-dataclass-fields,2,Add flattened dataclass fields to Mashumaro field options,hard,python,32,0,0.9999002659574469,0.9545454545454546,1.0,63,66,30014,30014,692754,0.794031,223.3,33,39,14026,False,0,0,0,0.9999667553191489,1.0,0.9999666822149663,66,66,30013,30014,861476,1.03066,263.5,25,24,12812,False,0,0,1,1.0,1.0,1.0,66,66,30014,30014,366416,0.645565,374.5,19,15,12869,False,0,0,False,False,True
langchain-request-coalescing,0,Add request coalescing to `Runnable`,medium,python,36,0,0.9893617021276596,0.94,1.0,47,50,232,232,523958,0.879211,233.4,31,35,17941,False,0,0,0,0.9964539007092199,0.98,1.0,49,50,232,232,1224511,1.329718,400.3,37,36,23841,False,0,0,0,0.9964539007092199,0.98,1.0,49,50,232,232,727157,1.162954,794.9,22,20,21858,False,0,0,False,False,True
langchain-request-coalescing,1,Add request coalescing to `Runnable`,medium,python,36,0,0.9893617021276596,0.94,1.0,47,50,232,232,753763,1.027548,411.8,34,45,16437,False,0,0,0,0.9929078014184397,0.96,1.0,48,50,232,232,823033,1.045019,408.9,33,32,19644,False,0,0,1,1.0,1.0,1.0,50,50,232,232,1178920,1.556008,1263.4,34,30,26432,False,0,0,False,False,True
langchain-request-coalescing,2,Add request coalescing to `Runnable`,medium,python,36,0,0.9893617021276596,0.94,1.0,47,50,232,232,446845,0.712006,196.8,27,30,15472,False,0,0,0,0.9858156028368794,0.92,1.0,46,50,232,232,1173035,1.393822,444.0,29,28,21309,False,0,0,0,0.9893617021276596,0.94,1.0,47,50,232,232,293453,0.590263,330.3,18,15,18276,False,0,0,False,False,True
textual-kitty-key-phases,0,Complete Kitty keyboard phases and stable fallback key metadata,medium,python,37,0,0.9375,0.782608695652174,1.0,18,23,57,57,398451,0.56869,190.3,22,28,9887,False,0,0,0,0.9875,0.9565217391304348,1.0,22,23,57,57,734765,0.864197,479.3,30,29,11941,False,0,0,0,0.925,0.7391304347826086,1.0,17,23,57,57,485745,0.887969,760.0,30,27,13246,False,0,0,False,False,True
textual-kitty-key-phases,1,Complete Kitty keyboard phases and stable fallback key metadata,medium,python,37,0,0.975,0.9130434782608695,1.0,21,23,57,57,649785,0.732605,179.3,21,28,11188,False,0,0,0,0.9875,0.9565217391304348,1.0,22,23,57,57,638555,0.92901,394.6,24,23,12804,False,0,0,0,0.975,0.9130434782608695,1.0,21,23,57,57,547493,0.909636,832.7,29,25,13987,False,0,0,False,False,True
textual-kitty-key-phases,2,Complete Kitty keyboard phases and stable fallback key metadata,medium,python,37,0,0.9625,0.8695652173913043,1.0,20,23,57,57,389210,0.629126,154.3,20,32,10971,False,0,0,0,0.975,0.9130434782608695,1.0,21,23,57,57,1064270,1.223234,555.0,29,28,10970,False,0,0,0,0.975,0.9130434782608695,1.0,21,23,57,57,239086,0.582418,698.3,21,17,10304,False,0,0,False,False,True
eicrud-keyset-pagination-cursor,0,Add keyset cursor pagination to `$find`,medium,typescript,38,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,335334,0.596297,122.1,19,28,6274,False,0,0,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,590236,0.75767,203.7,20,19,7873,False,0,0,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,218809,0.488732,364.0,20,17,9695,False,0,0,False,False,True
eicrud-keyset-pagination-cursor,1,Add keyset cursor pagination to `$find`,medium,typescript,38,0,0.9395604395604396,0.5714285714285714,0.9702380952380952,8,14,163,168,383211,0.597442,175.6,26,31,6921,False,0,0,0,0.945054945054945,0.5714285714285714,0.9761904761904762,8,14,164,168,543335,0.68017,192.5,19,18,7714,False,0,0,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,340503,0.646727,188.9,21,20,7581,False,0,0,False,False,False
eicrud-keyset-pagination-cursor,2,Add keyset cursor pagination to `$find`,medium,typescript,38,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,370654,0.603834,162.5,21,31,5977,False,0,0,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,496424,0.69039,188.6,22,21,6963,False,0,0,0,0.967032967032967,0.5714285714285714,1.0,8,14,168,168,183286,0.395253,360.7,19,15,9372,False,0,0,False,False,True
claude-code-by-agents-recursive-delegation,0,Implement recursive agent delegation through delegate_task tool calls,medium,typescript,44,1,1.0,1.0,1.0,7,7,31,31,208807,0.428453,112.7,14,18,7279,False,0,0,1,1.0,1.0,1.0,7,7,31,31,303454,0.505007,163.4,15,14,9518,False,0,0,1,1.0,1.0,1.0,7,7,31,31,339316,0.479116,711.5,21,17,40913,False,0,0,False,False,True
claude-code-by-agents-recursive-delegation,1,Implement recursive agent delegation through delegate_task tool calls,medium,typescript,44,1,1.0,1.0,1.0,7,7,31,31,481359,0.628327,199.6,23,30,10833,False,0,0,1,1.0,1.0,1.0,7,7,31,31,330329,0.556513,175.5,20,19,27845,False,0,0,0,0.8157894736842105,0.0,1.0,0,7,31,31,0,0.0,386.6,4,1,780,False,0,0,False,False,True
claude-code-by-agents-recursive-delegation,2,Implement recursive agent delegation through delegate_task tool calls,medium,typescript,44,1,1.0,1.0,1.0,7,7,31,31,277834,0.499558,134.6,16,21,26615,False,0,0,0,0.868421052631579,0.2857142857142857,1.0,2,7,31,31,603675,0.739389,188.5,20,19,13960,False,0,0,1,1.0,1.0,1.0,7,7,31,31,314751,0.530964,652.9,17,15,12808,False,0,0,False,False,True
fd-deterministic-multi-key-sorting,0,Add deterministic multi-key sorting to fd,medium,rust,44,1,1.0,1.0,1.0,43,43,109,109,369610,0.627293,163.0,20,23,14580,False,0,0,1,1.0,1.0,1.0,43,43,109,109,740148,0.89892,209.9,20,19,14643,False,0,0,0,0.7171052631578947,0.0,1.0,0,43,109,109,0,0.0,173.3,4,1,780,False,0,0,False,False,True
fd-deterministic-multi-key-sorting,1,Add deterministic multi-key sorting to fd,medium,rust,44,0,0.993421052631579,0.9767441860465116,1.0,42,43,109,109,446717,0.561665,154.5,22,26,12647,False,0,0,1,1.0,1.0,1.0,43,43,109,109,935632,1.038603,272.8,26,25,17564,False,0,0,0,0.993421052631579,0.9767441860465116,1.0,42,43,109,109,531008,0.679886,272.0,19,18,13609,False,0,0,False,False,False
fd-deterministic-multi-key-sorting,2,Add deterministic multi-key sorting to fd,medium,rust,44,1,1.0,1.0,1.0,43,43,109,109,433288,0.56874,158.6,20,28,13856,False,0,0,1,1.0,1.0,1.0,43,43,109,109,567796,0.737962,196.5,19,18,15774,False,0,0,1,1.0,1.0,1.0,43,43,109,109,793503,0.900168,276.3,23,22,17166,False,0,0,False,False,False
go-critic-doc-link-checker,0,Add a checker for broken doc comment links,medium,go,51,1,1.0,1.0,1.0,3,3,16,16,806677,1.0331,439.6,40,51,9317,False,0,0,1,1.0,1.0,1.0,3,3,16,16,710817,1.098853,356.6,37,36,10386,False,0,0,0,0.8421052631578947,0.0,1.0,0,3,16,16,2192,0.007523,209.2,6,1,780,False,0,0,False,False,True
go-critic-doc-link-checker,1,Add a checker for broken doc comment links,medium,go,51,1,1.0,1.0,1.0,3,3,16,16,613102,0.855766,352.1,39,45,10163,False,0,0,0,0.8947368421052632,0.6666666666666666,0.9375,2,3,15,16,926122,1.059933,415.5,38,37,10671,False,0,0,1,1.0,1.0,1.0,3,3,16,16,350856,0.715237,281.9,19,18,10350,False,0,0,False,False,False
go-critic-doc-link-checker,2,Add a checker for broken doc comment links,medium,go,51,1,1.0,1.0,1.0,3,3,16,16,316203,0.562162,277.3,25,29,8695,False,0,0,1,1.0,1.0,1.0,3,3,16,16,770440,0.922766,354.2,31,30,10156,False,0,0,1,1.0,1.0,1.0,3,3,16,16,359201,0.667937,257.8,20,19,10996,False,0,0,False,False,False
mobly-grouped-test-barriers,0,Add grouped test phases with synchronized barriers,medium,python,52,1,1.0,1.0,1.0,79,79,808,808,281114,0.536004,134.9,14,16,12593,False,0,0,0,0.9909808342728298,0.8987341772151899,1.0,71,79,808,808,501119,0.772029,181.9,13,12,11752,False,0,0,0,0.9909808342728298,0.8987341772151899,1.0,71,79,808,808,272542,0.457144,160.1,14,13,13171,False,0,0,False,False,False
mobly-grouped-test-barriers,1,Add grouped test phases with synchronized barriers,medium,python,52,1,1.0,1.0,1.0,79,79,808,808,349692,0.672819,166.7,20,22,14793,False,0,0,0,0.9932356257046223,0.9240506329113924,1.0,73,79,808,808,374246,0.6464,198.8,18,17,15633,False,0,0,1,1.0,1.0,1.0,79,79,808,808,537670,0.693562,241.8,21,20,15874,False,0,0,False,False,False
mobly-grouped-test-barriers,2,Add grouped test phases with synchronized barriers,medium,python,52,0,0.9932356257046223,0.9240506329113924,1.0,73,79,808,808,591407,0.706455,184.3,22,25,12845,False,0,0,0,0.9988726042841037,1.0,0.9987623762376238,79,79,807,808,639495,0.984699,242.6,20,19,13454,False,0,0,1,1.0,1.0,1.0,79,79,808,808,510563,0.69143,225.3,21,20,13487,False,0,0,False,False,False
tengo-destructuring-bindings,0,Add destructuring bindings to Tengo,medium,go,52,1,1.0,1.0,1.0,91,91,132,132,1243365,1.196613,300.5,43,53,16015,False,0,0,1,1.0,1.0,1.0,91,91,132,132,1609445,1.524625,288.2,32,31,15897,False,0,0,1,1.0,1.0,1.0,91,91,132,132,1353360,1.558348,429.9,38,37,16989,False,0,0,False,False,False
