task	rep	reward	partial	timeout	agent_wall_s	turns	tool_calls	baseline_reward	baseline_partial	baseline_timeout	baseline_wall_s	baseline_turns	baseline_tool_calls	create_calls	create_turn	turns_before_create	turns_after_create	get_calls	update_calls	complete_sets	continuations	budget_limits	treatment_initial_literal_slash_command	treatment_initial_expanded_adapter_prompt	treatment_create_goal_activation	treatment_goal_event_activation	baseline_initial_expanded_adapter_prompt	baseline_create_goal_calls	baseline_goal_event_activation	cross_side_goal_leakage	treatment_delivery_classification	precomplete_test_signal	precomplete_build_signal	precomplete_lint_signal	session
goreleaser-retry-publish-auditing	0	0	0.6206896551724138	False	1900.5	125	140	0	0.6206896551724138	False	1707.3	88	98	1	19	18	106	1	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/goreleaser-retry-publish-auditing/rep0/session/2026-07-12T13-04-20-685Z_019f566d-becd-776a-a88e-eb841b12755e.jsonl
goreleaser-retry-publish-auditing	1	0	0.6206896551724138	False	1659.9	154	167	0	0.5344827586206896	False	1585.7	158	163	1	20	19	134	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/goreleaser-retry-publish-auditing/rep1/session/2026-07-12T13-09-31-715Z_019f5672-7dc2-78cd-87bc-b45f7652435a.jsonl
goreleaser-retry-publish-auditing	2	0	0.5344827586206896	False	203.6	19	29	0	0.9655172413793104	False	1762.6	68	77	1	13	12	6	0	0	0	0	1	False	True	True	True	False	0	False	False	delivered	False	False	False	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/goreleaser-retry-publish-auditing/rep2/session/2026-07-12T13-36-27-786Z_019f568b-268a-71af-9e72-467031fe9a1c.jsonl
langchain-request-coalescing	0	-1	0.0	True	5400.2	98	108	-1	0.0	True	5400.1	44	53	1	1	0	97	0	0	0	0	0	False	True	True	True	False	0	False	False	delivered	False	False	False	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/langchain-request-coalescing/rep0/session/2026-07-12T06-16-11-745Z_019f54f8-12e1-7553-9797-3a9348626ff7.jsonl
langchain-request-coalescing	1	0	0.9858156028368794	False	1632.4	145	147	0	0.9858156028368794	False	867.7	72	79	1	1	0	144	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/langchain-request-coalescing/rep1/session/2026-07-12T06-20-55-316Z_019f54fc-6694-761f-ada0-22b14733ef2e.jsonl
langchain-request-coalescing	2	0	0.9893617021276596	False	1383.6	158	167	-1	0.0	True	5400.2	35	43	1	1	0	157	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/langchain-request-coalescing/rep2/session/2026-07-12T06-48-36-839Z_019f5515-c0e7-74c4-880b-b9714805255e.jsonl
mobly-grouped-test-barriers	0	-1	0.0	True	5400.2	40	48	-1	0.0	True	5400.1	25	33	1	9	8	31	0	0	0	0	0	False	True	True	True	False	0	False	False	delivered	False	False	False	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/mobly-grouped-test-barriers/rep0/session/2026-07-12T08-27-33-862Z_019f5570-5866-7f15-920e-7e653841c79f.jsonl
mobly-grouped-test-barriers	1	-1	0.0	True	5400.1	64	75	-1	0.0	False	775.6	66	75	1	7	6	57	0	0	0	0	0	False	True	True	True	False	0	False	False	delivered	False	False	False	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/mobly-grouped-test-barriers/rep1/session/2026-07-12T08-47-31-313Z_019f5582-9df1-76c2-9696-520dc4a4f7ea.jsonl
mobly-grouped-test-barriers	2	-1	0.0	True	5400.2	50	57	0	0.9729425028184893	False	784.2	58	66	1	7	6	43	0	0	0	0	0	False	True	True	True	False	0	False	False	delivered	False	False	False	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/mobly-grouped-test-barriers/rep2/session/2026-07-12T10-32-34-774Z_019f55e2-ccd6-75cb-b062-27144ec5a965.jsonl
obsidian-linter-link-format-conversion	0	0	0.9991603694374476	False	1169.6	94	110	0	0.9907640638119227	False	1531.5	82	91	1	9	8	85	1	1	1	1	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/obsidian-linter-link-format-conversion/rep0/session/2026-07-12T04-41-31-788Z_019f54a1-678c-7f36-bf16-cf5f78e404c0.jsonl
obsidian-linter-link-format-conversion	1	0	0.9966414777497901	False	874.5	82	96	0	0.9991603694374476	False	1145.1	80	89	1	16	15	66	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/obsidian-linter-link-format-conversion/rep1/session/2026-07-12T04-52-13-538Z_019f54ab-3262-7d4d-9735-263e9c4cb0aa.jsonl
obsidian-linter-link-format-conversion	2	0	0.9966414777497901	False	1232.7	83	104	0	0.9991603694374476	False	826.3	48	57	1	12	11	71	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/obsidian-linter-link-format-conversion/rep2/session/2026-07-12T05-01-17-190Z_019f54b3-7e06-712b-bdcd-dc249c9c195a.jsonl
participle-grammar-conflict-analysis	0	0	0.680327868852459	False	1133.4	60	78	0	0.9877049180327869	False	1086.8	65	74	1	7	6	53	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/participle-grammar-conflict-analysis/rep0/session/2026-07-12T05-07-01-342Z_019f54b8-be5e-76e3-acf4-48883be7308f.jsonl
participle-grammar-conflict-analysis	1	0	0.680327868852459	False	831.4	56	66	0	0.6844262295081968	False	1366.3	101	111	1	7	6	49	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/participle-grammar-conflict-analysis/rep1/session/2026-07-12T05-22-03-249Z_019f54c6-8171-7183-9e84-ef77a104205f.jsonl
participle-grammar-conflict-analysis	2	0	0.6352459016393442	False	1239.4	73	99	0	0.6844262295081968	False	786.9	74	84	1	6	5	67	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/participle-grammar-conflict-analysis/rep2/session/2026-07-12T05-26-06-145Z_019f54ca-3641-7ea7-8863-d74cf08eaf09.jsonl
sql-formatter-bigquery-pipe-formatting	0	0	0.9987794245858762	False	1731.4	171	178	0	0.9980819529206626	False	1648.4	156	169	1	9	8	162	1	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/sql-formatter-bigquery-pipe-formatting/rep0/session/2026-07-12T13-37-36-266Z_019f568c-320a-7ab1-9408-7b395004a8cf.jsonl
sql-formatter-bigquery-pipe-formatting	1	0	0.9993025283347864	False	1324.9	110	121	0	0.999128160418483	False	1382.9	111	125	1	10	9	100	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/sql-formatter-bigquery-pipe-formatting/rep1/session/2026-07-12T13-40-11-574Z_019f568e-90b6-7b61-909b-2b80579650d2.jsonl
sql-formatter-bigquery-pipe-formatting	2	0	0.9998256320836966	False	1694.8	189	204	0	0.9986050566695728	False	1385.5	136	151	1	9	8	180	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/sql-formatter-bigquery-pipe-formatting/rep2/session/2026-07-12T14-02-25-816Z_019f56a2-ec98-7f4e-8d65-89d27a396dfc.jsonl
superjson-error-stack-serialization	0	0	0.923469387755102	False	1096.6	56	64	0	0.8826530612244898	False	997.2	76	83	1	7	6	49	1	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/superjson-error-stack-serialization/rep0/session/2026-07-12T04-03-42-632Z_019f547e-c7a8-771a-9634-ec100649809b.jsonl
superjson-error-stack-serialization	1	0	0.923469387755102	False	1039.7	75	81	0	0.9081632653061225	False	1451.8	94	104	1	3	2	72	1	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/superjson-error-stack-serialization/rep1/session/2026-07-12T04-24-08-651Z_019f5491-7ccb-7645-9471-6a59d51aec19.jsonl
superjson-error-stack-serialization	2	0	0.9489795918367347	False	1680.5	102	107	0	0.6938775510204082	False	1040.1	63	72	1	5	4	97	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/superjson-error-stack-serialization/rep2/session/2026-07-12T04-24-08-651Z_019f5491-7ccb-78fc-a3a6-1e3211f59c8e.jsonl
tengo-callable-instance-isolation	0	0	0.9241379310344827	False	1312.6	156	165	0	0.9793103448275862	False	1792.1	171	180	1	1	0	155	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/tengo-callable-instance-isolation/rep0/session/2026-07-12T10-52-32-226Z_019f55f5-1262-7c1b-87af-69b6ae5e884f.jsonl
tengo-callable-instance-isolation	1	0	0.9793103448275862	False	1504.6	120	139	0	0.9241379310344827	False	1981.2	191	199	1	8	7	112	1	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/tengo-callable-instance-isolation/rep1/session/2026-07-12T11-14-31-017Z_019f5609-31e9-7bd3-8478-92429711467a.jsonl
tengo-callable-instance-isolation	2	0	0.9862068965517241	False	1439.0	141	154	0	0.9586206896551724	False	3201.8	179	189	1	6	5	135	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/tengo-callable-instance-isolation/rep2/session/2026-07-12T11-39-42-001Z_019f5620-4031-72d2-a872-64233001e109.jsonl
