task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
fd-deterministic-multi-key-sorting,13,9,0.6923076923076923,238,10,20,17720,2130,15590,0,2950
geo-shapeindex-serialization,4,0,0.0,109,0,0,0,0,0,0,854
go-critic-doc-link-checker,12,0,0.0,293,0,0,0,0,0,0,596
go-genai-streamed-function-args,4,0,0.0,114,0,0,0,0,0,0,594
go-git-worktree-merge-conflicts,12,0,0.0,267,0,0,0,0,0,0,205
goreleaser-retry-publish-auditing,13,0,0.0,298,0,0,0,0,0,0,226
gql-incremental-graphql-delivery,13,0,0.0,354,0,0,0,0,0,0,1657
happy-dom-abort-pending-body-reads,4,0,0.0,82,0,0,0,0,0,0,205
happy-dom-deterministic-intersectionobserver,12,0,0.0,225,0,0,0,0,0,0,245
helm-array-merge-strategies,4,0,0.0,119,0,0,0,0,0,0,313
helm-unified-manifest-stream,4,0,0.0,142,0,0,0,0,0,0,382
httpx-deterministic-cookie-store,4,0,0.0,84,0,0,0,0,0,0,197
httpx-multipart-response-parsing,12,0,0.0,186,0,0,0,0,0,0,197
httpx-streaming-json-iteration,13,0,0.0,166,0,0,0,0,0,0,276
igel-persist-feature-schema,4,0,0.0,108,0,0,0,0,0,0,149
ink-grid-box-layout,3,0,0.0,64,0,0,0,0,0,0,323
ipython-session-bundle-replay,3,0,0.0,58,0,0,0,0,0,0,147
katex-multicolumn-array-spans,11,0,0.0,299,0,0,0,0,0,0,221
kcp-go-multiplexed-kcp-streams,3,0,0.0,23,0,0,0,0,0,0,185
kea-atomic-signal-selectors,12,0,0.0,255,0,0,0,0,0,0,233
kgateway-consistent-hash-policy,12,0,0.0,294,0,0,0,0,0,0,397
kombu-single-active-consumer-priority,12,0,0.0,299,0,0,0,0,0,0,115
kombu-virtual-queue-dead-lettering,3,0,0.0,68,0,0,0,0,0,0,92
koota-composite-trait-aspects,3,0,0.0,101,0,0,0,0,0,0,218
koota-deferred-mutation-buffer,12,1,0.08333333333333333,305,1,1,241,107,134,0,2241
koota-entity-snapshot-rollback,3,0,0.0,64,0,0,0,0,0,0,123
koota-pair-relation-tracking,3,0,0.0,105,0,0,0,0,0,0,218
koota-query-predicates,11,0,0.0,441,0,0,0,0,0,0,348
kysely-window-grouping-helpers,3,0,0.0,108,0,0,0,0,0,0,224
langchain-request-coalescing,14,0,0.0,270,0,0,0,0,0,0,324
mashumaro-flattened-dataclass-fields,12,0,0.0,314,0,0,0,0,0,0,260
meriyah-explicit-resource-declarations,11,0,0.0,353,0,0,0,0,0,0,194
mnamer-daemon-watch-lifecycle,3,0,0.0,56,0,0,0,0,0,0,112
mobly-grouped-test-barriers,11,0,0.0,188,0,0,0,0,0,0,98
narwhals-rolling-window-suite,3,0,0.0,98,0,0,0,0,0,0,139
numba-stencil-boundary-modes,3,0,0.0,37,0,0,0,0,0,0,141
obsidian-linter-auto-table-of-contents,12,1,0.08333333333333333,265,2,2,2950,218,2732,0,3510
obsidian-linter-link-format-conversion,13,0,0.0,272,0,0,0,0,0,0,1463
obsidian-linter-scoped-ignore-markers,3,0,0.0,50,0,0,0,0,0,0,1463
ofetch-per-origin-circuit-breaker,3,0,0.0,39,0,0,0,0,0,0,137
onedump-dump-encryption-pipeline,12,0,0.0,216,0,0,0,0,0,0,386
opa-rego-rule-profiling,3,0,0.0,72,0,0,0,0,0,0,174
opa-template-string-reconstruction,3,0,0.0,78,0,0,0,0,0,0,176
optique-conditional-option-dependencies,3,0,0.0,80,0,0,0,0,0,0,109
oxvg-structural-selector-preservation,12,0,0.0,327,0,0,0,0,0,0,1196
participle-grammar-conflict-analysis,13,0,0.0,185,0,0,0,0,0,0,1095
pebble-durability-wait-apis,3,0,0.0,155,0,0,0,0,0,0,267
pest-character-class-coalescing,11,0,0.0,212,0,0,0,0,0,0,178
prometheus-transactional-reload-status,3,0,0.0,102,0,0,0,0,0,0,540
prometheus-typed-label-sorting,12,0,0.0,137,0,0,0,0,0,0,383
psd-tools-blend-range-api,11,0,0.0,170,0,0,0,0,0,0,130
pwntools-tube-multiplexing,3,0,0.0,30,0,0,0,0,0,0,316
python-statemachine-state-data-scoping,12,0,0.0,401,0,0,0,0,0,0,128
query-persist-restored-query-state,3,0,0.0,66,0,0,0,0,0,0,207
quill-shared-toolbar-focus,3,0,0.0,62,0,0,0,0,0,0,143
returns-validated-error-accumulation,3,0,0.0,88,0,0,0,0,0,0,101
scc-bounded-memory-spilling,11,0,0.0,219,0,0,0,0,0,0,304
scriggo-method-declarations,3,0,0.0,143,0,0,0,0,0,0,179
skrub-duration-encoding,3,0,0.0,53,0,0,0,0,0,0,136
sql-formatter-bigquery-pipe-formatting,11,0,0.0,245,0,0,0,0,0,0,231
sqlfmt-create-table-ddl-formatting,3,0,0.0,73,0,0,0,0,0,0,212
sqlite-utils-safe-import-checkpoints,3,0,0.0,74,0,0,0,0,0,0,207
superjson-error-stack-serialization,13,0,0.0,251,0,0,0,0,0,0,271
task-task-graph-export,3,0,0.0,96,0,0,0,0,0,0,224
tengo-callable-instance-isolation,11,0,0.0,283,0,0,0,0,0,0,172
tengo-destructuring-bindings,11,0,0.0,329,0,0,0,0,0,0,144
termenv-preserve-ansi-resets,12,0,0.0,196,0,0,0,0,0,0,181
testem-bail-on-test-failure,3,0,0.0,85,0,0,0,0,0,0,166
testem-per-launcher-reports,3,0,0.0,58,0,0,0,0,0,0,166
textual-kitty-key-phases,12,0,0.0,214,0,0,0,0,0,0,1036
textual-richlog-follow-state,3,0,0.0,46,0,0,0,0,0,0,155
tomlkit-toml-table-converters,3,0,0.0,40,0,0,0,0,0,0,103
true-myth-iterable-collection-combinators,11,0,0.0,233,0,0,0,0,0,0,373
ts-pattern-match-each,12,0,0.0,196,0,0,0,0,0,0,173
updo-policy-alerting,12,0,0.0,291,0,0,0,0,0,0,503
valibot-recursive-schema-composition,3,0,0.0,115,0,0,0,0,0,0,159
vitest-duration-sharding,3,0,0.0,94,0,0,0,0,0,0,319
vulture-persistent-analysis-cache,11,0,0.0,202,0,0,0,0,0,0,147
wasmi-trap-coredumps,12,0,0.0,498,0,0,0,0,0,0,338
wazero-multi-module-snapshots,12,0,0.0,134,0,0,0,0,0,0,252
yaegi-go-embed-directives,3,0,0.0,116,0,0,0,0,0,0,390
yjs-map-conflict-detection,12,0,0.0,286,0,0,0,0,0,0,325
ytt-jsonpath-query-api,3,0,0.0,39,0,0,0,0,0,0,158
