config,task,rep_a,rep_b,obs_a,obs_b,semantic_precision_a_to_b,semantic_recall_b_to_a,semantic_f1,centroid_distance,close_counterpart_rate_a_to_b_085,close_counterpart_rate_b_to_a_085,close_counterpart_f1_085
observational-memory-glm52-high,cattrs-partial-structuring-recovery,0,1,22,9,0.7304849624633789,0.8710434436798096,0.7945961305709485,0.05072188377380371,0.2727272727272727,0.5555555555555556,0.36585365853658536
observational-memory-glm52-high,cattrs-partial-structuring-recovery,0,2,22,17,0.7987245321273804,0.8296923637390137,0.8139139881430902,0.0303000807762146,0.2727272727272727,0.35294117647058826,0.30769230769230765
observational-memory-glm52-high,cattrs-partial-structuring-recovery,1,2,9,17,0.8284586071968079,0.7788479328155518,0.802887635402172,0.056696534156799316,0.4444444444444444,0.23529411764705882,0.30769230769230765
observational-memory-glm52-high,dynamodb-toolbox-lazy-recursive-schemas,0,1,36,30,0.8218728303909302,0.8393411636352539,0.830515153738405,0.011923134326934814,0.4166666666666667,0.5333333333333333,0.46783625730994155
observational-memory-glm52-high,dynamodb-toolbox-lazy-recursive-schemas,0,2,36,47,0.8193218111991882,0.8179891109466553,0.8186549186927485,0.01256561279296875,0.4722222222222222,0.3829787234042553,0.4229440221147201
observational-memory-glm52-high,dynamodb-toolbox-lazy-recursive-schemas,1,2,30,47,0.8205448389053345,0.8195866346359253,0.8200654568676353,0.017330288887023926,0.5666666666666667,0.425531914893617,0.4860614724803431
observational-memory-glm52-high,fastapi-implicit-head-options,0,1,24,27,0.8815868496894836,0.8772515058517456,0.8794138346968375,0.01696544885635376,0.625,0.6296296296296297,0.6273062730627306
observational-memory-glm52-high,fastapi-implicit-head-options,0,2,24,33,0.8652440905570984,0.8525781631469727,0.8588644323477547,0.015363037586212158,0.625,0.6060606060606061,0.6153846153846154
observational-memory-glm52-high,fastapi-implicit-head-options,1,2,27,33,0.8592624664306641,0.8515943884849548,0.8554112432558663,0.015787601470947266,0.6296296296296297,0.6363636363636364,0.6329787234042553
observational-memory-glm52-high,httpx-streaming-json-iteration,0,1,13,6,0.7470737099647522,0.8634646534919739,0.8010634912454362,0.0973162055015564,0.3076923076923077,0.6666666666666666,0.42105263157894735
observational-memory-glm52-high,httpx-streaming-json-iteration,0,2,13,8,0.7863695621490479,0.8306971788406372,0.8079258081871935,0.03493654727935791,0.38461538461538464,0.625,0.4761904761904762
observational-memory-glm52-high,httpx-streaming-json-iteration,1,2,6,8,0.8647957444190979,0.8307558298110962,0.8474340942394185,0.054683804512023926,0.6666666666666666,0.5,0.5714285714285715
observational-memory-glm52-high,kgateway-consistent-hash-policy,0,1,17,15,0.8594281077384949,0.8861305713653564,0.8725751007680109,0.017490148544311523,0.5882352941176471,0.6666666666666666,0.625
observational-memory-glm52-high,kgateway-consistent-hash-policy,0,2,17,16,0.8361888527870178,0.8725807666778564,0.8539972878039244,0.02302449941635132,0.6470588235294118,0.625,0.6358381502890174
observational-memory-glm52-high,kgateway-consistent-hash-policy,1,2,15,16,0.8509054780006409,0.8497716784477234,0.8503382002860704,0.020013153553009033,0.6666666666666666,0.625,0.6451612903225806
observational-memory-glm52-high,mashumaro-flattened-dataclass-fields,0,1,10,21,0.8416377902030945,0.7634783387184143,0.8006551180800179,0.05611872673034668,0.5,0.2857142857142857,0.36363636363636365
observational-memory-glm52-high,mashumaro-flattened-dataclass-fields,0,2,10,22,0.8709208369255066,0.7734847664833069,0.819316108846046,0.055584728717803955,0.6,0.3181818181818182,0.41584158415841577
observational-memory-glm52-high,mashumaro-flattened-dataclass-fields,1,2,21,22,0.7982456684112549,0.8092605471611023,0.803715369968216,0.024044036865234375,0.38095238095238093,0.36363636363636365,0.37209302325581395
observational-memory-glm52-high,ts-pattern-match-each,0,1,12,13,0.8555172085762024,0.860693097114563,0.8580973479096843,0.024382293224334717,0.6666666666666666,0.6153846153846154,0.64
observational-memory-glm52-high,ts-pattern-match-each,0,2,12,14,0.8839981555938721,0.8498106598854065,0.8665673507203239,0.022347092628479004,0.75,0.6428571428571429,0.6923076923076924
observational-memory-glm52-high,ts-pattern-match-each,1,2,13,14,0.8401024341583252,0.8309816718101501,0.8355171624639117,0.026989459991455078,0.5384615384615384,0.5,0.5185185185185186
observational-memory-glm52-high,yjs-map-conflict-detection,0,1,19,19,0.8606906533241272,0.8479577898979187,0.8542767789051599,0.026198625564575195,0.5789473684210527,0.5789473684210527,0.5789473684210527
observational-memory-glm52-high,yjs-map-conflict-detection,0,2,19,23,0.8734827637672424,0.820823609828949,0.8463348618077897,0.030524730682373047,0.6842105263157895,0.5652173913043478,0.6190476190476191
observational-memory-glm52-high,yjs-map-conflict-detection,1,2,19,23,0.8598523139953613,0.815916121006012,0.8373082461987819,0.02411472797393799,0.631578947368421,0.5652173913043478,0.5965583173996175
observational-memory-glm52-max,actionlint-action-pinning-lint,0,1,24,14,0.7638997435569763,0.8361114859580994,0.7983760837753752,0.02420806884765625,0.2916666666666667,0.5,0.3684210526315789
observational-memory-glm52-max,actionlint-action-pinning-lint,0,2,24,23,0.8343154788017273,0.8354107141494751,0.8348627372728552,0.014422595500946045,0.4583333333333333,0.43478260869565216,0.4462474645030426
observational-memory-glm52-max,actionlint-action-pinning-lint,0,3,24,20,0.8452672958374023,0.8613022565841675,0.8532094438090714,0.019506514072418213,0.5,0.55,0.5238095238095238
observational-memory-glm52-max,actionlint-action-pinning-lint,0,4,24,21,0.8469954133033752,0.8545740842819214,0.8507678713586433,0.016510844230651855,0.5833333333333334,0.7142857142857143,0.6422018348623854
observational-memory-glm52-max,actionlint-action-pinning-lint,0,5,24,14,0.7871475219726562,0.827600359916687,0.8068672265169644,0.022369980812072754,0.375,0.5,0.42857142857142855
observational-memory-glm52-max,actionlint-action-pinning-lint,0,6,24,23,0.8282523155212402,0.8319579362869263,0.8301009903961727,0.02322983741760254,0.4583333333333333,0.5217391304347826,0.48798521256931604
observational-memory-glm52-max,actionlint-action-pinning-lint,0,7,24,25,0.8524479269981384,0.842862069606781,0.8476278974589233,0.011254072189331055,0.5416666666666666,0.52,0.5306122448979592
observational-memory-glm52-max,actionlint-action-pinning-lint,0,8,24,16,0.8009738922119141,0.8329969644546509,0.8166716292371482,0.02456223964691162,0.3333333333333333,0.5,0.4
observational-memory-glm52-max,actionlint-action-pinning-lint,1,2,14,23,0.8583213090896606,0.7985792756080627,0.8273732480779263,0.02426600456237793,0.6428571428571429,0.391304347826087,0.4864864864864865
observational-memory-glm52-max,actionlint-action-pinning-lint,1,3,14,20,0.8412991762161255,0.7886221408843994,0.8141094303277013,0.024411916732788086,0.5714285714285714,0.4,0.47058823529411764
observational-memory-glm52-max,actionlint-action-pinning-lint,1,4,14,21,0.8505434393882751,0.801815927028656,0.8254612043748007,0.026677727699279785,0.5714285714285714,0.42857142857142855,0.48979591836734687
observational-memory-glm52-max,actionlint-action-pinning-lint,1,5,14,14,0.8440191149711609,0.807831346988678,0.8255288408157637,0.022890925407409668,0.5,0.5,0.5
observational-memory-glm52-max,actionlint-action-pinning-lint,1,6,14,23,0.8545394539833069,0.7879146337509155,0.8198757529226192,0.02121150493621826,0.6428571428571429,0.391304347826087,0.4864864864864865
observational-memory-glm52-max,actionlint-action-pinning-lint,1,7,14,25,0.881319522857666,0.7888124585151672,0.832504050358134,0.016432523727416992,0.5714285714285714,0.32,0.41025641025641024
observational-memory-glm52-max,actionlint-action-pinning-lint,1,8,14,16,0.8576433062553406,0.8068978190422058,0.8314970448205374,0.030648410320281982,0.5714285714285714,0.5,0.5333333333333333
observational-memory-glm52-max,actionlint-action-pinning-lint,2,3,23,20,0.8486341238021851,0.8573005795478821,0.852945338096482,0.018762290477752686,0.6086956521739131,0.65,0.6286701208981003
observational-memory-glm52-max,actionlint-action-pinning-lint,2,4,23,21,0.846645712852478,0.8694065809249878,0.8578752024456956,0.014416515827178955,0.5217391304347826,0.6190476190476191,0.5662431941923775
observational-memory-glm52-max,actionlint-action-pinning-lint,2,5,23,14,0.8057143092155457,0.8524531126022339,0.8284249970440303,0.020231008529663086,0.391304347826087,0.6428571428571429,0.4864864864864865
observational-memory-glm52-max,actionlint-action-pinning-lint,2,6,23,23,0.8375067710876465,0.8375223278999329,0.8375145494215478,0.024768471717834473,0.5652173913043478,0.6086956521739131,0.5861513687600645
observational-memory-glm52-max,actionlint-action-pinning-lint,2,7,23,25,0.8312047719955444,0.8315727114677429,0.8313887010228127,0.015062928199768066,0.5652173913043478,0.56,0.562596599690881
observational-memory-glm52-max,actionlint-action-pinning-lint,2,8,23,16,0.8070446252822876,0.8452191352844238,0.825690881319182,0.02773386240005493,0.34782608695652173,0.5,0.41025641025641024
observational-memory-glm52-max,actionlint-action-pinning-lint,3,4,20,21,0.8515976667404175,0.8543646931648254,0.8529789359302992,0.024815678596496582,0.6,0.6190476190476191,0.609375
observational-memory-glm52-max,actionlint-action-pinning-lint,3,5,20,14,0.8118815422058105,0.8424105048179626,0.8268643267099673,0.023998737335205078,0.4,0.5714285714285714,0.47058823529411764
observational-memory-glm52-max,actionlint-action-pinning-lint,3,6,20,23,0.8688977956771851,0.8624589443206787,0.8656663970745099,0.019801735877990723,0.65,0.5652173913043478,0.6046511627906976
observational-memory-glm52-max,actionlint-action-pinning-lint,3,7,20,25,0.852867603302002,0.8345304727554321,0.8435994022754668,0.021378278732299805,0.7,0.6,0.6461538461538462
observational-memory-glm52-max,actionlint-action-pinning-lint,3,8,20,16,0.8386259078979492,0.8513847589492798,0.844957171514538,0.02756732702255249,0.5,0.5625,0.5294117647058824
observational-memory-glm52-max,actionlint-action-pinning-lint,4,5,21,14,0.7979791760444641,0.8178540468215942,0.8077943802266095,0.02580934762954712,0.38095238095238093,0.5714285714285714,0.4571428571428571
observational-memory-glm52-max,actionlint-action-pinning-lint,4,6,21,23,0.8325923681259155,0.814858615398407,0.8236300455276616,0.024472951889038086,0.5238095238095238,0.4782608695652174,0.5
observational-memory-glm52-max,actionlint-action-pinning-lint,4,7,21,25,0.8486617207527161,0.8235445618629456,0.8359145067843117,0.013998746871948242,0.6666666666666666,0.52,0.5842696629213484
observational-memory-glm52-max,actionlint-action-pinning-lint,4,8,21,16,0.8062382936477661,0.8233140707015991,0.8146867152240121,0.029286563396453857,0.2857142857142857,0.375,0.3243243243243243
observational-memory-glm52-max,actionlint-action-pinning-lint,5,6,14,23,0.8202646970748901,0.795225977897644,0.8075512981557561,0.024322092533111572,0.5,0.34782608695652173,0.41025641025641024
observational-memory-glm52-max,actionlint-action-pinning-lint,5,7,14,25,0.8796709179878235,0.8190566897392273,0.8482823813183626,0.016226112842559814,0.7142857142857143,0.4,0.5128205128205129
observational-memory-glm52-max,actionlint-action-pinning-lint,5,8,14,16,0.8938911557197571,0.8745695352554321,0.8841247946491528,0.01966691017150879,0.7857142857142857,0.6875,0.7333333333333334
observational-memory-glm52-max,actionlint-action-pinning-lint,6,7,23,25,0.8506963849067688,0.8455541729927063,0.8481174845990604,0.017715036869049072,0.5652173913043478,0.6,0.582089552238806
observational-memory-glm52-max,actionlint-action-pinning-lint,6,8,23,16,0.8048256039619446,0.827228844165802,0.8158734592271034,0.02978217601776123,0.391304347826087,0.625,0.4812834224598931
observational-memory-glm52-max,actionlint-action-pinning-lint,7,8,25,16,0.8140637278556824,0.8528456091880798,0.8330035239136364,0.021410107612609863,0.36,0.5625,0.43902439024390244
observational-memory-glm52-max,anko-default-function-arguments,0,1,8,11,0.8292591571807861,0.7900393009185791,0.8091742711697641,0.04453778266906738,0.625,0.45454545454545453,0.5263157894736842
observational-memory-glm52-max,anko-default-function-arguments,0,2,8,16,0.8565824031829834,0.7760215401649475,0.814314333252334,0.048336148262023926,0.625,0.3125,0.4166666666666667
observational-memory-glm52-max,anko-default-function-arguments,0,3,8,11,0.7696828842163086,0.7428531646728516,0.7560300685124524,0.07419979572296143,0.25,0.18181818181818182,0.2105263157894737
observational-memory-glm52-max,anko-default-function-arguments,0,4,8,13,0.8270100355148315,0.7870206236839294,0.8065199384339564,0.04206669330596924,0.5,0.38461538461538464,0.4347826086956522
observational-memory-glm52-max,anko-default-function-arguments,0,5,8,9,0.8340533971786499,0.7962043285369873,0.8146894991994091,0.03429752588272095,0.5,0.4444444444444444,0.47058823529411764
observational-memory-glm52-max,anko-default-function-arguments,0,6,8,13,0.8266618251800537,0.762078583240509,0.7930575306239249,0.04400634765625,0.25,0.15384615384615385,0.1904761904761905
observational-memory-glm52-max,anko-default-function-arguments,0,7,8,24,0.8620977997779846,0.7300686240196228,0.7906090029873212,0.05101722478866577,0.625,0.20833333333333334,0.3125
observational-memory-glm52-max,anko-default-function-arguments,0,8,8,11,0.7721752524375916,0.7933855652809143,0.7826367295572992,0.06913423538208008,0.25,0.18181818181818182,0.2105263157894737
observational-memory-glm52-max,anko-default-function-arguments,1,2,11,16,0.8130854964256287,0.7744095325469971,0.7932763853946806,0.040154457092285156,0.5454545454545454,0.375,0.4444444444444444
observational-memory-glm52-max,anko-default-function-arguments,1,3,11,11,0.7628040313720703,0.7478423714637756,0.7552491101988292,0.05025666952133179,0.2727272727272727,0.2727272727272727,0.2727272727272727
observational-memory-glm52-max,anko-default-function-arguments,1,4,11,13,0.8693797588348389,0.8565735220909119,0.8629291305733106,0.026830673217773438,0.8181818181818182,0.6923076923076923,0.7500000000000001
observational-memory-glm52-max,anko-default-function-arguments,1,5,11,9,0.8417147994041443,0.838434100151062,0.8400712467913702,0.03248393535614014,0.5454545454545454,0.6666666666666666,0.6
observational-memory-glm52-max,anko-default-function-arguments,1,6,11,13,0.8214992880821228,0.7865227460861206,0.803630624756155,0.0333026647567749,0.36363636363636365,0.3076923076923077,0.33333333333333337
observational-memory-glm52-max,anko-default-function-arguments,1,7,11,24,0.8783673644065857,0.7526261210441589,0.8106497398331567,0.03476142883300781,0.7272727272727273,0.3333333333333333,0.4571428571428572
observational-memory-glm52-max,anko-default-function-arguments,1,8,11,11,0.7600840926170349,0.7795599102973938,0.7696988212046363,0.057973504066467285,0.18181818181818182,0.18181818181818182,0.18181818181818182
observational-memory-glm52-max,anko-default-function-arguments,2,3,16,11,0.7457383871078491,0.7693262696266174,0.7573487097344422,0.054527103900909424,0.1875,0.2727272727272727,0.2222222222222222
observational-memory-glm52-max,anko-default-function-arguments,2,4,16,13,0.781265377998352,0.7989826202392578,0.7900246790522796,0.04610556364059448,0.25,0.3076923076923077,0.27586206896551724
observational-memory-glm52-max,anko-default-function-arguments,2,5,16,9,0.8122193813323975,0.8715309500694275,0.8408305149232884,0.033223748207092285,0.5,0.7777777777777778,0.6086956521739131
observational-memory-glm52-max,anko-default-function-arguments,2,6,16,13,0.783746600151062,0.7832774519920349,0.7835119558428896,0.046944499015808105,0.1875,0.23076923076923078,0.20689655172413793
observational-memory-glm52-max,anko-default-function-arguments,2,7,16,24,0.8023744225502014,0.75257807970047,0.7766789033743211,0.02621304988861084,0.3125,0.20833333333333334,0.25
observational-memory-glm52-max,anko-default-function-arguments,2,8,16,11,0.7537710666656494,0.8078437447547913,0.7798712419090227,0.05697298049926758,0.1875,0.2727272727272727,0.2222222222222222
observational-memory-glm52-max,anko-default-function-arguments,3,4,11,13,0.7135270237922668,0.7328647971153259,0.7230666406834311,0.0660330057144165,0.18181818181818182,0.23076923076923078,0.2033898305084746
observational-memory-glm52-max,anko-default-function-arguments,3,5,11,9,0.7285317778587341,0.7450876832008362,0.7367167289072701,0.05927097797393799,0.18181818181818182,0.2222222222222222,0.19999999999999998
observational-memory-glm52-max,anko-default-function-arguments,3,6,11,13,0.7659794092178345,0.7376834154129028,0.7515651746814079,0.05547630786895752,0.2727272727272727,0.23076923076923078,0.24999999999999994
observational-memory-glm52-max,anko-default-function-arguments,3,7,11,24,0.7952932715415955,0.7260052561759949,0.759071391736449,0.049327731132507324,0.45454545454545453,0.20833333333333334,0.28571428571428575
observational-memory-glm52-max,anko-default-function-arguments,3,8,11,11,0.8076328039169312,0.8550277352333069,0.8306547620191292,0.0441015362739563,0.36363636363636365,0.5454545454545454,0.43636363636363634
observational-memory-glm52-max,anko-default-function-arguments,4,5,13,9,0.8210875391960144,0.8251165151596069,0.8230970968511989,0.03652513027191162,0.38461538461538464,0.5555555555555556,0.4545454545454546
observational-memory-glm52-max,anko-default-function-arguments,4,6,13,13,0.8190250992774963,0.7664425373077393,0.791861859206383,0.037216901779174805,0.3076923076923077,0.23076923076923078,0.2637362637362637
observational-memory-glm52-max,anko-default-function-arguments,4,7,13,24,0.8857853412628174,0.7672670483589172,0.8222775134499369,0.03711193799972534,0.7692307692307693,0.4166666666666667,0.5405405405405406
observational-memory-glm52-max,anko-default-function-arguments,4,8,13,11,0.7639948725700378,0.7581682801246643,0.7610704247242598,0.06370609998703003,0.15384615384615385,0.18181818181818182,0.16666666666666669
observational-memory-glm52-max,anko-default-function-arguments,5,6,9,13,0.7969666123390198,0.7645111083984375,0.7804015645744794,0.036626338958740234,0.4444444444444444,0.3076923076923077,0.3636363636363637
observational-memory-glm52-max,anko-default-function-arguments,5,7,9,24,0.8664678931236267,0.7499706745147705,0.8040212888519579,0.03499346971511841,0.6666666666666666,0.25,0.36363636363636365
observational-memory-glm52-max,anko-default-function-arguments,5,8,9,11,0.7586896419525146,0.7662076950073242,0.7624301357169704,0.05237060785293579,0.1111111111111111,0.09090909090909091,0.09999999999999999
observational-memory-glm52-max,anko-default-function-arguments,6,7,13,24,0.8586703538894653,0.7751819491386414,0.8147930597667397,0.03278225660324097,0.6153846153846154,0.3333333333333333,0.43243243243243246
observational-memory-glm52-max,anko-default-function-arguments,6,8,13,11,0.7860592603683472,0.8520357608795166,0.8177188640670354,0.0369412899017334,0.46153846153846156,0.6363636363636364,0.535031847133758
observational-memory-glm52-max,anko-default-function-arguments,7,8,24,11,0.7400453686714172,0.8459295034408569,0.7894528750132686,0.04689288139343262,0.20833333333333334,0.6363636363636364,0.3139013452914798
observational-memory-glm52-max,awilix-async-container-initialization,0,1,13,14,0.913302481174469,0.9002870917320251,0.9067480833940574,0.01616525650024414,0.9230769230769231,0.8571428571428571,0.888888888888889
observational-memory-glm52-max,awilix-async-container-initialization,0,2,13,11,0.8738675713539124,0.8769699335098267,0.8754160038470009,0.02037334442138672,0.6923076923076923,0.7272727272727273,0.7093596059113301
observational-memory-glm52-max,awilix-async-container-initialization,0,3,13,12,0.8378028273582458,0.8678998947143555,0.8525858301639756,0.01991325616836548,0.5384615384615384,0.5833333333333334,0.5599999999999999
observational-memory-glm52-max,awilix-async-container-initialization,0,4,13,16,0.9103747010231018,0.88095623254776,0.8954239016253548,0.012384295463562012,0.7692307692307693,0.625,0.6896551724137931
observational-memory-glm52-max,awilix-async-container-initialization,0,5,13,10,0.8599846363067627,0.9016473889350891,0.8803233487354784,0.015509605407714844,0.5384615384615384,0.7,0.608695652173913
observational-memory-glm52-max,awilix-async-container-initialization,1,2,14,11,0.8298181295394897,0.8598269820213318,0.8445560704631345,0.0278778076171875,0.5,0.6363636363636364,0.56
observational-memory-glm52-max,awilix-async-container-initialization,1,3,14,12,0.8292150497436523,0.8615930676460266,0.8450940483416526,0.01830226182937622,0.5,0.5833333333333334,0.5384615384615384
observational-memory-glm52-max,awilix-async-container-initialization,1,4,14,16,0.870077908039093,0.8541260957717896,0.8620282112420253,0.020009219646453857,0.7142857142857143,0.625,0.6666666666666666
observational-memory-glm52-max,awilix-async-container-initialization,1,5,14,10,0.8340575098991394,0.8821823000907898,0.8574451754444935,0.017436981201171875,0.5,0.7,0.5833333333333334
observational-memory-glm52-max,awilix-async-container-initialization,2,3,11,12,0.8759791851043701,0.8800628185272217,0.8780162536201668,0.022133231163024902,0.8181818181818182,0.75,0.7826086956521738
observational-memory-glm52-max,awilix-async-container-initialization,2,4,11,16,0.89351487159729,0.8639453649520874,0.8784813627964546,0.026536941528320312,0.8181818181818182,0.5625,0.6666666666666666
observational-memory-glm52-max,awilix-async-container-initialization,2,5,11,10,0.8485490679740906,0.8749678730964661,0.8615559911608486,0.02525162696838379,0.5454545454545454,0.6,0.5714285714285713
observational-memory-glm52-max,awilix-async-container-initialization,3,4,12,16,0.891957700252533,0.8483614921569824,0.8696135385135594,0.019181370735168457,0.8333333333333334,0.6875,0.7534246575342466
observational-memory-glm52-max,awilix-async-container-initialization,3,5,12,10,0.8899312019348145,0.9054366946220398,0.8976169925575593,0.018164455890655518,0.8333333333333334,0.9,0.8653846153846153
observational-memory-glm52-max,awilix-async-container-initialization,4,5,16,10,0.8451360464096069,0.9114446640014648,0.877038823539247,0.020053088665008545,0.5625,0.9,0.6923076923076923
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,0,1,25,27,0.8485051989555359,0.8597966432571411,0.8541136043069106,0.015437901020050049,0.6,0.6296296296296297,0.6144578313253012
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,0,2,25,25,0.8299749493598938,0.8704630136489868,0.8497369635227384,0.02271401882171631,0.48,0.52,0.4992
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,0,3,25,38,0.8774765729904175,0.8627158999443054,0.8700336349240946,0.020378947257995605,0.72,0.5789473684210527,0.6418152350081038
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,0,4,25,32,0.8460931181907654,0.8492705225944519,0.8476788428901715,0.020423829555511475,0.64,0.53125,0.5805763073639274
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,0,5,25,45,0.8825816512107849,0.8277561664581299,0.8542901836646952,0.01870095729827881,0.68,0.4222222222222222,0.5209677419354839
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,1,2,27,25,0.8439313173294067,0.8724444508552551,0.8579510481970296,0.013605356216430664,0.6296296296296297,0.64,0.6347724620770129
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,1,3,27,38,0.8852221965789795,0.8485611081123352,0.8665040504452577,0.012962937355041504,0.7407407407407407,0.5526315789473685,0.6330067822155239
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,1,4,27,32,0.874836266040802,0.8700565099716187,0.8724398414526355,0.011325240135192871,0.7037037037037037,0.625,0.662020905923345
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,1,5,27,45,0.8986952900886536,0.8306753635406494,0.8633476406460195,0.01826155185699463,0.8148148148148148,0.5555555555555556,0.6606606606606608
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,2,3,25,38,0.8809326887130737,0.8313404321670532,0.8554183946640154,0.01541125774383545,0.68,0.5,0.576271186440678
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,2,4,25,32,0.877272367477417,0.8445252180099487,0.8605873810518314,0.013403117656707764,0.68,0.5625,0.6156941649899396
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,2,5,25,45,0.8598792552947998,0.7909062504768372,0.8239518402484752,0.021034598350524902,0.6,0.35555555555555557,0.4465116279069768
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,3,4,38,32,0.8634498119354248,0.8914388418197632,0.8772211258807131,0.010764896869659424,0.6578947368421053,0.71875,0.6869772998805257
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,3,5,38,45,0.8805964589118958,0.856300950050354,0.8682787831755269,0.01208120584487915,0.7105263157894737,0.5777777777777777,0.6373127553336358
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,4,5,32,45,0.8917181491851807,0.8441498875617981,0.8672822581400009,0.01334679126739502,0.71875,0.6,0.6540284360189572
observational-memory-glm52-max,cattrs-partial-structuring-recovery,0,1,12,19,0.8748745918273926,0.802611768245697,0.8371867096543439,0.02863609790802002,0.75,0.47368421052631576,0.5806451612903226
observational-memory-glm52-max,cattrs-partial-structuring-recovery,0,2,12,13,0.8587644696235657,0.8321681618690491,0.8452571520064284,0.026833713054656982,0.6666666666666666,0.5384615384615384,0.5957446808510638
observational-memory-glm52-max,cattrs-partial-structuring-recovery,0,3,12,12,0.8710816502571106,0.8553493022918701,0.8631437946436281,0.016747653484344482,0.5833333333333334,0.5,0.5384615384615384
observational-memory-glm52-max,cattrs-partial-structuring-recovery,0,4,12,13,0.8559832572937012,0.8159665465354919,0.8354960187758089,0.02534019947052002,0.5,0.46153846153846156,0.48000000000000004
observational-memory-glm52-max,cattrs-partial-structuring-recovery,0,5,12,12,0.8586360812187195,0.8143818974494934,0.8359236899511795,0.046331703662872314,0.5833333333333334,0.5833333333333334,0.5833333333333334
observational-memory-glm52-max,cattrs-partial-structuring-recovery,1,2,19,13,0.7948521375656128,0.850822389125824,0.8218854745779809,0.0244443416595459,0.47368421052631576,0.6923076923076923,0.5625
observational-memory-glm52-max,cattrs-partial-structuring-recovery,1,3,19,12,0.7912194132804871,0.861415445804596,0.8248266335100611,0.029012620449066162,0.3157894736842105,0.5,0.3870967741935484
observational-memory-glm52-max,cattrs-partial-structuring-recovery,1,4,19,13,0.7783236503601074,0.8260165452957153,0.8014612044667969,0.028717875480651855,0.42105263157894735,0.6153846153846154,0.5
observational-memory-glm52-max,cattrs-partial-structuring-recovery,1,5,19,12,0.7921478152275085,0.8207163214683533,0.8061790527558969,0.05264854431152344,0.42105263157894735,0.6666666666666666,0.5161290322580646
observational-memory-glm52-max,cattrs-partial-structuring-recovery,2,3,13,12,0.8434562087059021,0.8537750840187073,0.8485842778658076,0.02294027805328369,0.5384615384615384,0.5833333333333334,0.5599999999999999
