task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
gql-incremental-graphql-delivery,3,0,0.0,82,0,0,0,0,0,0,1657
happy-dom-abort-pending-body-reads,3,0,0.0,83,0,0,0,0,0,0,205
happy-dom-deterministic-intersectionobserver,3,0,0.0,52,0,0,0,0,0,0,225
helm-array-merge-strategies,3,0,0.0,95,0,0,0,0,0,0,313
helm-unified-manifest-stream,3,0,0.0,99,0,0,0,0,0,0,382
httpx-deterministic-cookie-store,3,0,0.0,92,0,0,0,0,0,0,197
httpx-multipart-response-parsing,3,0,0.0,55,0,0,0,0,0,0,118
httpx-streaming-json-iteration,3,0,0.0,37,0,0,0,0,0,0,118
igel-persist-feature-schema,3,0,0.0,68,0,0,0,0,0,0,688
ink-grid-box-layout,3,0,0.0,46,0,0,0,0,0,0,323
ipython-session-bundle-replay,3,0,0.0,85,0,0,0,0,0,0,381
katex-multicolumn-array-spans,3,0,0.0,68,0,0,0,0,0,0,153
kcp-go-multiplexed-kcp-streams,3,0,0.0,42,0,0,0,0,0,0,185
kea-atomic-signal-selectors,3,0,0.0,77,0,0,0,0,0,0,176
kgateway-consistent-hash-policy,3,1,0.3333333333333333,51,2,2,880,218,662,0,2440
kombu-single-active-consumer-priority,3,0,0.0,59,0,0,0,0,0,0,115
kombu-virtual-queue-dead-lettering,3,0,0.0,60,0,0,0,0,0,0,115
koota-composite-trait-aspects,3,0,0.0,115,0,0,0,0,0,0,123
koota-deferred-mutation-buffer,3,1,0.3333333333333333,108,1,1,241,107,134,0,2241
koota-entity-snapshot-rollback,3,0,0.0,93,0,0,0,0,0,0,123
koota-pair-relation-tracking,3,0,0.0,118,0,0,0,0,0,0,148
koota-query-predicates,3,0,0.0,135,0,0,0,0,0,0,130
kysely-window-grouping-helpers,3,0,0.0,90,0,0,0,0,0,0,224
langchain-request-coalescing,3,0,0.0,61,0,0,0,0,0,0,201
mashumaro-flattened-dataclass-fields,3,0,0.0,72,0,0,0,0,0,0,471
meriyah-explicit-resource-declarations,3,0,0.0,97,0,0,0,0,0,0,157
mnamer-daemon-watch-lifecycle,3,0,0.0,74,0,0,0,0,0,0,394
mobly-grouped-test-barriers,3,0,0.0,73,0,0,0,0,0,0,94
narwhals-rolling-window-suite,3,0,0.0,119,0,0,0,0,0,0,139
numba-stencil-boundary-modes,3,0,0.0,41,0,0,0,0,0,0,141
obsidian-linter-auto-table-of-contents,3,0,0.0,67,0,0,0,0,0,0,1463
obsidian-linter-link-format-conversion,3,0,0.0,87,0,0,0,0,0,0,1463
obsidian-linter-scoped-ignore-markers,3,0,0.0,58,0,0,0,0,0,0,1463
ofetch-per-origin-circuit-breaker,3,0,0.0,63,0,0,0,0,0,0,128
onedump-dump-encryption-pipeline,3,0,0.0,60,0,0,0,0,0,0,161
opa-rego-rule-profiling,3,0,0.0,89,0,0,0,0,0,0,174
opa-template-string-reconstruction,3,0,0.0,90,0,0,0,0,0,0,176
optique-conditional-option-dependencies,3,0,0.0,69,0,0,0,0,0,0,109
oxvg-structural-selector-preservation,3,0,0.0,72,0,0,0,0,0,0,1196
participle-grammar-conflict-analysis,3,0,0.0,51,0,0,0,0,0,0,144
pebble-durability-wait-apis,3,0,0.0,109,0,0,0,0,0,0,131
pest-character-class-coalescing,3,0,0.0,58,0,0,0,0,0,0,155
prometheus-transactional-reload-status,3,0,0.0,83,0,0,0,0,0,0,540
prometheus-typed-label-sorting,3,0,0.0,48,0,0,0,0,0,0,383
psd-tools-blend-range-api,3,0,0.0,54,0,0,0,0,0,0,115
pwntools-tube-multiplexing,3,0,0.0,33,0,0,0,0,0,0,169
python-statemachine-state-data-scoping,3,0,0.0,84,0,0,0,0,0,0,120
query-persist-restored-query-state,3,0,0.0,77,0,0,0,0,0,0,207
quill-shared-toolbar-focus,3,0,0.0,87,0,0,0,0,0,0,147
returns-validated-error-accumulation,3,0,0.0,119,0,0,0,0,0,0,101
scc-bounded-memory-spilling,3,0,0.0,68,0,0,0,0,0,0,304
scriggo-method-declarations,3,0,0.0,151,0,0,0,0,0,0,355
skrub-duration-encoding,3,0,0.0,73,0,0,0,0,0,0,136
sql-formatter-bigquery-pipe-formatting,3,0,0.0,88,0,0,0,0,0,0,231
sqlfmt-create-table-ddl-formatting,3,0,0.0,105,0,0,0,0,0,0,152
sqlite-utils-safe-import-checkpoints,3,0,0.0,53,0,0,0,0,0,0,140
superjson-error-stack-serialization,3,0,0.0,57,0,0,0,0,0,0,177
task-task-graph-export,3,0,0.0,108,0,0,0,0,0,0,224
tengo-callable-instance-isolation,3,1,0.3333333333333333,79,1,1,2092,105,1987,0,4092
tengo-destructuring-bindings,3,0,0.0,95,0,0,0,0,0,0,157
termenv-preserve-ansi-resets,3,0,0.0,68,0,0,0,0,0,0,152
testem-bail-on-test-failure,3,0,0.0,92,0,0,0,0,0,0,166
testem-per-launcher-reports,3,0,0.0,77,0,0,0,0,0,0,166
textual-kitty-key-phases,3,0,0.0,58,0,0,0,0,0,0,124
textual-richlog-follow-state,3,0,0.0,75,0,0,0,0,0,0,155
tomlkit-toml-table-converters,3,0,0.0,36,0,0,0,0,0,0,99
true-myth-iterable-collection-combinators,3,0,0.0,73,0,0,0,0,0,0,373
ts-pattern-match-each,3,0,0.0,83,0,0,0,0,0,0,726
updo-policy-alerting,3,0,0.0,69,0,0,0,0,0,0,318
valibot-recursive-schema-composition,3,0,0.0,128,0,0,0,0,0,0,159
vitest-duration-sharding,3,0,0.0,111,0,0,0,0,0,0,319
vulture-persistent-analysis-cache,3,0,0.0,69,0,0,0,0,0,0,96
wasmi-trap-coredumps,3,0,0.0,90,0,0,0,0,0,0,338
wazero-multi-module-snapshots,3,0,0.0,50,0,0,0,0,0,0,142
yaegi-go-embed-directives,3,0,0.0,96,0,0,0,0,0,0,390
yjs-map-conflict-detection,3,0,0.0,58,0,0,0,0,0,0,325
ytt-jsonpath-query-api,3,0,0.0,49,0,0,0,0,0,0,158
